chromInfo,chromInfo_filetype,create_time,destination_id,exit_code,geneMap,geneMap_filetype,handler,history_id,id,imported,info,input_mate1,input_mate1_filetype,input_mate2,input_mate2_filetype,input_singles,input_singles_filetype,job_runner_external_id,job_runner_name,library_folder_id,object_store_id,ownFile,ownFile_filetype,param_filename,parameters.allowOrphans,parameters.biasCorrect,parameters.chromInfo,parameters.dbkey,parameters.fldMean,parameters.fldSD,parameters.geneMap,parameters.geneMap.values,parameters.input_singles|__identifier__,parameters.maxFragLen,parameters.maxReadOcc,parameters.noEffectiveLengthCorrection,parameters.refTranscriptSource.TranscriptSource,parameters.refTranscriptSource.__current_case__,parameters.refTranscriptSource.kmerSize,parameters.refTranscriptSource.ownFile,parameters.refTranscriptSource.ownFile.values,parameters.single_or_paired.__current_case__,parameters.single_or_paired.input_mate1,parameters.single_or_paired.input_mate1.values,parameters.single_or_paired.input_mate2,parameters.single_or_paired.input_mate2.values,parameters.single_or_paired.input_singles,parameters.single_or_paired.input_singles.values,parameters.single_or_paired.orientation,parameters.single_or_paired.single_or_paired_opts,parameters.single_or_paired.strandedness,parameters.txpAggregationKey,parameters.unsmoothedFLD,parameters.useVBOpt,runner_name,session_id,state,tool_id,tool_version,traceback,update_time,user_id,runtime
,,2017-11-01 15:56:33.791631,slurm_normal,,1151947379.0,gtf,main_w3_handler0,3217414,17286923,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",,,,,387382902.0,fastqsanger,11348628,slurm,,corral-repl,3290776768,fasta,,"""false""","""true""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg38.len""","""hg38""","""200""","""80""",,"[{'src': 'hda', 'id': 31040570}]",,"""1000""","""200""","""false""",history,1,21,,"[{'src': 'hda', 'id': 31042040}]",0,,,,,,"[{'src': 'hda', 'id': 31873227}]",,single,U,"""gene_id""","""false""","""false""",,41183753,error,toolshed.g2.bx.psu.edu/repos/bgruening/sailfish/sailfish/0.7.6.0,0.7.6.0,,2017-11-01 16:00:24.551186,109973.0,230.759555
,,2017-01-03 21:38:03.174770,slurm_normal,,4718405.0,tabular,main_w3_handler1,2944304,14683536,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",,,,,5178485694.0,fastqsanger,8853512.roundup,slurm,,corral-repl,212210845,fasta,,"""false""","""false""","""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""","""50""","""10""",,"[{'src': 'hda', 'id': 27802590}]",,"""1000""","""20""","""false""",history,1,21,,"[{'src': 'hda', 'id': 27802554}]",0,,,,,,"[{'src': 'hda', 'id': 27793352}]",,single,U,"""gene_id""","""false""","""false""",,35112450,error,toolshed.g2.bx.psu.edu/repos/bgruening/sailfish/sailfish/0.7.6.0,0.7.6.0,,2017-01-03 21:42:34.390960,68538.0,271.21619000000004
,,2017-10-18 13:56:36.152002,slurm_normal,,,,main_w3_handler1,3285518,17131968,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",,,,,11150226248.0,fastq,11188666,slurm,,corral-repl,4355882222,fasta,,"""false""","""false""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","""200""","""80""",,,,"""1000""","""200""","""false""",history,1,21,,"[{'src': 'hda', 'id': 31738399}]",0,,,,,,"[{'src': 'hda', 'id': 31738696}]",,single,U,"""gene_id""","""false""","""false""",,41335189,error,toolshed.g2.bx.psu.edu/repos/bgruening/sailfish/sailfish/0.7.6.0,0.7.6.0,,2017-10-18 14:03:02.454597,113570.0,386.302595
,,2016-09-26 19:23:50.652664,slurm_normal,,,,main_w3_handler1,2833740,13947839,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",79833055.0,fasta,12011043528.0,fastq,,,8168909.roundup,slurm,,corral-repl,79833055,fasta,,"""false""","""false""","""/galaxy-repl/localdata/chrom/?.len""","""?""","""200""","""80""",,,,"""1000""","""200""","""false""",history,1,21,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b52b9f7673dcdb1853'}]",1,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b52b9f7673dcdb1853'}]",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b522ca97485995f889'}]",,,I,paired,U,"""gene_id""","""false""","""false""",,33226116,error,toolshed.g2.bx.psu.edu/repos/bgruening/sailfish/sailfish/0.7.6.0,0.7.6.0,,2016-09-26 19:37:08.868121,87483.0,798.215457
,,2015-12-31 03:38:02.749476,slurm_normal,,,,main_w1_handler2,1871712,11352562,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",,,,,2941225246.0,fastq,5625341.roundup,slurm,,corral-repl,2712085157,fasta,,"""False""","""False""","""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""","""200""","""80""",,,,"""1000""","""200""","""False""",history,1,21,20405333.0,,0,,,,,19943178.0,,,single,U,"""gene_id""","""False""","""False""",,27083614,error,toolshed.g2.bx.psu.edu/repos/bgruening/sailfish/sailfish/0.7.6.0,0.7.6.0,,2015-12-31 05:04:02.278081,47785.0,5159.528605
,,2016-12-31 06:52:08.905722,slurm_normal,,752162770.0,gtf,main_w4_handler1,2941867,14669310,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",,,,,5252113175.0,fastqsanger,8841297.roundup,slurm,,corral-repl,224656812,fasta,,"""false""","""true""","""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""","""200""","""80""",,"[{'src': 'hda', 'id': 27779817}]",,"""1000""","""200""","""false""",history,1,21,,"[{'src': 'hda', 'id': 27780116}]",0,,,,,,"[{'src': 'hda', 'id': 27771146}]",,single,U,"""gene_id""","""false""","""false""",,35112450,error,toolshed.g2.bx.psu.edu/repos/bgruening/sailfish/sailfish/0.7.6.0,0.7.6.0,,2016-12-31 07:25:43.863007,68538.0,2014.9572850000002
4914.0,len,2017-02-23 17:13:25.563347,slurm_normal,,,,main_w4_handler0,2229800,15120617,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",6812586805.0,fastq,6812586805.0,fastq,,,9274831.roundup,slurm,,corral-repl,378822238,fasta,,"""false""","""false""","""/galaxy-repl/main/files/018/945/dataset_18945079.dat""","""?""","""200""","""80""",,,,"""1000""","""200""","""false""",history,1,21,,"[{'src': 'hda', 'id': 28473884}]",1,,"[{'src': 'hda', 'id': 28473893}]",,"[{'src': 'hda', 'id': 28473894}]",,,I,paired,SR,"""gene_id""","""false""","""false""",,36234406,error,toolshed.g2.bx.psu.edu/repos/bgruening/sailfish/sailfish/0.7.6.0,0.7.6.0,,2017-02-23 17:24:09.796326,5088.0,644.232979
,,2017-09-21 15:34:51.344920,slurm_normal,,,,main_w3_handler0,3217414,16890505,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",,,,,1414811910.0,fastqsanger,10958507.roundup,slurm,,corral-repl,3290776768,fasta,,"""false""","""true""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","""200""","""80""",,,,"""1000""","""200""","""false""",history,1,21,,"[{'src': 'hda', 'id': 31042040}]",0,,,,,,"[{'src': 'hda', 'id': 31042136}]",,single,U,"""gene_id""","""false""","""false""",,39874217,error,toolshed.g2.bx.psu.edu/repos/bgruening/sailfish/sailfish/0.7.6.0,0.7.6.0,,2017-09-21 15:59:42.159341,109973.0,1490.814421
,,2017-01-03 21:43:59.389185,slurm_normal,,4718405.0,tabular,main_w3_handler0,2944304,14683564,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",,,,,5178485694.0,fastqsanger,8853602.roundup,slurm,,corral-repl,212210845,fasta,,"""false""","""false""","""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""","""50""","""10""",,"[{'src': 'hda', 'id': 27802590}]",,"""1000""","""20""","""false""",history,1,21,,"[{'src': 'hda', 'id': 27802554}]",0,,,,,,"[{'src': 'hda', 'id': 27793352}]",,single,U,"""gene_id""","""false""","""false""",,35112450,error,toolshed.g2.bx.psu.edu/repos/bgruening/sailfish/sailfish/0.7.6.0,0.7.6.0,,2017-01-03 21:56:35.362164,68538.0,755.972979
,,2017-09-21 15:34:48.088896,slurm_normal,,,,main_w4_handler1,3217414,16890502,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",,,,,1417694847.0,fastqsanger,10958602.roundup,slurm,,corral-repl,3290776768,fasta,,"""false""","""true""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","""200""","""80""",,,,"""1000""","""200""","""false""",history,1,21,,"[{'src': 'hda', 'id': 31042040}]",0,,,,,,"[{'src': 'hda', 'id': 31042124}]",,single,U,"""gene_id""","""false""","""false""",,39874217,error,toolshed.g2.bx.psu.edu/repos/bgruening/sailfish/sailfish/0.7.6.0,0.7.6.0,,2017-09-21 16:02:54.201812,109973.0,1686.112916
,,2016-12-31 06:52:06.207178,slurm_normal,,752162770.0,gtf,main_w3_handler1,2941867,14669307,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",,,,,5353994946.0,fastqsanger,8841296.roundup,slurm,,corral-repl,224656812,fasta,,"""false""","""true""","""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""","""200""","""80""",,"[{'src': 'hda', 'id': 27779817}]",,"""1000""","""200""","""false""",history,1,21,,"[{'src': 'hda', 'id': 27780116}]",0,,,,,,"[{'src': 'hda', 'id': 27771143}]",,single,U,"""gene_id""","""false""","""false""",,35112450,error,toolshed.g2.bx.psu.edu/repos/bgruening/sailfish/sailfish/0.7.6.0,0.7.6.0,,2016-12-31 07:26:36.910106,68538.0,2070.702928
,,2017-03-22 15:23:46.786111,slurm_normal,,31804358.0,gff3,main_w4_handler1,3030056,15367287,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",,,,,4198033667.0,fastqsanger,9505949.roundup,slurm,,corral-repl,767218420,fasta,,"""false""","""false""","""/galaxy-repl/main/files/019/283/dataset_19283847.dat""","""Sko_v3""","""200""","""80""",,"[{'src': 'hda', 'id': 28864601}]",,"""1000""","""200""","""false""",history,1,21,,"[{'src': 'hda', 'id': 28742717}]",0,,,,,,"[{'src': 'hda', 'id': 28848132}]",,single,SF,"""gene_id""","""false""","""false""",,36595982,error,toolshed.g2.bx.psu.edu/repos/bgruening/sailfish/sailfish/0.7.6.0,0.7.6.0,,2017-03-22 15:33:10.853067,22860.0,564.066956
,,2018-02-13 12:26:41.895790,slurm_normal,,1091824726.0,gtf,main_w4_handler0,3427457,18364555,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",,,,,20307012.0,fasta,12449427,slurm,,corral-repl,3290776768,fasta,,"""false""","""true""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","""200""","""80""",,"[{'src': 'hda', 'id': 33827788}]",,"""1000""","""200""","""false""",history,1,21,,"[{'src': 'hda', 'id': 33827847}]",0,,,,,,"[{'src': 'hda', 'id': 33827655}]",,single,U,"""gene_id""","""false""","""false""",,43073052,error,toolshed.g2.bx.psu.edu/repos/bgruening/sailfish/sailfish/0.7.6.0,0.7.6.0,,2018-02-13 12:31:26.784397,109973.0,284.88860700000004
,,2017-07-13 03:26:31.634103,slurm_normal,,81498659.0,gff3,main_w3_handler1,3190075,16327750,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",,,,,4262289869.0,fastqsanger,10394374.roundup,slurm,,corral-repl,381956675,fasta,,"""false""","""false""","""/galaxy-repl/localdata/chrom/?.len""","""?""","""200""","""80""",,"[{'src': 'hda', 'id': 30454131}]",,"""1000""","""200""","""false""",history,1,21,,"[{'src': 'hda', 'id': 30453667}]",0,,,,,,"[{'src': 'hda', 'id': 30452381}]",,single,SF,"""gene_id""","""false""","""false""",,39018988,error,toolshed.g2.bx.psu.edu/repos/bgruening/sailfish/sailfish/0.7.6.0,0.7.6.0,,2017-07-13 03:33:42.938980,89879.0,431.30487700000003
,,2016-08-26 21:50:50.964482,slurm_normal,,,,main_w3_handler0,2770330,13729041,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",11421070263.0,fastq,12118837165.0,fastq,,,7947135.roundup,slurm,,corral-repl,2470913190,fasta,,"""false""","""false""","""/galaxy-repl/localdata/chrom/?.len""","""?""","""200""","""80""",,,,"""1000""","""200""","""false""",history,1,21,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b52ed9a83260d5dbe7'}]",1,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5f26f4242699ae74d'}]",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5a542fb1461933bd3'}]",,,I,paired,U,"""gene_id""","""false""","""false""",,31789436,error,toolshed.g2.bx.psu.edu/repos/bgruening/sailfish/sailfish/0.7.6.0,0.7.6.0,,2016-08-26 21:56:55.354680,86865.0,364.390198
,,2016-09-27 06:12:45.269281,slurm_normal,,92382491.0,gtf,main_w4_handler1,2834360,13951928,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",,,,,3713805984.0,fastqsanger,8172715.roundup,slurm,,corral-repl,2708009901,fasta,,"""false""","""false""","""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""","""200""","""80""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5a1ac656b469334b9'}]",,"""1000""","""200""","""false""",history,1,17,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5ab39d094e4859fd1'}]",0,,,,,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b535c19ee95f35ad40'}]",,single,U,"""gene_id""","""false""","""false""",,33149969,error,toolshed.g2.bx.psu.edu/repos/bgruening/sailfish/sailfish/0.7.6.0,0.7.6.0,,2016-09-27 06:15:33.646898,62858.0,168.37761700000001
,,2017-01-03 07:57:44.350113,slurm_normal,,752162770.0,gtf,main_w3_handler0,2944304,14679109,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",,,,,5353994946.0,fastqsanger,8849448.roundup,slurm,,corral-repl,224656812,fasta,,"""false""","""false""","""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""","""200""","""80""",,"[{'src': 'hda', 'id': 27793384}]",,"""1000""","""200""","""false""",history,1,21,,"[{'src': 'hda', 'id': 27796852}]",0,,,,,,"[{'src': 'hda', 'id': 27793350}]",,single,U,"""gene_id""","""false""","""false""",,35112450,error,toolshed.g2.bx.psu.edu/repos/bgruening/sailfish/sailfish/0.7.6.0,0.7.6.0,,2017-01-03 08:01:21.256764,68538.0,216.906651
,,2017-05-21 03:33:24.258088,slurm_normal,,,,main_w3_handler0,3107361,15899054,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",10762193434.0,fastqsanger,10469145082.0,fastqsanger,,,9998227.roundup,slurm,,corral-repl,347831063,fasta,,"""false""","""false""","""/galaxy-repl/localdata/chrom/dm6.len""","""dm6""","""100""","""80""",,,,"""1000""","""200""","""false""",history,1,21,,"[{'src': 'hda', 'id': 29704354}]",1,,"[{'src': 'hda', 'id': 29690689}]",,"[{'src': 'hda', 'id': 29690690}]",,,I,paired,SR,"""gene_id""","""false""","""false""",,37945833,error,toolshed.g2.bx.psu.edu/repos/bgruening/sailfish/sailfish/0.7.6.0,0.7.6.0,,2017-05-21 03:39:39.332285,104781.0,375.074197
,,2018-02-13 12:26:42.664501,slurm_normal,,1091824726.0,gtf,main_w3_handler1,3427457,18364556,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",,,,,19676457.0,fasta,12449430,slurm,,corral-repl,3290776768,fasta,,"""false""","""true""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","""200""","""80""",,"[{'src': 'hda', 'id': 33827788}]",,"""1000""","""200""","""false""",history,1,21,,"[{'src': 'hda', 'id': 33827847}]",0,,,,,,"[{'src': 'hda', 'id': 33827661}]",,single,U,"""gene_id""","""false""","""false""",,43073052,error,toolshed.g2.bx.psu.edu/repos/bgruening/sailfish/sailfish/0.7.6.0,0.7.6.0,,2018-02-13 12:29:57.293713,109973.0,194.62921200000002
,,2017-10-10 09:41:40.054571,slurm_normal,,,,main_w4_handler0,3217414,17063170,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",,,,,713988515.0,fastqsanger,11120660.roundup,slurm,,corral-repl,3290776768,fasta,,"""false""","""true""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","""200""","""80""",,,,"""1000""","""200""","""false""",history,1,21,,"[{'src': 'hda', 'id': 31042040}]",0,,,,,,"[{'src': 'hda', 'id': 31553887}]",,single,U,"""gene_id""","""false""","""false""",,39874217,error,toolshed.g2.bx.psu.edu/repos/bgruening/sailfish/sailfish/0.7.6.0,0.7.6.0,,2017-10-10 09:43:32.438770,109973.0,112.38419900000001
,,2018-02-02 18:58:22.250875,slurm_normal,,,,main_w4_handler1,2550074,18240377,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",13390923045.0,fastqsanger,13390923045.0,fastqsanger,,,12320222,slurm,,corral-repl,320210846,fasta,,"""false""","""false""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","""200""","""80""",,,,"""1000""","""200""","""false""",history,1,21,,"[{'src': 'hda', 'id': 33613912}]",1,,"[{'src': 'hda', 'id': 33642293}]",,"[{'src': 'hda', 'id': 33642300}]",,,I,paired,U,"""gene_id""","""false""","""false""",,43423590,error,toolshed.g2.bx.psu.edu/repos/bgruening/sailfish/sailfish/0.7.6.0,0.7.6.0,,2018-02-02 19:03:04.532336,75575.0,282.28146100000004
,,2016-01-05 00:25:55.371159,slurm_normal,,314535743.0,tabular,main_w1_handler1,2465142,11375106,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",,,,,583533.0,fasta,5647401.roundup,slurm,,corral-repl,319373141,fasta,,"""False""","""False""","""/galaxy-repl/localdata/chrom/?.len""","""?""","""200""","""80""",22735924,,,"""1000""","""200""","""False""",history,1,21,22735752.0,,0,,,,,22735914.0,,,single,U,"""gene_id""","""False""","""False""",,27180128,error,toolshed.g2.bx.psu.edu/repos/bgruening/sailfish/sailfish/0.7.6.0,0.7.6.0,,2016-01-05 00:31:22.033025,70807.0,326.66186600000003
