create_time,destination_id,exit_code,handler,history_id,id,imported,info,input,input_filetype,job_runner_external_id,job_runner_name,library_folder_id,object_store_id,param_filename,parameters.__job_resource.__current_case__,parameters.__job_resource.__job_resource__select,parameters.__job_resource.tacc_compute_resource,parameters.__workflow_invocation_uuid__,parameters.bias_correction.__current_case__,parameters.bias_correction.do_bias_correction,parameters.bias_correction.seq_source.__current_case__,parameters.bias_correction.seq_source.index_source,parameters.chromInfo,parameters.dbkey,parameters.do_normalization,parameters.effective_length_correction,parameters.input,parameters.max_intron_len,parameters.min_isoform_fraction,parameters.multiread_correct,parameters.pre_mrna_fraction,parameters.reference_annotation.__current_case__,parameters.reference_annotation.reference_annotation_file,parameters.reference_annotation.reference_annotation_guide_file,parameters.reference_annotation.use_ref,reference_annotation_file,reference_annotation_file_filetype,reference_annotation_guide_file,reference_annotation_guide_file_filetype,runner_name,session_id,state,tool_id,tool_version,traceback,update_time,user_id,runtime
2015-03-03 16:45:08.665232,roundup_multi,,main_w2_handler2,2201111,8852528,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",1876223016,bam,2998564,slurm,,corral-repl,,,,,,1,No,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""No""","""""",18711885,"""300000""","""0.1""","""No""","""0.15""",2,,18666211.0,Use reference annotation guide,,,1111970946.0,gtf,,21531768,error,toolshed.g2.bx.psu.edu/repos/devteam/cufflinks/cufflinks/0.0.6,0.0.6,,2015-03-04 14:35:46.723620,14873,78638.058388
2015-04-16 13:37:24.621914,slurm_multi,,main_w2_handler2,2249109,9245657,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",21095516065,bam,3528774,slurm,,corral-repl,,,,,,0,Yes,0.0,cached,"""/galaxy-repl/localdata/chrom/dm3.len""","""dm3""","""Yes""","""""",19128381,"""300000""","""0.1""","""Yes""","""0.15""",2,,19207699.0,Use reference annotation guide,,,38092065.0,gtf,,22528109,error,toolshed.g2.bx.psu.edu/repos/devteam/cufflinks/cufflinks/0.0.6,0.0.6,,2015-04-16 14:24:31.025264,59519,2826.40335
2015-04-15 11:59:17.692124,slurm_multi,,main_w2_handler2,2256453,9235835,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",4073159806,bam,3517112,slurm,,corral-repl,,,,,,1,No,,,"""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""","""No""","""""",19273532,"""300000""","""0.1""","""Yes""","""0.15""",1,19283248.0,,Use reference annotation,715569327.0,gtf,,,,22319313,error,toolshed.g2.bx.psu.edu/repos/devteam/cufflinks/cufflinks/0.0.6,0.0.6,,2015-04-15 12:31:22.776731,61766,1925.0846070000002
2015-04-14 10:35:47.285701,slurm_multi,,main_w2_handler2,2256453,9227145,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",4073159806,bam,3512691,slurm,,corral-repl,,,,,,0,Yes,0.0,cached,"""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""","""No""","""""",19273532,"""300000""","""0.1""","""Yes""","""0.15""",1,19283248.0,,Use reference annotation,715569327.0,gtf,,,,22319313,error,toolshed.g2.bx.psu.edu/repos/devteam/cufflinks/cufflinks/0.0.6,0.0.6,,2015-04-14 22:18:52.377090,61766,42185.091389
2015-02-27 13:10:42.629601,roundup_multi,,main_w2_handler2,1711446,8828255,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",333009190,sam,2944679,slurm,,corral-repl,,,,,,1,No,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""No""","""""",18668208,"""158762""","""0.1""","""No""","""0.0498""",1,15923443.0,,Use reference annotation,239193959.0,gtf,,,,20558240,error,toolshed.g2.bx.psu.edu/repos/devteam/cufflinks/cufflinks/0.0.6,0.0.6,,2015-02-27 13:26:48.626704,42248,965.997103
2015-04-15 10:52:26.851126,slurm_multi,,main_w2_handler2,2256453,9235569,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",4073159806,bam,3516832,slurm,,corral-repl,,,,,,0,Yes,0.0,cached,"""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""","""No""","""""",19273532,"""300000""","""0.1""","""Yes""","""0.15""",1,19283248.0,,Use reference annotation,715569327.0,gtf,,,,22319313,error,toolshed.g2.bx.psu.edu/repos/devteam/cufflinks/cufflinks/0.0.6,0.0.6,,2015-04-15 11:42:44.208098,61766,3017.356972
2015-01-11 17:01:39.836731,roundup_multi,,main_w2_handler2,2166469,8528874,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",151043798,bam,2452014,slurm,,corral-repl,,,,,,1,No,,,"""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""","""No""","""""",18178277,"""300000""","""0.1""","""No""","""0.15""",1,18179720.0,,Use reference annotation,326780685.0,gtf,,,,20438069,error,toolshed.g2.bx.psu.edu/repos/devteam/cufflinks/cufflinks/0.0.6,0.0.6,,2015-01-11 17:16:16.413262,57844,876.576531
2014-12-05 16:58:48.544991,roundup_multi,,main_w2_handler2,2129832,8336832,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",6262168533,bam,2217694,slurm,,corral-repl,,0.0,no,,,0,Yes,0.0,cached,"""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""","""No""","""""",17721639,"""300000""","""0.1""","""Yes""","""0.15""",1,17704344.0,,Use reference annotation,326367997.0,gtf,,,,19806289,error,toolshed.g2.bx.psu.edu/repos/devteam/cufflinks/cufflinks/0.0.6,0.0.6,,2014-12-05 17:32:52.764672,56597,2044.219681
2015-04-17 15:04:04.742804,slurm_multi,,main_w2_handler2,2249109,9258406,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",21095516065,bam,3543091,slurm,,corral-repl,,,,,,1,No,,,"""/galaxy-repl/localdata/chrom/dm3.len""","""dm3""","""Yes""","""""",19128381,"""300000""","""0.1""","""No""","""0.15""",2,,19207699.0,Use reference annotation guide,,,38092065.0,gtf,,22528109,error,toolshed.g2.bx.psu.edu/repos/devteam/cufflinks/cufflinks/0.0.6,0.0.6,,2015-04-17 15:52:43.038999,59519,2918.2961950000004
2015-04-05 18:52:24.105421,slurm_multi,,main_w2_handler2,2255585,9145520,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",638342724,bam,3428543,slurm,,corral-repl,,,,,"""e4d6947edbc411e4a239005056a52a46""",1,No,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""No""","""""",19088823,"""300000""","""0.1""","""No""","""0.15""",2,,19089164.0,Use reference annotation guide,,,457310791.0,gtf,,22177647,error,toolshed.g2.bx.psu.edu/repos/devteam/cufflinks/cufflinks/0.0.6,0.0.6,,2015-04-05 20:39:28.128520,61777,6424.023099
2015-02-27 16:04:27.675406,roundup_multi,,main_w2_handler2,1711446,8829296,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",169802647,sam,2946465,slurm,,corral-repl,,,,,,1,No,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""No""","""""",18668223,"""198441""","""0.1""","""No""","""0.0423""",1,15923443.0,,Use reference annotation,239193959.0,gtf,,,,20558240,error,toolshed.g2.bx.psu.edu/repos/devteam/cufflinks/cufflinks/0.0.6,0.0.6,,2015-02-27 16:49:07.831897,42248,2680.156491
2014-12-05 17:33:53.758382,roundup_multi,,main_w2_handler2,2129832,8337077,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",6262168533,bam,2217811,slurm,,corral-repl,,0.0,no,,,0,Yes,0.0,cached,"""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""","""No""","""""",17721639,"""300000""","""0.1""","""Yes""","""0.15""",1,17704344.0,,Use reference annotation,326367997.0,gtf,,,,19806289,error,toolshed.g2.bx.psu.edu/repos/devteam/cufflinks/cufflinks/0.0.6,0.0.6,,2014-12-05 18:02:39.001338,56597,1725.242956
2015-04-15 07:54:50.023390,slurm_multi,,main_w2_handler2,2256453,9234789,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",4073159806,bam,3516026,slurm,,corral-repl,,,,,,0,Yes,0.0,cached,"""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""","""No""","""""",19273532,"""300000""","""0.1""","""Yes""","""0.15""",1,19283248.0,,Use reference annotation,715569327.0,gtf,,,,22319313,error,toolshed.g2.bx.psu.edu/repos/devteam/cufflinks/cufflinks/0.0.6,0.0.6,,2015-04-15 09:26:16.164554,61766,5486.141164000001
2015-04-07 11:01:35.192040,slurm_multi,,main_w2_handler2,2260368,9156992,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",30448767570,bam,3439161,slurm,,corral-repl,,,,,,0,Yes,0.0,cached,"""/galaxy-repl/localdata/chrom/dm3.len""","""dm3""","""No""","""""",19153422,"""300000""","""0.1""","""Yes""","""0.15""",0,,,No,,,,,,22221788,error,toolshed.g2.bx.psu.edu/repos/devteam/cufflinks/cufflinks/0.0.6,0.0.6,,2015-04-07 15:03:53.524755,61899,14538.332715
2014-11-30 19:58:11.956932,roundup_multi,,main_w2_handler2,2129832,8273507,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",2999683608,bam,2142636,slurm,,corral-repl,,0.0,no,,,1,No,,,"""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""","""No""","""""",17703513,"""300000""","""0.1""","""No""","""0.15""",1,17704344.0,,Use reference annotation,326367997.0,gtf,,,,19806304,error,toolshed.g2.bx.psu.edu/repos/devteam/cufflinks/cufflinks/0.0.6,0.0.6,,2014-11-30 20:07:26.921392,56597,554.96446
2014-11-30 19:59:02.130143,roundup_multi,,main_w2_handler2,2129832,8273512,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",2635513862,bam,2142693,slurm,,corral-repl,,0.0,no,,,1,No,,,"""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""","""No""","""""",17703514,"""300000""","""0.1""","""No""","""0.15""",1,17704344.0,,Use reference annotation,326367997.0,gtf,,,,19806304,error,toolshed.g2.bx.psu.edu/repos/devteam/cufflinks/cufflinks/0.0.6,0.0.6,,2014-11-30 20:16:56.475567,56597,1074.345424
2015-03-24 11:37:11.101939,roundup_multi,,main_w2_handler2,1732583,9022548,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",40677085485,bam,3306136,slurm,,corral-repl,,,,,,1,No,,,"""/galaxy-repl/localdata/chrom/dm3.len""","""dm3""","""No""","""""",18965996,"""300000""","""0.1""","""No""","""0.15""",0,,,No,,,,,,21543864,error,toolshed.g2.bx.psu.edu/repos/devteam/cufflinks/cufflinks/0.0.6,0.0.6,,2015-03-24 13:19:10.331017,43361,6119.229078
2015-01-11 19:59:41.057624,roundup_multi,,main_w2_handler2,2166469,8529174,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",2869296311,bam,2452425,slurm,,corral-repl,,,,,,1,No,,,"""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""","""No""","""--no-effective-length-correction""",18178263,"""300000""","""0.1""","""No""","""0.15""",1,18179720.0,,Use reference annotation,326780685.0,gtf,,,,20328789,error,toolshed.g2.bx.psu.edu/repos/devteam/cufflinks/cufflinks/0.0.6,0.0.6,,2015-01-11 20:17:24.032521,57844,1062.974897
2014-11-28 23:11:06.846670,roundup_multi,,main_w2_handler2,2129832,8266420,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",2999683608,bam,2134503,slurm,,corral-repl,,0.0,no,,,1,No,,,"""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""","""No""","""""",17703513,"""300000""","""0.1""","""No""","""0.15""",1,17704344.0,,Use reference annotation,326367997.0,gtf,,,,19806304,error,toolshed.g2.bx.psu.edu/repos/devteam/cufflinks/cufflinks/0.0.6,0.0.6,,2014-11-28 23:23:31.832697,56597,744.986027
2014-12-26 06:41:23.746545,roundup_multi,,main_w2_handler2,2157726,8468491,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",262264792,bam,2377388,slurm,,corral-repl,,0.0,no,,,1,No,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""No""","""""",18067514,"""300000""","""0.1""","""No""","""0.15""",2,,18066329.0,Use reference annotation guide,,,52437654.0,gtf,,20207659,error,toolshed.g2.bx.psu.edu/repos/devteam/cufflinks/cufflinks/0.0.6,0.0.6,,2014-12-26 06:49:56.334865,54195,512.5883200000001
2015-04-28 13:23:03.967919,slurm_multi,,main_w2_handler2,2277480,9350823,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",720313699,bam,3687975,slurm,,corral-repl,,0.0,no,,,1,No,,,"""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""","""No""","""""",19481495,"""300000""","""0.1""","""No""","""0.15""",1,19493878.0,,Use reference annotation,715609262.0,gtf,,,,22617493,error,toolshed.g2.bx.psu.edu/repos/devteam/cufflinks/cufflinks/0.0.6,0.0.6,,2015-04-28 13:42:42.509821,53119,1178.5419020000002
2014-12-26 06:41:08.489132,roundup_multi,,main_w2_handler2,2157726,8468489,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",267006789,bam,2377387,slurm,,corral-repl,,0.0,no,,,1,No,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""No""","""""",18067512,"""300000""","""0.1""","""No""","""0.15""",2,,18066329.0,Use reference annotation guide,,,52437654.0,gtf,,20207659,error,toolshed.g2.bx.psu.edu/repos/devteam/cufflinks/cufflinks/0.0.6,0.0.6,,2014-12-26 06:58:31.711925,54195,1043.2227930000001
2015-01-11 17:02:45.812108,roundup_multi,,main_w2_handler2,2166469,8528875,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",72871022,bam,2452022,slurm,,corral-repl,,,,,,1,No,,,"""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""","""No""","""""",18178270,"""300000""","""0.1""","""No""","""0.15""",1,18179720.0,,Use reference annotation,326780685.0,gtf,,,,20438069,error,toolshed.g2.bx.psu.edu/repos/devteam/cufflinks/cufflinks/0.0.6,0.0.6,,2015-01-11 17:20:05.131890,57844,1039.319782
2015-03-31 18:35:05.523517,roundup_multi,,main_w2_handler2,2255585,9103984,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",638342724,bam,3389996,slurm,,corral-repl,,,,,"""a4754ee6d7d411e4b294005056a52a46""",1,No,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""No""","""""",19088823,"""300000""","""0.1""","""No""","""0.15""",2,,19089164.0,Use reference annotation guide,,,457310791.0,gtf,,22177647,error,toolshed.g2.bx.psu.edu/repos/devteam/cufflinks/cufflinks/0.0.6,0.0.6,,2015-03-31 22:19:37.936494,61777,13472.412977
2015-05-15 23:04:06.996755,slurm_multi_dynamic_walltime,,main_w2_handler2,2299825,9481270,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",4963162845,bam,3805076,slurm,,corral-repl,,0.0,no,,,1,No,,,"""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""","""No""","""""",19656564,"""300000""","""0.1""","""No""","""0.15""",1,19726110.0,,Use reference annotation,726685336.0,gtf,,,,22980004,error,toolshed.g2.bx.psu.edu/repos/devteam/cufflinks/cufflinks/0.0.6,0.0.6,,2015-05-15 23:46:36.552180,63307,2549.555425
2015-04-17 15:03:58.013892,slurm_multi,,main_w2_handler2,2249109,9258404,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",12110297422,bam,3542750,slurm,,corral-repl,,,,,,1,No,,,"""/galaxy-repl/localdata/chrom/dm3.len""","""dm3""","""Yes""","""""",19128369,"""300000""","""0.1""","""No""","""0.15""",2,,19207699.0,Use reference annotation guide,,,38092065.0,gtf,,22528109,error,toolshed.g2.bx.psu.edu/repos/devteam/cufflinks/cufflinks/0.0.6,0.0.6,,2015-04-17 15:29:29.726716,59519,1531.7128240000002
2015-03-24 16:50:44.216780,roundup_multi,,main_w2_handler2,1732583,9025454,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",40677085485,bam,3310523,slurm,,corral-repl,,,,,,1,No,,,"""/galaxy-repl/localdata/chrom/dm3.len""","""dm3""","""No""","""""",18965996,"""300000""","""0.1""","""No""","""0.15""",0,,,No,,,,,,21543864,error,toolshed.g2.bx.psu.edu/repos/devteam/cufflinks/cufflinks/0.0.6,0.0.6,,2015-03-24 18:48:57.069916,43361,7092.853136000001
2015-04-15 07:56:23.355805,slurm_multi,,main_w2_handler2,2256453,9234795,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",4073159806,bam,3516382,slurm,,corral-repl,,,,,,0,Yes,0.0,cached,"""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""","""No""","""""",19273532,"""300000""","""0.1""","""Yes""","""0.15""",1,19283248.0,,Use reference annotation,715569327.0,gtf,,,,22319313,error,toolshed.g2.bx.psu.edu/repos/devteam/cufflinks/cufflinks/0.0.6,0.0.6,,2015-04-15 10:35:21.735381,61766,9538.379576000001
2015-02-27 12:39:37.587423,roundup_multi,,main_w2_handler2,1711446,8828049,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",333009190,sam,2944326,slurm,,corral-repl,,,,,,1,No,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""No""","""""",18668208,"""300000""","""0.1""","""No""","""0.15""",1,15923443.0,,Use reference annotation,239193959.0,gtf,,,,20558240,error,toolshed.g2.bx.psu.edu/repos/devteam/cufflinks/cufflinks/0.0.6,0.0.6,,2015-02-27 12:54:08.506334,42248,870.9189110000001
2014-12-05 17:01:46.552311,roundup_multi,,main_w2_handler2,2129832,8336853,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",6132539290,bam,2217700,slurm,,corral-repl,,0.0,no,,,0,Yes,0.0,cached,"""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""","""No""","""""",17729375,"""300000""","""0.1""","""Yes""","""0.15""",1,17704344.0,,Use reference annotation,326367997.0,gtf,,,,19806289,error,toolshed.g2.bx.psu.edu/repos/devteam/cufflinks/cufflinks/0.0.6,0.0.6,,2014-12-05 17:33:18.478568,56597,1891.926257
2015-04-17 15:04:12.124106,slurm_multi,,main_w2_handler2,2249109,9258409,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",15426307269,bam,3543545,slurm,,corral-repl,,,,,,1,No,,,"""/galaxy-repl/localdata/chrom/dm3.len""","""dm3""","""Yes""","""""",19128415,"""300000""","""0.1""","""No""","""0.15""",2,,19207699.0,Use reference annotation guide,,,38092065.0,gtf,,22528109,error,toolshed.g2.bx.psu.edu/repos/devteam/cufflinks/cufflinks/0.0.6,0.0.6,,2015-04-17 18:05:11.873155,59519,10859.749049
2015-03-12 16:00:21.192962,roundup_multi,,main_w2_handler2,2209447,8933920,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",1089661076,bam,3142029,slurm,,corral-repl,,,,,,1,No,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""No""","""""",18835536,"""300000""","""0.1""","""No""","""0.15""",1,18837235.0,,Use reference annotation,6944830805.0,gtf,,,,21298708,error,toolshed.g2.bx.psu.edu/repos/devteam/cufflinks/cufflinks/0.0.6,0.0.6,,2015-03-12 16:59:37.151534,59774,3555.958572
2015-04-15 07:53:33.531049,slurm_multi,,main_w2_handler2,2256453,9234783,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",4073159806,bam,3516016,slurm,,corral-repl,,,,,,0,Yes,0.0,cached,"""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""","""No""","""""",19273532,"""300000""","""0.1""","""Yes""","""0.15""",1,19283248.0,,Use reference annotation,715569327.0,gtf,,,,22319313,error,toolshed.g2.bx.psu.edu/repos/devteam/cufflinks/cufflinks/0.0.6,0.0.6,,2015-04-15 09:19:16.083716,61766,5142.552667
