create_time,destination_id,exit_code,handler,history_id,id,imported,info,input_bams_0|input_bam,input_bams_0|input_bam_filetype,input_bams_1|input_bam,input_bams_1|input_bam_filetype,input_bams_2|input_bam,input_bams_2|input_bam_filetype,input_bams_3|input_bam,input_bams_3|input_bam_filetype,input_bams_4|input_bam,input_bams_4|input_bam_filetype,input_bams_5|input_bam,input_bams_5|input_bam_filetype,job_runner_external_id,job_runner_name,library_folder_id,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.advanced_options.__current_case__,parameters.advanced_options.advanced_options_selector,parameters.advanced_options.coverage_dtype,parameters.advanced_options.safe,parameters.chromInfo,parameters.coverage_dtype,parameters.dbkey,parameters.min_base_quality,parameters.min_mapping_quality,parameters.min_support_depth,parameters.ploidy,parameters.reference_source.__current_case__,parameters.reference_source.input_bams,parameters.reference_source.ref_file,parameters.reference_source.ref_file.__class__,parameters.reference_source.ref_file.value,parameters.reference_source.reference_source_selector,parameters.regions,parameters.use_strand,parameters.variants_only,ref_file,ref_file_filetype,reference_source|input_bams_0|input_bam,reference_source|input_bams_0|input_bam_filetype,runner_name,session_id,state,tool_id,tool_version,traceback,update_time,user_id,runtime
2015-09-17 01:22:50.031106,slurm_normal_16gb,,main_w2_handler1,2441556,10340212,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",21764892.0,bam,,,,,,,,,,,4623540.roundup,slurm,,corral-repl,,,1,advanced,uint8,False,"""/galaxy-repl/localdata/chrom/Homo_sapiens_nuHg19_mtrCRS.len""",,"""Homo_sapiens_nuHg19_mtrCRS""","""40""","""""","""10""","""1""",0.0,"[{'__index__': 0, 'input_bam': 21142036}]",Homo_sapiens_nuHg19_mtrCRS,,,cached,[],"""True""","""True""",,,,,,25168061,error,toolshed.g2.bx.psu.edu/repos/blankenberg/naive_variant_caller/naive_variant_caller/0.0.1,0.0.1,,2015-09-17 01:33:08.886097,68906.0,618.854991
2015-08-16 12:22:15.948721,slurm_normal_16gb,,main_w1_handler2,2409442,10128248,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",25038036.0,bam,,,,,,,,,,,4400545.roundup,slurm,,corral-repl,,,1,advanced,guess,False,"""/galaxy-repl/localdata/chrom/hg19.len""",,"""hg19""","""20""","""""","""10""","""1""",0.0,"[{'__index__': 0, 'input_bam': 20784652}]",hg19,,,cached,[],"""True""","""True""",,,,,,24281926,error,toolshed.g2.bx.psu.edu/repos/blankenberg/naive_variant_caller/naive_variant_caller/0.0.1,0.0.1,,2015-08-16 18:37:23.243164,14065.0,22507.294443000003
2015-09-26 15:19:33.442860,slurm_normal_16gb,,main_w2_handler0,2452068,10434257,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",11343531.0,bam,10602405.0,bam,13783124.0,bam,,,,,,,4712497.roundup,slurm,,corral-repl,,,0,basic,,,"""/galaxy-repl/localdata/chrom/hg19.len""",,"""hg19""","""""","""""","""0""","""2""",0.0,"[{'__index__': 0, 'input_bam': 21281239}, {'__index__': 1, 'input_bam': 21281236}, {'__index__': 2, 'input_bam': 21281234}]",hg19,,,cached,[],"""False""","""False""",,,,,,25055584,error,toolshed.g2.bx.psu.edu/repos/blankenberg/naive_variant_caller/naive_variant_caller/0.0.1,0.0.1,,2015-09-26 18:56:02.513270,68667.0,12989.07041
2015-01-15 14:48:47.823538,rodeo_normal,,main_w1_handler1,2159444,8551894,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",4551991603.0,bam,,,,,,,,,,,776614.rodeo,slurm,,corral-repl,,,0,basic,,,"""/galaxy-repl/localdata/chrom/Homo_sapiens_nuHg19_mtrCRS.len""",,"""Homo_sapiens_nuHg19_mtrCRS""","""30""","""20""","""40""","""1""",0.0,"[{'__index__': 0, 'input_bam': 18208378}]",Homo_sapiens_nuHg19_mtrCRS,,,cached,[],"""True""","""True""",,,,,,20238570,error,toolshed.g2.bx.psu.edu/repos/blankenberg/naive_variant_caller/naive_variant_caller/0.0.1,0.0.1,,2015-01-15 14:49:23.198673,29829.0,35.375135
2015-01-26 18:06:22.590208,rodeo_normal,,main_w2_handler0,2184969,8608697,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",18233254.0,bam,,,,,,,,,,,2569754.roundup,slurm,,corral-repl,,"""03fef08ca58611e4979d005056a51846""",0,basic,,,"""/galaxy-repl/localdata/chrom/Homo_sapiens_nuHg19_mtrCRS.len""","""uint16""","""Homo_sapiens_nuHg19_mtrCRS""","""20""","""""","""10""","""1""",0.0,"[{'__index__': 0, 'input_bam': 18303705}]",Homo_sapiens_nuHg19_mtrCRS,,,cached,[],"""True""","""True""",,,,,,19558045,error,toolshed.g2.bx.psu.edu/repos/blankenberg/naive_variant_caller/naive_variant_caller/0.0.1,0.0.1,,2015-01-26 18:13:13.832493,5254.0,411.24228500000004
2015-07-19 19:58:37.652076,slurm_normal_16gb,,main_w1_handler2,2381818,9909352,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",32922906.0,bam,,,,,,,,,,,4197770.roundup,slurm,,corral-repl,,,1,advanced,uint8,False,"""/galaxy-repl/localdata/chrom/Homo_sapiens_nuHg19_mtrCRS.len""",,"""Homo_sapiens_nuHg19_mtrCRS""","""20""","""""","""10""","""1""",0.0,"[{'__index__': 0, 'input_bam': 20423283}]",Homo_sapiens_nuHg19_mtrCRS,,,cached,[],"""True""","""True""",,,,,,24214065,error,toolshed.g2.bx.psu.edu/repos/blankenberg/naive_variant_caller/naive_variant_caller/0.0.1,0.0.1,,2015-07-19 20:04:31.908319,66478.0,354.25624300000004
2015-08-23 15:29:57.577633,slurm_normal_16gb,,main_w1_handler0,2416113,10179754,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",33038884.0,bam,,,,,,,,,,,4449359.roundup,slurm,,corral-repl,,,0,basic,,,"""/galaxy-repl/localdata/chrom/Homo_sapiens_nuHg19_mtrCRS.len""",,"""Homo_sapiens_nuHg19_mtrCRS""","""20""","""""","""0""","""2""",0.0,"[{'__index__': 0, 'input_bam': 20874476}]",Homo_sapiens_nuHg19_mtrCRS,,,cached,[],"""True""","""True""",,,,,,24793194,error,toolshed.g2.bx.psu.edu/repos/blankenberg/naive_variant_caller/naive_variant_caller/0.0.1,0.0.1,,2015-08-23 15:35:07.373888,68069.0,309.79625500000003
2015-08-20 14:06:52.885337,slurm_normal_16gb,,main_w1_handler2,2413644,10157061,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",1947993.0,bam,,,,,,,,,,,4426835.roundup,slurm,,corral-repl,,,0,basic,,,"""/galaxy-repl/localdata/chrom/Homo_sapiens_nuHg19_mtrCRS.len""",,"""Homo_sapiens_nuHg19_mtrCRS""","""40""","""""","""0""","""2""",0.0,"[{'__index__': 0, 'input_bam': 20834776}]",hg19,,,cached,[],"""False""","""False""",,,,,,24758000,error,toolshed.g2.bx.psu.edu/repos/blankenberg/naive_variant_caller/naive_variant_caller/0.0.1,0.0.1,,2015-08-20 14:21:03.423394,67915.0,850.5380570000001
2015-09-28 03:17:28.677212,slurm_normal_16gb,,main_w1_handler0,2452956,10446855,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",23154740.0,bam,,,,,,,,,,,4724518.roundup,slurm,,corral-repl,,,1,advanced,uint8,False,"""/galaxy-repl/localdata/chrom/?.len""",,"""?""","""20""","""""","""10""","""1""",0.0,"[{'__index__': 0, 'input_bam': 21297008}]",hg19,,,cached,[],"""True""","""True""",,,,,,25395235,error,toolshed.g2.bx.psu.edu/repos/blankenberg/naive_variant_caller/naive_variant_caller/0.0.1,0.0.1,,2015-09-28 07:04:32.829335,69117.0,13624.152123000002
2015-01-06 11:28:51.003786,rodeo_normal,,main_w1_handler0,2165471,8503858,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",94020996.0,bam,,,,,,,,,,,2421708.roundup,slurm,,corral-repl,,,0,basic,,,"""/galaxy-repl/localdata/chrom/hg19.len""",,"""hg19""","""""","""""","""0""","""2""",0.0,"[{'__index__': 0, 'input_bam': 18138086}]",hg19,,,cached,[],"""False""","""False""",,,,,,20353363,error,toolshed.g2.bx.psu.edu/repos/blankenberg/naive_variant_caller/naive_variant_caller/0.0.1,0.0.1,,2015-01-06 11:29:46.469455,,55.465669000000005
2015-02-24 10:00:09.176287,slurm_normal_single_16gb,,main_w1_handler1,2205360,8801433,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",13432077.0,bam,,,,,,,,,,,2941098.roundup,slurm,,corral-repl,,,0,basic,,,"""/galaxy-repl/localdata/chrom/hg19.len""",,"""hg19""","""30""","""""","""0""","""2""",0.0,"[{'__index__': 0, 'input_bam': 18625251}]",hg19,,,cached,[],"""False""","""False""",,,,,,21240481,error,toolshed.g2.bx.psu.edu/repos/blankenberg/naive_variant_caller/naive_variant_caller/0.0.1,0.0.1,,2015-02-27 08:38:08.346438,59612.0,254279.17015100003
2015-03-23 15:29:44.337052,slurm_normal_single_16gb,,main_w2_handler1,2242091,9015212,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",3620116.0,bam,,,,,,,,,,,3292464.roundup,slurm,,corral-repl,,,0,basic,,,"""/galaxy-repl/localdata/chrom/Homo_sapiens_nuHg19_mtrCRS.len""",,"""Homo_sapiens_nuHg19_mtrCRS""","""""","""""","""2""","""2""",0.0,"[{'__index__': 0, 'input_bam': 18960699}]",Homo_sapiens_AK1,,,cached,[],"""False""","""False""",,,,,,21898773,error,toolshed.g2.bx.psu.edu/repos/blankenberg/naive_variant_caller/naive_variant_caller/0.0.1,0.0.1,,2015-03-23 15:44:55.936488,61109.0,911.5994360000001
2015-07-26 20:12:20.450242,slurm_normal_16gb,,main_w2_handler1,2390883,9999337,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",23284402.0,bam,,,,,,,,,,,4282122.roundup,slurm,,corral-repl,,,0,basic,,,"""/galaxy-repl/localdata/chrom/hg19.len""",,"""hg19""","""20""","""""","""10""","""1""",1.0,"[{'__index__': 0, 'input_bam': 20565395}]",20568805,,,history,[],"""False""","""False""",3157608038.0,fasta,,,,24328363,error,toolshed.g2.bx.psu.edu/repos/blankenberg/naive_variant_caller/naive_variant_caller/0.0.1,0.0.1,,2015-07-26 20:26:55.167944,66516.0,874.717702
2015-08-18 21:43:19.313379,slurm_normal_16gb,,main_w2_handler0,2411895,10144191,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",13574211.0,bam,,,,,,,,,,,4415739.roundup,slurm,,corral-repl,,,0,basic,,,"""/galaxy-repl/localdata/chrom/?.len""",,"""?""","""20""","""""","""10""","""1""",0.0,"[{'__index__': 0, 'input_bam': 20814892}]",hg19,,,cached,[],"""True""","""True""",,,,,,24639279,error,toolshed.g2.bx.psu.edu/repos/blankenberg/naive_variant_caller/naive_variant_caller/0.0.1,0.0.1,,2015-08-19 02:37:15.608525,67637.0,17636.295146
2015-07-13 22:49:51.390991,slurm_normal_16gb,,main_w2_handler0,2374957,9855608,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",24334133.0,bam,,,,,,,,,,,4150393.roundup,slurm,,corral-repl,,,0,basic,,,"""/galaxy-repl/localdata/chrom/hg38.len""",,"""hg38""","""""","""""","""0""","""2""",0.0,"[{'__index__': 0, 'input_bam': 20339070}]",hg_g1k_v37,,,cached,[],"""True""","""True""",,,,,,24108481,error,toolshed.g2.bx.psu.edu/repos/blankenberg/naive_variant_caller/naive_variant_caller/0.0.1,0.0.1,,2015-07-13 22:57:49.742011,63364.0,478.35102
2015-09-10 00:39:18.289311,slurm_normal_16gb,,main_w1_handler1,2432889,10290991,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",17783566.0,bam,,,,,,,,,,,4576308.roundup,slurm,,corral-repl,,,0,basic,,,"""/galaxy-repl/localdata/chrom/?.len""",,"""?""","""""","""""","""0""","""2""",0.0,"[{'__index__': 0, 'input_bam': 21053574}]",hg19,,,cached,[],"""False""","""False""",,,,,,24887549,error,toolshed.g2.bx.psu.edu/repos/blankenberg/naive_variant_caller/naive_variant_caller/0.0.1,0.0.1,,2015-09-10 00:44:29.102405,54854.0,310.81309400000004
2015-11-03 15:30:36.715058,slurm_normal_16gb,,main_w2_handler0,2186621,10807536,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",82915811.0,bam,,,,,,,,,,,5063151.roundup,slurm,,corral-repl,,,0,basic,,,"""/galaxy-repl/localdata/chrom/hg_g1k_v37.len""",,"""hg_g1k_v37""","""""","""""","""0""","""2""",0.0,"[{'__index__': 0, 'input_bam': 21850585}]",12931,,,cached,[],"""True""","""False""",,,,,,24912719,error,toolshed.g2.bx.psu.edu/repos/blankenberg/naive_variant_caller/naive_variant_caller/0.0.1,0.0.1,,2015-11-03 15:57:37.805660,58857.0,1621.090602
2015-08-19 06:17:38.621638,slurm_normal_16gb,,main_w1_handler2,2412256,10146523,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",21319649.0,bam,,,,,,,,,,,4417236.roundup,slurm,,corral-repl,,,1,advanced,uint8,False,"""/galaxy-repl/localdata/chrom/Homo_sapiens_nuHg19_mtrCRS.len""",,"""Homo_sapiens_nuHg19_mtrCRS""","""20""","""""","""10""","""1""",0.0,"[{'__index__': 0, 'input_bam': 20819311}]",Homo_sapiens_nuHg19_mtrCRS,,,cached,[],"""True""","""True""",,,,,,24648754,error,toolshed.g2.bx.psu.edu/repos/blankenberg/naive_variant_caller/naive_variant_caller/0.0.1,0.0.1,,2015-08-19 06:20:21.758659,67665.0,163.137021
2015-02-03 19:11:44.628717,slurm_normal_single_16gb,,main_w2_handler1,2194103,8658456,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",7195.0,bam,,,,,,,,,,,2634065.roundup,slurm,,corral-repl,,,0,basic,,,"""/galaxy-repl/localdata/chrom/Homo_sapiens_nuHg19_mtrCRS.len""","""uint16""","""Homo_sapiens_nuHg19_mtrCRS""","""20""","""""","""10""","""1""",0.0,"[{'__index__': 0, 'input_bam': 18401646}]",Homo_sapiens_nuHg19_mtrCRS,,,cached,[],"""True""","""True""",,,,,,20606300,error,toolshed.g2.bx.psu.edu/repos/blankenberg/naive_variant_caller/naive_variant_caller/0.0.1,0.0.1,,2015-02-03 19:22:34.854296,1224.0,650.225579
2015-02-11 23:24:58.628214,slurm_normal_single_16gb,,main_w1_handler0,2187780,8708588,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",7195.0,bam,,,,,,,,,,,2728232.roundup,slurm,,corral-repl,,"""2e0d3ef8b24511e489d6005056a52a46""",1,advanced,uint8,False,"""/galaxy-repl/localdata/chrom/Homo_sapiens_nuHg19_mtrCRS.len""","""uint16""","""Homo_sapiens_nuHg19_mtrCRS""","""20""","""""","""10""","""1""",0.0,"[{'__index__': 0, 'input_bam': 18482903}]",Homo_sapiens_nuHg19_mtrCRS,,,cached,[],"""True""","""True""",,,,,,20733196,error,toolshed.g2.bx.psu.edu/repos/blankenberg/naive_variant_caller/naive_variant_caller/0.0.1,0.0.1,,2015-02-11 23:36:47.634052,38604.0,709.005838
2015-02-24 09:59:14.680636,slurm_normal_single_16gb,,main_w2_handler1,2205360,8801375,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",10301895.0,bam,,,,,,,,,,,2909175.roundup,slurm,,corral-repl,,,0,basic,,,"""/galaxy-repl/localdata/chrom/hg19.len""",,"""hg19""","""30""","""""","""0""","""2""",0.0,"[{'__index__': 0, 'input_bam': 18625193}]",hg19,,,cached,[],"""False""","""False""",,,,,,21240481,error,toolshed.g2.bx.psu.edu/repos/blankenberg/naive_variant_caller/naive_variant_caller/0.0.1,0.0.1,,2015-02-25 10:07:56.084583,59612.0,86921.403947
2016-02-10 20:54:52.622486,slurm_normal_16gb,,main_w1_handler1,2595628,11782211,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",18357065.0,bam,,,,,,,,,,,6035797.roundup,slurm,,corral-repl,,,1,advanced,uint8,False,"""/galaxy-repl/localdata/chrom/hg19.len""",,"""hg19""","""20""","""""","""10""","""1""",0.0,"[{'__index__': 0, 'input_bam': 23286661}]",hg19,,,cached,[],"""True""","""True""",,,,,,27550817,error,toolshed.g2.bx.psu.edu/repos/blankenberg/naive_variant_caller/naive_variant_caller/0.0.1,0.0.1,,2016-02-11 02:02:16.148670,77098.0,18443.526184000002
2014-12-28 06:28:57.592677,rodeo_normal,,main_w2_handler1,2119817,8473273,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",5154547193.0,bam,,,,,,,,,,,648800.rodeo,slurm,,corral-repl,,,0,basic,,,"""/galaxy-repl/localdata/chrom/hg19.len""",,"""hg19""","""""","""""","""0""","""2""",0.0,"[{'__index__': 0, 'input_bam': 18079362}]",hg19,,,cached,[],"""False""","""False""",,,,,,20012325,error,toolshed.g2.bx.psu.edu/repos/blankenberg/naive_variant_caller/naive_variant_caller/0.0.1,0.0.1,,2014-12-29 15:04:13.402286,55954.0,117315.809609
2015-04-16 10:50:55.095316,slurm_normal_16gb,,main_w2_handler0,2268403,9244287,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",52346936.0,bam,,,,,,,,,,,3526943.roundup,slurm,,corral-repl,,,0,basic,,,"""/galaxy-repl/localdata/chrom/hg19.len""",,"""hg19""","""13""","""10""","""0""","""2""",0.0,"[{'__index__': 0, 'input_bam': 19308067}]",hg19,,,cached,[],"""True""","""False""",,,,,,22520530,error,toolshed.g2.bx.psu.edu/repos/blankenberg/naive_variant_caller/naive_variant_caller/0.0.1,0.0.1,,2015-04-16 11:10:13.865358,62260.0,1158.770042
2017-04-25 11:36:25.255577,slurm_normal_dynamic_mem,,main_w4_handler0,3085837,15671326,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",,,,,,,,,,,,,9786941.roundup,slurm,,corral-repl,,,0,basic,,,"""/galaxy-repl/localdata/chrom/Homo_sapiens_nuHg19_mtrCRS.len""",,"""Homo_sapiens_nuHg19_mtrCRS""","""20""","""""","""10""","""1""",0.0,"[{'__index__': 0, 'input_bam': {'values': [{'src': 'hda', 'id': 29350902}]}}]",Homo_sapiens_nuHg19_mtrCRS,,,cached,[],"""true""","""true""",,,24708596.0,bam,,36683764,error,toolshed.g2.bx.psu.edu/repos/blankenberg/naive_variant_caller/naive_variant_caller/0.0.1,0.0.1,,2017-04-25 11:38:13.000395,101983.0,107.74481800000001
