create_time,destination_id,exit_code,handler,history_id,id,imported,infile_control_cond1,infile_control_cond1_filetype,infile_control_cond2,infile_control_cond2_filetype,infile_pileup_cond1,infile_pileup_cond1_filetype,infile_pileup_cond2,infile_pileup_cond2_filetype,info,job_runner_external_id,job_runner_name,library_folder_id,object_store_id,param_filename,parameters.chromInfo,parameters.cutoff,parameters.dbkey,parameters.depth1,parameters.depth2,parameters.infile_control_cond1,parameters.infile_control_cond1.values,parameters.infile_control_cond2,parameters.infile_control_cond2.values,parameters.infile_pileup_cond1,parameters.infile_pileup_cond1.values,parameters.infile_pileup_cond2,parameters.infile_pileup_cond2.values,parameters.maxgap,parameters.minlen,parameters.outputs,runner_name,session_id,state,tool_id,tool_version,traceback,update_time,user_id,runtime
2016-07-18 14:42:22.987656,slurm_normal,,main_w2_handler0,2704671,13432094,False,2071236113,bedgraph,2060499042,bedgraph,4193377225,bedgraph,3570143179,bedgraph,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",7643617.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/mm10.len""","""1.0""","""mm10""","""1""","""1""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b56679ee2d5f2a8231'}]",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5bcd4b02d58d1b5c7'}]",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b53f14cc205924ef3f'}]",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b54ddb1ebacbcf717b'}]","""100""","""200""","[""--ofile-cond1""]",,30171572,error,toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_bdgdiff/2.1.0.20151222.0,2.1.0.20151222.0,,2016-07-18 15:01:52.800421,84275,1169.8127650000001
2017-06-29 18:39:10.067424,slurm_normal,,main_w3_handler0,3148470,16225399,False,3044204186,bedgraph,2585958308,bedgraph,2883342461,bedgraph,2695207808,bedgraph,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",10301366.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""1.0""","""?""","""46""","""43""",,"[{'src': 'hda', 'id': 30236829}]",,"[{'src': 'hda', 'id': 30226660}]",,"[{'src': 'hda', 'id': 30236828}]",,"[{'src': 'hda', 'id': 30226659}]","""100""","""200""","[""--ofile-cond1"", ""--ofile-cond2"", ""--ofile-both-conditions""]",,38978381,error,toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_bdgdiff/2.1.0.20151222.0,2.1.0.20151222.0,,2017-06-29 19:02:53.656602,106954,1423.5891780000002
2016-11-15 08:48:46.602685,slurm_normal,,main_w4_handler0,2890574,14342431,False,3542556473,bedgraph,2855485830,bedgraph,4794027338,bedgraph,4510905855,bedgraph,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",8548717.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/hg38.len""","""1.0""","""hg38""","""1""","""1""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b53a53d9cbd3fa642f'}]",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5a61ee16c97632aab'}]",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5c63fbcfd41cc4df5'}]",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5d7d41326b33d662a'}]","""100""","""200""","[""--ofile-cond1"", ""--ofile-cond2"", ""--ofile-both-conditions""]",,34242378,error,toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_bdgdiff/2.1.0.20151222.0,2.1.0.20151222.0,,2016-11-15 09:07:55.855598,94427,1149.252913
2016-09-28 09:31:03.001816,slurm_normal,,main_w3_handler1,2734446,13963484,False,4453062665,bedgraph,4618270620,bedgraph,682424624,bedgraph,1192139205,bedgraph,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",8183631.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""1.0""","""?""","""1""","""1""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b599167a53ff8baab1'}]",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5d44b29cf4c14cccf'}]",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b57b42f4ac02a36297'}]",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b54dd5ba2feb6030d5'}]","""100""","""200""","[""--ofile-both-conditions""]",,33241300,error,toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_bdgdiff/2.1.0.20151222.0,2.1.0.20151222.0,,2016-09-28 12:01:40.558847,66211,9037.557031
2016-11-11 02:54:37.914596,slurm_normal,,main_w3_handler1,2884934,14312600,False,2120080955,bedgraph,2073229903,bedgraph,4192947469,bedgraph,3570116178,bedgraph,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",8520734.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""1.0""","""?""","""1""","""1""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b576be4189759c69e0'}]",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5517619e6538985f4'}]",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5b73ce1d5396a24dc'}]",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b53268d06640482b04'}]","""100""","""200""","[""--ofile-cond1"", ""--ofile-cond2""]",,34129848,error,toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_bdgdiff/2.1.0.20151222.0,2.1.0.20151222.0,,2016-11-11 03:13:43.483228,84275,1145.568632
2016-03-07 01:05:06.460403,slurm_normal,,main_w2_handler0,2617088,12044809,False,6971978474,bedgraph,3516845284,bedgraph,2610792238,bedgraph,1319007515,bedgraph,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",6271939.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/hg19.len""","""1.0""","""hg19""","""1""","""1""",23696794,,23696795,,23698353,,23698354,,"""100""","""200""","[""--ofile-cond1"", ""--ofile-cond2"", ""--ofile-both-conditions""]",,28719198,error,toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_bdgdiff/2.1.0.20151222.0,2.1.0.20151222.0,,2016-03-07 01:23:26.876790,19259,1100.416387
2016-11-16 21:01:05.637537,reserved,,main_w4_handler1,2897749,14360149,False,3542556473,bedgraph,2855485830,bedgraph,4794027338,bedgraph,4510905855,bedgraph,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",8566028.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/hg38.len""","""1.0""","""hg38""","""1""","""1""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b526666f0836af4efa'}]",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5cb5caffd8a66a492'}]",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b575d034a75d405067'}]",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5e6d61827f365646a'}]","""100""","""200""","[""--ofile-cond2""]",,32443707,error,toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_bdgdiff/2.1.0.20151222.0,2.1.0.20151222.0,,2016-11-16 21:26:33.104391,5254,1527.466854
2016-05-20 20:36:09.863388,slurm_normal,,main_w1_handler0,2704671,12951292,False,2071236113,bedgraph,2060499042,bedgraph,4193377225,bedgraph,3570143179,bedgraph,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",7145362.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/mm10.len""","""1.0""","""mm10""","""1""","""1""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b56679ee2d5f2a8231'}]",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5bcd4b02d58d1b5c7'}]",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b53f14cc205924ef3f'}]",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b54ddb1ebacbcf717b'}]","""100""","""200""","[""--ofile-cond1""]",,30171572,error,toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_bdgdiff/2.1.0.20151222.0,2.1.0.20151222.0,,2016-05-20 20:53:42.101566,84275,1052.238178
2016-11-16 21:01:48.017997,reserved,,main_w3_handler0,2897749,14360156,False,3542556473,bedgraph,2855485830,bedgraph,4794027338,bedgraph,4510905855,bedgraph,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",8566033.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/hg38.len""","""1.0""","""hg38""","""1""","""1""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b526666f0836af4efa'}]",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5cb5caffd8a66a492'}]",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b575d034a75d405067'}]",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5e6d61827f365646a'}]","""100""","""200""","[""--ofile-cond1"", ""--ofile-both-conditions""]",,32443707,error,toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_bdgdiff/2.1.0.20151222.0,2.1.0.20151222.0,,2016-11-16 21:26:30.010621,5254,1481.9926240000002
2016-11-16 21:02:10.443011,reserved,,main_w3_handler0,2897749,14360162,False,3542556473,bedgraph,2855485830,bedgraph,4794027338,bedgraph,4510905855,bedgraph,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",8566039.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/hg38.len""","""1.0""","""hg38""","""1""","""1""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b526666f0836af4efa'}]",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5cb5caffd8a66a492'}]",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b575d034a75d405067'}]",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5e6d61827f365646a'}]","""100""","""200""","[""--ofile-cond2"", ""--ofile-both-conditions""]",,32443707,error,toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_bdgdiff/2.1.0.20151222.0,2.1.0.20151222.0,,2016-11-16 21:26:30.427581,5254,1459.98457
2016-07-18 18:37:19.070768,slurm_normal,,main_w1_handler1,2704671,13434778,False,2071236113,bedgraph,2060499042,bedgraph,4193377225,bedgraph,3570143179,bedgraph,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",7646119.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/mm10.len""","""1.0""","""mm10""","""10""","""10""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b56679ee2d5f2a8231'}]",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5bcd4b02d58d1b5c7'}]",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b53f14cc205924ef3f'}]",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b54ddb1ebacbcf717b'}]","""100""","""200""","[""--ofile-cond1"", ""--ofile-cond2""]",,30171572,error,toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_bdgdiff/2.1.0.20151222.0,2.1.0.20151222.0,,2016-07-18 18:58:51.201348,84275,1292.13058
2016-11-15 18:46:56.505634,slurm_normal,,main_w4_handler1,2890574,14347451,False,2855476572,bedgraph,2855486829,bedgraph,2709673807,bedgraph,3273445194,bedgraph,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",8553568.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/hg38.len""","""1.0""","""hg38""","""1""","""1""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5852937c8114407c6'}]",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5b035eb9547e4466e'}]",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b56b09974f165ac598'}]",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b51373f582b5f22cf7'}]","""100""","""200""","[""--ofile-cond1"", ""--ofile-both-conditions""]",,34186490,error,toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_bdgdiff/2.1.0.20151222.0,2.1.0.20151222.0,,2016-11-15 19:17:47.800418,94427,1851.2947840000002
2016-05-30 14:54:52.184521,slurm_normal,,main_w2_handler0,2716089,13024465,False,1415785873,bedgraph,1027562580,bedgraph,6823269781,bedgraph,8040887680,bedgraph,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",7208841.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/mm10.len""","""1.0""","""mm10""","""1""","""1""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b55f3cbe0cb418e2b8'}]",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b578b4acbf73f64af0'}]",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5db2a813d7138a739'}]",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b572a71d5e30494aae'}]","""100""","""200""","[""--ofile-both-conditions""]",,30499026,error,toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_bdgdiff/2.1.0.20151222.0,2.1.0.20151222.0,,2016-05-31 14:52:31.182127,84984,86258.997606
2016-11-16 21:02:20.755833,reserved,,main_w3_handler1,2897749,14360163,False,3542556473,bedgraph,2855485830,bedgraph,4794027338,bedgraph,4510905855,bedgraph,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",8566192.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/hg38.len""","""1.0""","""hg38""","""1""","""1""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b526666f0836af4efa'}]",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5cb5caffd8a66a492'}]",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b575d034a75d405067'}]",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5e6d61827f365646a'}]","""100""","""200""","[""--ofile-cond1"", ""--ofile-cond2""]",,32443707,error,toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_bdgdiff/2.1.0.20151222.0,2.1.0.20151222.0,,2016-11-16 22:02:18.449164,5254,3597.6933310000004
2016-10-16 11:06:18.820511,slurm_normal,,main_w3_handler0,2851425,14091622,False,2963780874,bedgraph,2963780874,bedgraph,2316618351,bedgraph,2963780874,bedgraph,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",8307759.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""3.0""","""?""","""1""","""1""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b52832c6f313db6bd3'}]",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b52832c6f313db6bd3'}]",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b58222432e25a3b91c'}]",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b52832c6f313db6bd3'}]","""100""","""200""","[""--ofile-cond1"", ""--ofile-cond2"", ""--ofile-both-conditions""]",,33730025,error,toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_bdgdiff/2.1.0.20151222.0,2.1.0.20151222.0,,2016-10-16 11:22:25.098683,92058,966.278172
2016-12-16 12:08:47.274973,slurm_normal,,main_w4_handler0,2884934,14592155,False,2120080955,bedgraph,2073229903,bedgraph,4192947469,bedgraph,3570116178,bedgraph,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",8770719.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""0.5""","""?""","""1""","""1""",,"[{'src': 'hda', 'id': 27211400}]",,"[{'src': 'hda', 'id': 27207019}]",,"[{'src': 'hda', 'id': 27211399}]",,"[{'src': 'hda', 'id': 27207018}]","""100""","""200""","[""--ofile-cond1"", ""--ofile-cond2"", ""--ofile-both-conditions""]",,34129848,error,toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_bdgdiff/2.1.0.20151222.0,2.1.0.20151222.0,,2016-12-16 12:25:07.850942,84275,980.5759690000001
2016-11-16 21:01:16.910244,reserved,,main_w3_handler1,2897749,14360152,False,3542556473,bedgraph,2855485830,bedgraph,4794027338,bedgraph,4510905855,bedgraph,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",8566031.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/hg38.len""","""1.0""","""hg38""","""1""","""1""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b526666f0836af4efa'}]",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5cb5caffd8a66a492'}]",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b575d034a75d405067'}]",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5e6d61827f365646a'}]","""100""","""200""","[""--ofile-both-conditions""]",,32443707,error,toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_bdgdiff/2.1.0.20151222.0,2.1.0.20151222.0,,2016-11-16 21:26:29.534366,5254,1512.6241220000002
