create_time,destination_id,exit_code,handler,history_id,id,imported,info,input1,input1_filetype,input2,input2_filetype,job_runner_external_id,job_runner_name,library_folder_id,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.chromInfo,parameters.dbkey,parameters.fill,parameters.input1,parameters.input1.values,parameters.input2,parameters.input2.values,parameters.min,runner_name,session_id,state,tool_id,tool_version,traceback,update_time,user_id,runtime
2015-10-23 06:08:35.571147,slurm_normal_16gb,,main_w1_handler2,2482027,10696068,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",68814,bed,728629835,interval,4959488.roundup,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""none""",21693283,,21693290,,"""1""",,25849069.0,error,toolshed.g2.bx.psu.edu/repos/devteam/join/gops_join_1/1.0.0,1.0.0,,2015-10-23 06:22:16.771041,5529.0,821.1998940000001
2015-10-24 18:11:59.668356,slurm_normal_16gb,,main_w1_handler2,2420771,10715891,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",8136163,bed,561164163,bed,4978397.roundup,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""none""",21720887,,21720863,,"""1""",,24865227.0,error,toolshed.g2.bx.psu.edu/repos/devteam/join/gops_join_1/1.0.0,1.0.0,,2015-10-24 18:26:28.864762,,869.196406
2014-11-18 19:08:14.619422,slurm_normal_single_16gb,,main_w1_handler1,2115123,8195250,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",888,interval,964421431,interval,2046205.roundup,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""none""",17518235,,17592857,,"""1""",,18468691.0,error,toolshed.g2.bx.psu.edu/repos/devteam/join/gops_join_1/1.0.0,1.0.0,,2014-11-18 19:21:27.044102,55433.0,792.4246800000001
2015-05-28 13:01:54.573567,slurm_normal_16gb,,main_w1_handler0,2321077,9553486,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",25419271,bed,743288035,bed,3867295.roundup,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""right""",19832434,,19830287,,"""1""",,23299610.0,error,toolshed.g2.bx.psu.edu/repos/devteam/join/gops_join_1/1.0.0,1.0.0,,2015-05-28 13:18:54.872269,64171.0,1020.298702
2014-12-06 07:48:03.806976,slurm_normal_single_16gb,,main_w1_handler0,2125855,8356970,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",106346478,interval,339818234,interval,471014.rodeo,slurm,,corral-repl,,"""2e68f5947d1c11e4b176005056a52a46""","""/galaxy-repl/localdata/chrom/sacCer3.len""","""sacCer3""","""none""",17841817,,17841900,,"""1""",,18459410.0,error,toolshed.g2.bx.psu.edu/repos/devteam/join/gops_join_1/1.0.0,1.0.0,,2014-12-06 08:03:47.687313,52862.0,943.880337
2017-05-15 10:54:30.620207,slurm_normal_16gb,,main_w3_handler0,3083745,15837072,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",647366046,bed,568357297,bed,9938205.roundup,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""","""none""",,"[{'src': 'hda', 'id': 29336624}]",,"[{'src': 'hda', 'id': 29336639}]","""1""",,37777812.0,error,toolshed.g2.bx.psu.edu/repos/devteam/join/gops_join_1/1.0.0,1.0.0,,2017-05-15 11:08:08.361742,103539.0,817.741535
2016-04-04 10:33:37.907298,slurm_normal_16gb,,main_w1_handler1,2656628,12331992,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",1136611,bed,1269007879,bed,6538359.roundup,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""","""none""",24132297,,24133837,,"""1""",,29401694.0,error,toolshed.g2.bx.psu.edu/repos/devteam/join/gops_join_1/1.0.0,1.0.0,,2016-04-04 10:47:50.461257,37495.0,852.5539590000001
2016-10-22 11:07:14.344284,slurm_normal_16gb,,main_w4_handler0,2864622,14146807,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",49664450,bed,597827704,bed,8359555.roundup,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""","""none""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b53b275fb32fd7f7d9'}]",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b589c4972e8c46221c'}]","""1""",,33852631.0,error,toolshed.g2.bx.psu.edu/repos/devteam/join/gops_join_1/1.0.0,1.0.0,,2016-10-22 11:20:33.308423,92746.0,798.964139
2017-11-28 14:10:34.293016,slurm_normal_16gb,,main_w3_handler0,3342892,17619411,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",49664450,bed,597827704,bed,11680282,slurm,,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg38.len""","""hg38""","""none""",,"[{'src': 'hda', 'id': 32581193}]",,"[{'src': 'hda', 'id': 32581563}]","""1""",,42300937.0,error,toolshed.g2.bx.psu.edu/repos/devteam/join/gops_join_1/1.0.0,1.0.0,,2017-11-28 14:25:57.124231,,922.831215
2015-11-03 12:59:31.992049,slurm_normal_16gb,,main_w2_handler0,2493959,10806075,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",49073110,bed,596981973,bed,5061710.roundup,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""","""none""",21858002,,21858016,,"""1""",,26071506.0,error,toolshed.g2.bx.psu.edu/repos/devteam/join/gops_join_1/1.0.0,1.0.0,,2015-11-03 13:13:33.624941,,841.6328920000001
