chromInfo,chromInfo_filetype,create_time,destination_id,exit_code,handler,history_id,id,imported,info,input,input_filetype,job_runner_external_id,job_runner_name,library_folder_id,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.chromInfo,parameters.dbkey,parameters.input,parameters.input.values,parameters.option,runner_name,session_id,state,tool_id,tool_version,traceback,update_time,user_id,runtime
,,2016-12-16 14:17:03.426223,slurm_normal,,main_w3_handler1,2931672,14592858,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",905237340,bed,8771396.roundup,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""",,"[{'src': 'hda', 'id': 27660512}]","""""",,34879291.0,error,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_sortbed/2.22.0,2.22.0,,2016-12-16 14:18:39.318515,86671.0,95.89229200000001
,,2016-12-16 14:17:05.456426,slurm_normal,,main_w3_handler1,2931672,14592863,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",852186206,bed,8771399.roundup,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""",,"[{'src': 'hda', 'id': 27660505}]","""""",,34879291.0,error,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_sortbed/2.22.0,2.22.0,,2016-12-16 14:18:13.068765,86671.0,67.612339
,,2016-10-20 05:32:25.803865,slurm_normal,,main_w3_handler1,2801917,14125510,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",1025075237,bed,8340225.roundup,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b56b0a0764a53b426d'}]","""""",,32532779.0,error,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_sortbed/2.22.0,2.22.0,,2016-10-20 05:47:52.111115,,926.3072500000001
,,2016-02-01 14:31:24.615241,slurm_normal,,main_w1_handler2,2133820,11658132,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",2122931200,bed,5917389.roundup,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",23115885,,"""""",,27234431.0,error,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_sortbed/2.22.0,2.22.0,,2016-02-01 14:33:46.060235,3102.0,141.444994
,,2017-01-22 08:36:56.820666,slurm_normal,,main_w3_handler1,2964068,14838957,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",3085587796,bed,8999279.roundup,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 28034670}]","""""",,35186312.0,error,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_sortbed/2.22.0,2.22.0,,2017-01-22 08:39:18.382489,79460.0,141.561823
,,2016-03-07 18:42:06.657474,slurm_normal,,main_w1_handler1,1994270,12059286,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",12462526156,bed,6282331.roundup,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""",23721326,,"""""",,28734093.0,error,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_sortbed/2.22.0,2.22.0,,2016-03-07 18:45:47.549611,51544.0,220.89213700000002
,,2016-12-28 19:14:05.944006,slurm_normal,,main_w4_handler0,2940971,14659154,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",2254798827,bed,8832421.roundup,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""",,"[{'src': 'hda', 'id': 27762701}]","""""",,35100228.0,error,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_sortbed/2.22.0,2.22.0,,2016-12-28 19:15:28.497475,40637.0,82.553469
,,2016-04-26 23:19:55.236588,slurm_normal,,main_w2_handler1,2678181,12635387,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",1535074482,bed,6835130.roundup,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5599d84a424c8e7a8'}]","""""",,29772281.0,error,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_sortbed/2.22.0,2.22.0,,2016-04-26 23:23:31.803744,70028.0,216.567156
,,2016-04-27 00:17:00.366123,slurm_normal,,main_w1_handler2,2676567,12635694,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",1876852253,bed,6836436.roundup,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5e0b1702b6155249c'}]","""""",,29693813.0,error,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_sortbed/2.22.0,2.22.0,,2016-04-27 00:39:54.711415,19796.0,1374.345292
,,2016-04-26 23:16:34.918120,slurm_normal,,main_w1_handler2,2678181,12635377,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",1219597207,bed,6835086.roundup,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5819f4d5229ac8548'}]","""""",,29772281.0,error,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_sortbed/2.22.0,2.22.0,,2016-04-26 23:18:55.170931,70028.0,140.252811
,,2016-04-29 16:29:46.178820,slurm_normal,,main_w2_handler0,2676334,12690704,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",1574865763,bed,6890159.roundup,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5284388fb7248a628'}]","""""",,29238448.0,error,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_sortbed/2.22.0,2.22.0,,2016-04-29 16:32:06.397173,47842.0,140.218353
,,2016-04-07 07:54:44.794135,slurm_normal,,main_w1_handler0,2617934,12359460,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",909614759,bed,6564808.roundup,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/sacCer3.len""","""sacCer3""",24176775,,"""""",,28741691.0,error,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_sortbed/2.22.0,2.22.0,,2016-04-07 08:06:08.718193,,683.9240580000001
,,2016-06-10 23:03:05.643082,slurm_normal,,main_w1_handler1,2377314,13137614,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",724103532,bed,7322184.roundup,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5bd2a2f3c2f11eb00'}]","""""",,30789553.0,error,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_sortbed/2.22.0,2.22.0,,2016-06-10 23:05:18.717479,39773.0,133.074397
,,2016-02-08 15:16:07.674523,slurm_normal,,main_w1_handler0,2592508,11750390,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",3518250779,bed,6004312.roundup,slurm,,corral-repl,,,"""/galaxy-repl/main/files/013/123/dataset_13123995.dat""","""Tair10""",23238420,,"""""",,28201397.0,error,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_sortbed/2.22.0,2.22.0,,2016-02-08 15:19:32.409830,65515.0,204.735307
,,2016-04-04 20:27:13.772758,slurm_normal,,main_w2_handler0,2657246,12337606,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",1794497447,bed,6543654.roundup,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""",24140421,,"""""",,28995124.0,error,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_sortbed/2.22.0,2.22.0,,2016-04-04 20:30:43.823906,80488.0,210.051148
,,2016-04-20 15:53:10.573739,slurm_normal,,main_w2_handler0,2677608,12538411,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",806643046,bed,6724715.roundup,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5a17720f3278023d3'}]","""""",,29238448.0,error,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_sortbed/2.22.0,2.22.0,,2016-04-20 15:59:35.337115,47842.0,384.76337600000005
,,2016-02-01 14:31:04.146715,slurm_normal,,main_w1_handler1,2133820,11658128,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",1051188557,bed,5917380.roundup,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",23115873,,"""""",,27234431.0,error,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_sortbed/2.22.0,2.22.0,,2016-02-01 14:33:24.041157,3102.0,139.894442
,,2016-06-07 15:42:28.560404,slurm_normal,,main_w2_handler0,2645733,13098137,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",42778341759,bed,7281659.roundup,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5513ece8aae7a675a'}]","""""",,29847715.0,error,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_sortbed/2.22.0,2.22.0,,2016-06-07 15:44:21.862049,77375.0,113.30164500000001
,,2016-06-10 23:02:55.953751,slurm_normal,,main_w2_handler0,2377314,13137613,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",872013513,bed,7322181.roundup,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5487a648cf1b5a133'}]","""""",,30789553.0,error,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_sortbed/2.22.0,2.22.0,,2016-06-10 23:04:26.447315,39773.0,90.493564
,,2016-04-19 15:35:35.377986,slurm_normal,,main_w1_handler2,2674710,12525426,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",526103642,bed,6711745.roundup,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b58bfcddd0c17c1c93'}]","""""",,29582379.0,error,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_sortbed/2.22.0,2.22.0,,2016-04-19 15:59:47.940420,54046.0,1452.5624340000002
