blackListFileName,blackListFileName1,blackListFileName1_filetype,blackListFileName_filetype,create_time,destination_id,exit_code,handler,history_id,id,imported,info,job_runner_external_id,job_runner_name,library_folder_id,object_store_id,param_filename,parameters.__job_resource.__current_case__,parameters.__job_resource.__job_resource__select,parameters.__job_resource.tacc_compute_resource,parameters.advancedOpt.__current_case__,parameters.advancedOpt.averageTypeBins,parameters.advancedOpt.binSize,parameters.advancedOpt.blackListFileName.values,parameters.advancedOpt.exonID,parameters.advancedOpt.maxThreshold,parameters.advancedOpt.metagene,parameters.advancedOpt.minThreshold,parameters.advancedOpt.missingDataAsZero,parameters.advancedOpt.scale,parameters.advancedOpt.showAdvancedOpt,parameters.advancedOpt.skipZeros,parameters.advancedOpt.sortRegions,parameters.advancedOpt.sortUsing,parameters.advancedOpt.transcriptID,parameters.advancedOpt.transcript_id_designator,parameters.chromInfo,parameters.dbkey,parameters.mode.__current_case__,parameters.mode.afterRegionStartLength,parameters.mode.beforeRegionStartLength,parameters.mode.mode_select,parameters.mode.nanAfterEnd,parameters.mode.referencePoint,parameters.mode.regionBodyLength,parameters.mode.regionStartLength.__current_case__,parameters.mode.regionStartLength.afterRegionStartLength,parameters.mode.regionStartLength.beforeRegionStartLength,parameters.mode.regionStartLength.regionStartLength_select,parameters.mode.regionStartLength.unscaled3prime,parameters.mode.regionStartLength.unscaled5prime,parameters.output.__current_case__,parameters.output.saveMatrix,parameters.output.saveSortedRegions,parameters.output.showOutputSettings,parameters.regionsFiles,parameters.regionsFiles_0|regionsFile|__identifier__,parameters.scoreFileName.values,regionsFiles_0|regionsFile,regionsFiles_0|regionsFile_filetype,regionsFiles_1|regionsFile,regionsFiles_1|regionsFile_filetype,regionsFiles_2|regionsFile,regionsFiles_2|regionsFile_filetype,regionsFiles_3|regionsFile,regionsFiles_3|regionsFile_filetype,runner_name,scoreFileName,scoreFileName1,scoreFileName10,scoreFileName10_filetype,scoreFileName11,scoreFileName11_filetype,scoreFileName12,scoreFileName12_filetype,scoreFileName13,scoreFileName13_filetype,scoreFileName14,scoreFileName14_filetype,scoreFileName15,scoreFileName15_filetype,scoreFileName16,scoreFileName16_filetype,scoreFileName17,scoreFileName17_filetype,scoreFileName18,scoreFileName18_filetype,scoreFileName19,scoreFileName19_filetype,scoreFileName1_filetype,scoreFileName2,scoreFileName20,scoreFileName20_filetype,scoreFileName21,scoreFileName21_filetype,scoreFileName22,scoreFileName22_filetype,scoreFileName23,scoreFileName23_filetype,scoreFileName24,scoreFileName24_filetype,scoreFileName25,scoreFileName25_filetype,scoreFileName26,scoreFileName26_filetype,scoreFileName27,scoreFileName27_filetype,scoreFileName28,scoreFileName28_filetype,scoreFileName29,scoreFileName29_filetype,scoreFileName2_filetype,scoreFileName3,scoreFileName30,scoreFileName30_filetype,scoreFileName31,scoreFileName31_filetype,scoreFileName32,scoreFileName32_filetype,scoreFileName33,scoreFileName33_filetype,scoreFileName34,scoreFileName34_filetype,scoreFileName35,scoreFileName35_filetype,scoreFileName3_filetype,scoreFileName4,scoreFileName4_filetype,scoreFileName5,scoreFileName5_filetype,scoreFileName6,scoreFileName6_filetype,scoreFileName7,scoreFileName7_filetype,scoreFileName8,scoreFileName8_filetype,scoreFileName9,scoreFileName9_filetype,scoreFileName_filetype,session_id,state,tool_id,tool_version,traceback,update_time,user_id,runtime
,,,,2018-01-08 19:23:01.624589,slurm_multi,,main_w3_handler2,3359375,17975458,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",12051860,slurm,,corral-repl,,0,no,,,,,,,,,,,,,,,,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/mm10.len""","""mm10""",1,5000,5000,reference-point,false,TSS,,,,,,,,0,,,no,"[{""__index__"": 0, ""regionsFile"": {""values"": [{""src"": ""hda"", ""id"": 33219842}]}}]",,"[{'src': 'hda', 'id': 33123543}]",276688974,bed,,,,,,,,175977925,175977925,,,,,,,,,,,,,,,,,,,,,bigwig,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bigwig,42568494,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_compute_matrix/deeptools_compute_matrix/2.5.0.0,2.5.0.0,,2018-01-08 19:27:35.937423,55887,274.312834
,,,,2017-09-03 08:53:16.534901,slurm_multi,,main_w3_handler2,3125029,16721370,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",10792515,slurm,,corral-repl,,0,no,,,,,,,,,,,,,,,,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",1,3000,3000,reference-point,false,center,,,,,,,,0,,,no,"[{""__index__"": 0, ""regionsFile"": {""values"": [{""src"": ""hda"", ""id"": 31087610}]}}]",,"[{'src': 'hda', 'id': 31080360}]",2672360724,bed,,,,,,,,213777740,213777740,,,,,,,,,,,,,,,,,,,,,bigwig,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bigwig,40002328,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_compute_matrix/deeptools_compute_matrix/2.5.0.0,2.5.0.0,,2017-09-03 09:34:47.074572,62429,2490.539671
,,,,2017-05-30 14:04:54.693109,slurm_multi,,main_w4_handler2,3130704,15968727,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",10065466,slurm,,corral-repl,,0,no,,0.0,,,,,,,,,,no,,,,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",0,,,scale-regions,,,1000,0.0,,,no,,,0,,,no,"[{""__index__"": 0, ""regionsFile"": {""values"": [{""src"": ""hda"", ""id"": 29801615}]}}]",,"[{'src': 'hda', 'id': 29816095}, {'src': 'hda', 'id': 29816097}]",5138934498,bed,,,,,,,,182114991,182114991,,,,,,,,,,,,,,,,,,,,,bigwig,160553099.0,,,,,,,,,,,,,,,,,,,,,bigwig,,,,,,,,,,,,,,,,,,,,,,,,,,,bigwig,38292288,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_compute_matrix/deeptools_compute_matrix/2.5.0.0,2.5.0.0,,2017-05-30 14:20:11.010544,106761,916.317435
,,,,2018-02-19 12:57:46.989968,slurm_multi,,main_w4_handler2,2622342,18435509,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",12530035,slurm,,corral-repl,,0,no,,,,,,,,,,,,,,,,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/mm10.len""","""mm10""",0,,,scale-regions,,,1000,1.0,5000,5000,yes,0,0,1,false,false,yes,"[{""__index__"": 0, ""regionsFile"": {""values"": [{""src"": ""hda"", ""id"": 33938575}]}}]",,"[{'src': 'hda', 'id': 33938583}, {'src': 'hda', 'id': 33938584}, {'src': 'hda', 'id': 33938586}, {'src': 'hda', 'id': 33938587}, {'src': 'hda', 'id': 33938588}, {'src': 'hda', 'id': 33938589}, {'src': 'hda', 'id': 33938590}, {'src': 'hda', 'id': 33938593}]",20289752,bed,,,,,,,,25063603,25063603,,,,,,,,,,,,,,,,,,,,,bigwig,23220708.0,,,,,,,,,,,,,,,,,,,,,bigwig,40119669.0,,,,,,,,,,,,,bigwig,51362777.0,bigwig,39110252.0,bigwig,29809615.0,bigwig,39777771.0,bigwig,17007169.0,bigwig,,,bigwig,44003321,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_compute_matrix/deeptools_compute_matrix/2.5.0.0,2.5.0.0,,2018-02-19 20:43:31.923592,79873,27944.933624
,,,,2017-05-15 19:06:36.597466,slurm_multi,,main_w4_handler2,1323885,15841539,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",9942440,slurm,,corral-repl,,0,no,,,,,,,,,,,,,,,,,,"""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""",0,,,scale-regions,,,10000000,0.0,,,no,,,1,true,true,yes,"[{""__index__"": 0, ""regionsFile"": {""values"": [{""src"": ""hda"", ""id"": 29593619}]}}]",,"[{'src': 'hda', 'id': 29390538}]",666,bed,,,,,,,,751316995,751316995,,,,,,,,,,,,,,,,,,,,,bigwig,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bigwig,37984081,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_compute_matrix/deeptools_compute_matrix/2.5.0.0,2.5.0.0,,2017-05-15 19:08:09.210775,31552,92.613309
,,,,2017-05-30 14:34:28.744282,slurm_multi,,main_w4_handler2,3130704,15969003,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",10065722,slurm,,corral-repl,,0,no,,0.0,,,,,,,,,,no,,,,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",1,1000,1000,reference-point,false,TES,,,,,,,,0,,,no,"[{""__index__"": 0, ""regionsFile"": {""values"": [{""src"": ""hda"", ""id"": 29801615}]}}]",,"[{'src': 'hda', 'id': 29816095}, {'src': 'hda', 'id': 29816097}]",5138934498,bed,,,,,,,,182114991,182114991,,,,,,,,,,,,,,,,,,,,,bigwig,160553099.0,,,,,,,,,,,,,,,,,,,,,bigwig,,,,,,,,,,,,,,,,,,,,,,,,,,,bigwig,38292288,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_compute_matrix/deeptools_compute_matrix/2.5.0.0,2.5.0.0,,2017-05-30 14:49:19.142884,106761,890.3986020000001
,,,,2017-05-15 18:17:10.431154,slurm_multi,,main_w4_handler2,1323885,15841104,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",9941921,slurm,,corral-repl,,0,no,,,,,,,,,,,,,,,,,,"""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""",0,,,scale-regions,,,10000000,0.0,,,no,,,1,true,true,yes,"[{""__index__"": 0, ""regionsFile"": {""values"": [{""src"": ""hda"", ""id"": 29593619}]}}]",,"[{'src': 'hda', 'id': 29390538}, {'src': 'hda', 'id': 29390539}, {'src': 'hda', 'id': 29543696}]",666,bed,,,,,,,,751316995,751316995,,,,,,,,,,,,,,,,,,,,,bigwig,580093333.0,,,,,,,,,,,,,,,,,,,,,bigwig,217289582.0,,,,,,,,,,,,,bigwig,,,,,,,,,,,,,bigwig,37437069,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_compute_matrix/deeptools_compute_matrix/2.5.0.0,2.5.0.0,,2017-05-15 18:18:50.403893,31552,99.972739
,,,,2017-05-06 11:59:00.787468,slurm_multi,,main_w3_handler2,3095758,15766436,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",9874236,slurm,,corral-repl,,0,no,,0.0,,,,,,,,,,no,,,,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",0,,,scale-regions,,,500,0.0,,,no,,,0,,,no,"[{""__index__"": 0, ""regionsFile"": {""values"": [{""src"": ""hda"", ""id"": 29497579}]}}]",,"[{'src': 'hda', 'id': 29496158}]",6357283830,bed,,,,,,,,690142664,690142664,,,,,,,,,,,,,,,,,,,,,bigwig,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bigwig,37619346,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_compute_matrix/deeptools_compute_matrix/2.5.0.0,2.5.0.0,,2017-05-06 13:17:05.193810,104859,4684.406342
,,,,2017-07-20 16:54:37.398410,slurm_multi,,main_w3_handler2,3196850,16377287,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",10441965,slurm,,corral-repl,,0,no,,0.0,,,,,,,,,,no,,,,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",1,1000,1000,reference-point,false,center,,,,,,,,0,,,no,"[{""__index__"": 0, ""regionsFile"": {""values"": [{""src"": ""hda"", ""id"": 30533174}]}}]",,"[{'src': 'hda', 'id': 30533172}]",170065858,bed,,,,,,,,37526507,37526507,,,,,,,,,,,,,,,,,,,,,bigwig,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bigwig,39387147,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_compute_matrix/deeptools_compute_matrix/2.5.0.0,2.5.0.0,,2017-07-20 16:58:35.657388,106192,238.258978
,,,,2017-09-18 11:28:30.444152,slurm_multi,,main_w3_handler2,3256794,16853574,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",10920503,slurm,,corral-repl,,0,no,,0.0,,,,,,,,,,no,,,,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg38.len""","""hg38""",0,,,scale-regions,,,6000,1.0,3000,3000,yes,0,0,0,,,no,"[{""__index__"": 0, ""regionsFile"": {""values"": [{""src"": ""hda"", ""id"": 31282318}]}}]",,"[{'src': 'hda', 'id': 31286711}, {'src': 'hda', 'id': 31287796}, {'src': 'hda', 'id': 31287798}]",43303625,bed,,,,,,,,104614285,104614285,,,,,,,,,,,,,,,,,,,,,bigwig,108931500.0,,,,,,,,,,,,,,,,,,,,,bigwig,95778764.0,,,,,,,,,,,,,bigwig,,,,,,,,,,,,,bigwig,39247642,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_compute_matrix/deeptools_compute_matrix/2.5.0.0,2.5.0.0,,2017-09-18 17:12:50.828250,14117,20660.384098000002
,,,,2017-05-30 12:37:40.643243,slurm_multi,,main_w3_handler2,3130704,15967861,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",10064746,slurm,,corral-repl,,0,no,,0.0,,,,,,,,,,no,,,,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",0,,,scale-regions,,,1000,0.0,,,no,,,0,,,no,"[{""__index__"": 0, ""regionsFile"": {""values"": [{""src"": ""hda"", ""id"": 29801615}]}}]",,"[{'src': 'hda', 'id': 29816095}, {'src': 'hda', 'id': 29816097}]",5138934498,bed,,,,,,,,182114991,182114991,,,,,,,,,,,,,,,,,,,,,bigwig,160553099.0,,,,,,,,,,,,,,,,,,,,,bigwig,,,,,,,,,,,,,,,,,,,,,,,,,,,bigwig,38292288,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_compute_matrix/deeptools_compute_matrix/2.5.0.0,2.5.0.0,,2017-05-30 13:05:37.128098,106761,1676.4848550000002
