create_time,destination_id,exit_code,gfffile,gfffile_filetype,handler,history_id,id,imported,info,job_runner_external_id,job_runner_name,library_folder_id,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.chromInfo,parameters.dbkey,parameters.featuretype,parameters.force_sort,parameters.gfffile,parameters.gfffile.values,parameters.idattr,parameters.minaqual,parameters.mode,parameters.samfile,parameters.samfile.values,parameters.samfile|__identifier__,parameters.samout_conditional.__current_case__,parameters.samout_conditional.reference_source.__current_case__,parameters.samout_conditional.reference_source.ref_file,parameters.samout_conditional.reference_source.ref_file.values,parameters.samout_conditional.reference_source.reference_source_selector,parameters.samout_conditional.samout,parameters.stranded,runner_name,samfile,samfile_filetype,samout_conditional|ref_file,samout_conditional|ref_file_filetype,session_id,state,tool_id,tool_version,traceback,update_time,user_id,runtime
2016-10-17 10:30:56.800931,slurm_normal,,70394234,gff,main_w3_handler0,2857456,14097505,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",8320633.roundup,slurm,,corral-repl,,"""c347a2a4945411e6aaef005056a51846""","""/galaxy-repl/localdata/chrom/?.len""","""?""","""exon""","""false""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5c1a8386bf546a98d'}]","""gene_id""","""10""","""union""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b579fe3ede30058c4d'}]",,1,,,,,false,"""yes""",,4394092176,bam,,,32577245.0,error,toolshed.g2.bx.psu.edu/repos/lparsons/htseq_count/htseq_count/0.6.1galaxy1,0.6.1galaxy1,,2016-10-18 10:30:28.255515,83618,86371.454584
2016-07-10 22:49:06.672337,slurm_normal,,218362334,gtf,main_w2_handler1,2671540,13371300,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",7581912.roundup,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/equCab2.len""","""equCab2""","""exon""","""false""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5c8680a03cb9f407b'}]","""gene_id""","""10""","""union""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5570b6b899abe9d29'}]",,1,,,,,false,"""yes""",,3069379252,bam,,,30734205.0,error,toolshed.g2.bx.psu.edu/repos/lparsons/htseq_count/htseq_count/0.6.1galaxy1,0.6.1galaxy1,,2016-07-10 22:52:46.649438,66783,219.977101
2016-03-22 13:03:15.148617,slurm_normal,,39646928,gtf,main_w1_handler0,2392051,12225451,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",6439112.roundup,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/rn5.len""","""rn5""","""exon""","""False""",23866140,,"""gene_id""","""10""","""union""",23885061,,,1,,,,,False,"""no""",,1341186107,bam,,,26987815.0,error,toolshed.g2.bx.psu.edu/repos/lparsons/htseq_count/htseq_count/0.6.1galaxy1,0.6.1galaxy1,,2016-03-22 13:18:02.037325,59072,886.8887080000001
2016-04-11 02:09:45.005819,slurm_normal,,43445576,gtf,main_w1_handler1,2636780,12413128,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",6613218.roundup,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""exon""","""False""",23943705,,"""gene_id""","""10""","""union""",24236310,,,1,,,,,False,"""yes""",,5370063298,bam,,,29253200.0,error,toolshed.g2.bx.psu.edu/repos/lparsons/htseq_count/htseq_count/0.6.1galaxy1,0.6.1galaxy1,,2016-04-11 02:17:28.820509,62982,463.81469000000004
2016-10-03 12:57:37.027546,slurm_normal,,68352564,gtf,main_w3_handler0,2770961,13995774,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",8215030.roundup,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""","""exon""","""false""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b58c75a293ae093ec1'}]","""gene_id""","""1""","""union""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5f8544cfa04c96bf5'}]",,1,,,,,false,"""no""",,5315215562,bam,,,33207729.0,error,toolshed.g2.bx.psu.edu/repos/lparsons/htseq_count/htseq_count/0.6.1galaxy1,0.6.1galaxy1,,2016-10-03 13:21:27.606993,57381,1430.579447
2016-05-01 17:59:47.707013,slurm_normal,,158314123,gtf,main_w1_handler2,2682444,12716804,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",6919459.roundup,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""exon""","""false""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b58213afc68a42330a'}]","""gene_id""","""10""","""union""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b56ad2336e826839d5'}]",,1,,,,,false,"""no""",,5432490057,bam,,,29378180.0,error,toolshed.g2.bx.psu.edu/repos/lparsons/htseq_count/htseq_count/0.6.1galaxy1,0.6.1galaxy1,,2016-05-01 19:05:51.260606,66141,3963.553593
2016-09-09 14:40:17.885736,slurm_normal,,17105972,gtf,main_w3_handler1,2790765,13815994,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",8038308.roundup,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/Schizosaccharomyces_pombe_1.1.len""","""Schizosaccharomyces_pombe_1.1""","""exon""","""false""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5245a00d2378928e6'}]","""gene_id""","""10""","""union""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5083db3dc30eaf897'}]","""SMP2-RNA-ppk18-0_S10_L002__001""",1,,,,,false,"""no""",,1014543356,bam,,,32866249.0,error,toolshed.g2.bx.psu.edu/repos/lparsons/htseq_count/htseq_count/0.6.1galaxy1,0.6.1galaxy1,,2016-09-09 17:26:05.188364,71452,9947.302628000001
2016-04-11 13:56:52.874443,slurm_normal,,1161970,gff3,main_w2_handler1,2660144,12417847,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",6618935.roundup,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""CDS""","""False""",24172144,,"""ID""","""10""","""union""",24230867,,,1,,,,,False,"""no""",,1012768367,bam,,,29350215.0,error,toolshed.g2.bx.psu.edu/repos/lparsons/htseq_count/htseq_count/0.6.1galaxy1,0.6.1galaxy1,,2016-04-11 14:02:08.969050,74015,316.094607
2016-03-04 07:53:05.291198,slurm_normal,,68106254,gtf,main_w1_handler0,2602568,12017494,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",6247030.roundup,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""","""exon""","""False""",23646700,,"""gene_id""","""10""","""union""",23527683,,,1,,,,,False,"""no""",,1251103381,bam,,,28607615.0,error,toolshed.g2.bx.psu.edu/repos/lparsons/htseq_count/htseq_count/0.6.1galaxy1,0.6.1galaxy1,,2016-03-04 08:12:42.602162,78793,1177.310964
2016-04-08 19:37:53.430901,slurm_normal,,255739770,gtf,main_w2_handler1,1639242,12395100,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",6591817.roundup,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""exon""","""False""",24102867,,"""gene_id""","""10""","""union""",24186583,,,1,,,,,False,"""no""",,2245345876,bam,,,28626146.0,error,toolshed.g2.bx.psu.edu/repos/lparsons/htseq_count/htseq_count/0.6.1galaxy1,0.6.1galaxy1,,2016-04-08 20:12:31.985945,31997,2078.555044
2016-09-30 13:51:17.594526,slurm_normal,,68352564,gtf,main_w3_handler0,2770961,13982544,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",8201939.roundup,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""","""exon""","""false""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b58c75a293ae093ec1'}]","""gene_id""","""5""","""union""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5ebafecf583f29eb8'}]",,1,,,,,false,"""no""",,4749543933,bam,,,33207729.0,error,toolshed.g2.bx.psu.edu/repos/lparsons/htseq_count/htseq_count/0.6.1galaxy1,0.6.1galaxy1,,2016-09-30 14:53:34.467624,57381,3736.873098
2016-04-22 01:23:04.750625,slurm_normal,,94926257,gtf,main_w2_handler0,2528764,12556358,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",6745963.roundup,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""","""exon""","""false""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5bf939b4b46e1b465'}]","""gene_id""","""10""","""union""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5f8f46e2f2a173b82'}]",,1,,,,,false,"""no""",,3622052979,bam,,,29648521.0,error,toolshed.g2.bx.psu.edu/repos/lparsons/htseq_count/htseq_count/0.6.1galaxy1,0.6.1galaxy1,,2016-04-22 02:21:50.783641,74794,3526.0330160000003
2016-04-18 17:19:57.944043,slurm_normal,,116963244,gtf,main_w2_handler1,2668746,12511175,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",6699668.roundup,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""exon""","""false""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b505f1a2fb409b2e14'}]","""gene_id""","""10""","""union""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b597cbabd5ad19e676'}]",,1,,,,,false,"""no""",,8962531004,bam,,,29659768.0,error,toolshed.g2.bx.psu.edu/repos/lparsons/htseq_count/htseq_count/0.6.1galaxy1,0.6.1galaxy1,,2016-04-18 18:55:34.671206,82481,5736.7271630000005
2016-03-04 07:45:43.670878,slurm_normal,,68106254,gtf,main_w2_handler1,2602568,12017475,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",6247007.roundup,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""","""exon""","""False""",23646700,,"""gene_id""","""10""","""union""",23525427,,,1,,,,,False,"""no""",,1259207123,bam,,,28607615.0,error,toolshed.g2.bx.psu.edu/repos/lparsons/htseq_count/htseq_count/0.6.1galaxy1,0.6.1galaxy1,,2016-03-04 08:17:08.431691,78793,1884.760813
