chromInfo,chromInfo_filetype,create_time,destination_id,exit_code,handler,history_id,id,imported,info,input1,input1_filetype,input2,input2_filetype,job_runner_external_id,job_runner_name,library_folder_id,object_store_id,param_filename,parameters.chromInfo,parameters.dbkey,parameters.field1,parameters.field2,parameters.input1,parameters.input1.values,parameters.input2,parameters.input2.values,parameters.mode,runner_name,session_id,state,tool_id,tool_version,traceback,update_time,user_id,runtime
,,2016-11-19 22:58:19.819002,slurm_normal,,main_w4_handler0,2901367,14387130,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",4058366,bed,22270495431,interval,8592994.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""","""1""","""1""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b50c914603d0472c18'}]",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5ad5affcc77384051'}]","""N""",,34349817,error,comp1,1.0.2,,2016-11-19 23:16:23.719694,95329,1083.9006920000002
,,2015-11-15 00:21:27.811050,slurm_normal,,main_w2_handler1,2507138,10904328,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",9471547919,txt,4859131024,txt,5158060.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""1""","""1""",22006452,,22006453,,"""N""",,26255142,error,comp1,1.0.2,,2015-11-15 00:55:02.438001,73374,2014.6269510000002
,,2015-03-26 07:46:38.926704,rodeo_normal,,main_w1_handler0,2249482,9042977,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",2883243526,tabular,2883994642,tabular,3328635.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/dm3.len""","""dm3""","""3""","""3""",19003895,,19003894,,"""N""",,21958727,error,comp1,1.0.2,,2015-03-26 08:04:57.230036,50960,1098.303332
,,2017-02-08 12:08:54.308160,slurm_normal,,main_w3_handler1,2983419,14982050,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",2961801953,tabular,4,tabular,9139416.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""81""","""1""",,"[{'src': 'hda', 'id': 28245071}]",,"[{'src': 'hda', 'id': 28262369}]","""V""",,35885030,error,comp1,1.0.2,,2017-02-08 12:11:59.506443,3641,185.198283
,,2016-01-26 06:31:17.015235,slurm_normal,,main_w1_handler2,2577976,11604213,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",921197441,bed,32085492,tabular,5869126.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""","""1""","""1""",23042413,,23042418,,"""N""",,26085167,error,comp1,1.0.2,,2016-01-26 06:33:29.955648,28755,132.940413
,,2016-01-13 10:50:15.296909,slurm_normal,,main_w1_handler1,2564215,11489966,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",9270478169,tabular,14016524025,tabular,5754891.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""1""","""1""",22880466,,22880467,,"""V""",,27401886,error,comp1,1.0.2,,2016-01-13 11:25:10.482327,57565,2095.185418
,,2015-08-10 13:03:26.111129,slurm_normal,,main_w1_handler1,2210340,10091773,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",15711371768,tabular,4733103976,tabular,4367476.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""","""1""","""1""",20732412,,20732840,,"""V""",,24610722,error,comp1,1.0.2,,2015-08-10 13:24:38.273203,59804,1272.162074
18665.0,len,2015-02-06 18:14:57.717018,rodeo_normal,,main_w2_handler0,2189563,8677542,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",3740375330,tabular,3740375330,tabular,2669080.roundup,slurm,,corral-repl,,"""/galaxy-repl/main/files/010/340/dataset_10340776.dat""","""danRer7""","""1""","""1""",18432890,,18432892,,"""V""",,21057458,error,comp1,1.0.2,,2015-02-06 18:25:29.578771,59206,631.861753
,,2015-08-13 06:12:27.070933,slurm_normal,,main_w1_handler2,2210340,10107490,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",4733103976,tabular,15711371768,tabular,4381411.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""","""5""","""5""",20732840,,20732412,,"""N""",,24663411,error,comp1,1.0.2,,2015-08-13 06:24:50.265367,59804,743.194434
,,2016-01-26 06:31:16.588664,slurm_normal,,main_w1_handler2,2577976,11604212,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",921197441,bed,139973916,tabular,5869125.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""","""1""","""1""",23042413,,23042415,,"""N""",,26085167,error,comp1,1.0.2,,2016-01-26 06:33:59.646738,28755,163.058074
,,2015-08-23 17:05:32.616941,slurm_normal,,main_w1_handler1,2415727,10180528,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",37764192256,bed,21578584474,bed,4458070.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""1""","""1""",20875496,,20875255,,"""N""",,24795112,error,comp1,1.0.2,,2015-08-24 19:40:36.341032,68073,95703.72409100001
,,2015-11-15 01:35:34.832342,slurm_normal,,main_w1_handler1,2507138,10904514,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",9684795277,txt,7391674888,txt,5158233.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""1""","""1""",22006442,,22006444,,"""N""",,26255142,error,comp1,1.0.2,,2015-11-15 02:10:51.436076,73374,2116.6037340000003
,,2015-08-23 17:08:23.919390,slurm_normal,,main_w2_handler0,2415727,10180554,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",37764192256,bed,21578584474,bed,4458067.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""1""","""1""",20875496,,20875255,,"""N""",,24795112,error,comp1,1.0.2,,2015-08-24 19:36:57.040766,68073,95313.12137600001
