create_time,destination_id,exit_code,handler,history_id,id,imported,info,input1,input1_filetype,job_runner_external_id,job_runner_name,library_folder_id,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.chromInfo,parameters.dbkey,parameters.input1,parameters.input1.values,runner_name,session_id,state,tool_id,tool_version,traceback,update_time,user_id,runtime
2015-01-13 10:14:18.287533,rodeo_normal,,main_w2_handler1,2171985,8537621,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",4322949564,fasta,754409.rodeo,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",18194858,,,20472362,error,toolshed.g2.bx.psu.edu/repos/devteam/fasta_concatenate_by_species/fasta_concatenate0/0.0.0,0.0.0,,2015-01-13 10:17:07.538491,8911,169.250958
2015-10-29 07:26:00.116779,slurm_normal,,main_w2_handler0,2487562,10761506,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",7625297562,fasta,5020472.roundup,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",21791032,,,25938263,error,toolshed.g2.bx.psu.edu/repos/devteam/fasta_concatenate_by_species/fasta_concatenate0/0.0.0,0.0.0,,2015-10-29 07:29:23.351005,70526,203.234226
2015-12-07 12:46:05.959670,slurm_normal,,main_w2_handler1,2513986,11110150,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",26373990677,fasta,5375684.roundup,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",22188910,,,25797914,error,toolshed.g2.bx.psu.edu/repos/devteam/fasta_concatenate_by_species/fasta_concatenate0/0.0.0,0.0.0,,2015-12-07 12:49:46.240951,71592,220.281281
2015-07-07 11:26:53.456681,slurm_normal,,main_w2_handler1,2367281,9802080,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",1343385579,fasta,4103399.roundup,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",20246628,,,24022456,error,toolshed.g2.bx.psu.edu/repos/devteam/fasta_concatenate_by_species/fasta_concatenate0/0.0.0,0.0.0,,2015-07-07 11:29:48.794771,65725,175.33809000000002
2016-03-18 13:45:58.656600,slurm_normal,,main_w1_handler2,2634753,12179652,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",8048751073,fasta,6395364.roundup,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""",23905827,,,29009079,error,toolshed.g2.bx.psu.edu/repos/devteam/fasta_concatenate_by_species/fasta_concatenate0/0.0.0,0.0.0,,2016-03-18 13:50:30.477098,80620,271.82049800000004
2015-12-07 13:15:26.149274,slurm_normal,,main_w1_handler0,2513986,11110289,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",30551233195,fasta,5375834.roundup,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",22188908,,,25797914,error,toolshed.g2.bx.psu.edu/repos/devteam/fasta_concatenate_by_species/fasta_concatenate0/0.0.0,0.0.0,,2015-12-07 13:19:08.241241,71592,222.091967
2016-01-28 13:53:59.309815,slurm_normal,,main_w2_handler0,2540476,11622857,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",548513678,fasta,5886896.roundup,slurm,,corral-repl,,,"""/galaxy-repl/main/files/012/705/dataset_12705174.dat""","""Mt4""",23057308,,,27199189,error,toolshed.g2.bx.psu.edu/repos/devteam/fasta_concatenate_by_species/fasta_concatenate0/0.0.0,0.0.0,,2016-01-28 13:57:16.226327,61115,196.916512
2015-12-07 13:15:26.897251,slurm_normal,,main_w1_handler2,2513986,11110290,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",26373990677,fasta,5375835.roundup,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",22188910,,,25797914,error,toolshed.g2.bx.psu.edu/repos/devteam/fasta_concatenate_by_species/fasta_concatenate0/0.0.0,0.0.0,,2015-12-07 13:19:13.826515,71592,226.92926400000002
2017-03-08 03:15:00.004582,slurm_normal,,main_w4_handler0,3019773,15238376,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",4246284340,fasta,9386580.roundup,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 28647889}]",,36474068,error,toolshed.g2.bx.psu.edu/repos/devteam/fasta_concatenate_by_species/fasta_concatenate0/0.0.0,0.0.0,,2017-03-08 03:17:21.072334,101427,141.067752
2015-12-07 12:46:04.554753,slurm_normal,,main_w1_handler2,2513986,11110148,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",46347640300,fasta,5375685.roundup,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",22188906,,,25797914,error,toolshed.g2.bx.psu.edu/repos/devteam/fasta_concatenate_by_species/fasta_concatenate0/0.0.0,0.0.0,,2015-12-07 12:49:57.199415,71592,232.644662
