create_time,destination_id,exit_code,handler,history_id,id,imported,info,inputFile,inputFile_filetype,job_runner_external_id,job_runner_name,library_folder_id,object_store_id,param_filename,parameters.chromInfo,parameters.dbkey,parameters.inputFile.values,parameters.inputFile|__identifier__,parameters.max_diff_rate,parameters.max_group_ratio,parameters.min_identical_bases,parameters.min_mean_quality,parameters.optical_duplicate_pixel_distance,parameters.read_name_regex,parameters.validation_stringency,runner_name,session_id,state,tool_id,tool_version,traceback,update_time,user_id,runtime
2016-07-12 07:42:18.890879,slurm_normal_16gb,,main_w2_handler1,2717113,13382919,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",3621339638,bam,7594869.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/rn6.len""","""rn6""","[{'src': 'hda', 'id': 'bbd44e69cb8906b5b6dab509895a6f91'}]",,"""0.03""","""500""","""5""","""20""","""100""","""[a-zA-Z0-9]+:[0-9]:([0-9]+):([0-9]+):([0-9]+).*.""","""LENIENT""",,30983209,error,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_EstimateLibraryComplexity/1.136.0,1.136.0,,2016-07-12 09:15:01.214321,50398,5562.323442000001
2016-05-05 12:18:46.967018,slurm_normal_16gb,,main_w1_handler0,2692840,12792538,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",4051365839,bam,6991694.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""","[{'src': 'hda', 'id': 'bbd44e69cb8906b5805990a14059d59b'}]","""Sample_17122015_CTRL""","""0.03""","""500""","""5""","""20""","""100""","""[a-zA-Z0-9]+:[0-9]:([0-9]+):([0-9]+):([0-9]+).*.""","""LENIENT""",,30052059,error,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_EstimateLibraryComplexity/1.136.0,1.136.0,,2016-05-05 12:24:46.238074,83756,359.27105600000004
2016-05-05 12:18:46.022312,slurm_normal_16gb,,main_w2_handler1,2692840,12792536,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",6757446572,bam,6991760.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""","[{'src': 'hda', 'id': 'bbd44e69cb8906b5793627a117941d93'}]","""Sample_17122015_CONA""","""0.03""","""500""","""5""","""20""","""100""","""[a-zA-Z0-9]+:[0-9]:([0-9]+):([0-9]+):([0-9]+).*.""","""LENIENT""",,30052059,error,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_EstimateLibraryComplexity/1.136.0,1.136.0,,2016-05-05 12:31:07.116702,83756,741.0943900000001
2016-05-05 12:23:08.830382,slurm_normal_16gb,,main_w2_handler0,2692860,12792589,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",2602213642,bam,6991731.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""","[{'src': 'hda', 'id': 'bbd44e69cb8906b588c42e416018c597'}]","""Sample_14012016_NKD""","""0.03""","""500""","""5""","""20""","""100""","""[a-zA-Z0-9]+:[0-9]:([0-9]+):([0-9]+):([0-9]+).*.""","""LENIENT""",,30052078,error,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_EstimateLibraryComplexity/1.136.0,1.136.0,,2016-05-05 12:29:11.564630,83758,362.73424800000004
2016-07-08 08:06:00.047253,slurm_normal_16gb,,main_w2_handler1,2760014,13359521,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",5352759810,bam,7569454.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","[{'src': 'hda', 'id': 'bbd44e69cb8906b569ec6ffffaa5077b'}]",,"""0.03""","""500""","""5""","""20""","""100""","""[a-zA-Z0-9]+:[0-9]:([0-9]+):([0-9]+):([0-9]+).*.""","""LENIENT""",,31339193,error,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_EstimateLibraryComplexity/1.136.0,1.136.0,,2016-07-08 08:16:14.904718,65622,614.857465
2016-05-05 12:18:48.737168,slurm_normal_16gb,,main_w1_handler0,2692840,12792540,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",3904546297,bam,6991711.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""","[{'src': 'hda', 'id': 'bbd44e69cb8906b5c69f3b4f7f6a5f22'}]","""Sample_23122015_BDS""","""0.03""","""500""","""5""","""20""","""100""","""[a-zA-Z0-9]+:[0-9]:([0-9]+):([0-9]+):([0-9]+).*.""","""LENIENT""",,30052059,error,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_EstimateLibraryComplexity/1.136.0,1.136.0,,2016-05-05 12:26:24.748552,83756,456.011384
2016-07-12 07:42:22.368115,slurm_normal_16gb,,main_w1_handler0,2717113,13382923,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",3001252163,bam,7594856.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/rn6.len""","""rn6""","[{'src': 'hda', 'id': 'bbd44e69cb8906b50dd275f68c4b6383'}]",,"""0.03""","""500""","""5""","""20""","""100""","""[a-zA-Z0-9]+:[0-9]:([0-9]+):([0-9]+):([0-9]+).*.""","""LENIENT""",,30983209,error,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_EstimateLibraryComplexity/1.136.0,1.136.0,,2016-07-12 09:12:28.173547,50398,5405.805432
2016-05-05 12:18:50.451478,slurm_normal_16gb,,main_w1_handler1,2692840,12792542,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",3920529692,bam,6991738.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""","[{'src': 'hda', 'id': 'bbd44e69cb8906b5ce7a8c51bad14dbb'}]","""Sample_23122015_CTRL""","""0.03""","""500""","""5""","""20""","""100""","""[a-zA-Z0-9]+:[0-9]:([0-9]+):([0-9]+):([0-9]+).*.""","""LENIENT""",,30052059,error,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_EstimateLibraryComplexity/1.136.0,1.136.0,,2016-05-05 12:28:29.383897,83756,578.932419
2016-07-12 07:42:21.457090,slurm_normal_16gb,,main_w1_handler1,2717113,13382922,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",3038000263,bam,7594676.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/rn6.len""","""rn6""","[{'src': 'hda', 'id': 'bbd44e69cb8906b5f8ea7b2a33aaa096'}]",,"""0.03""","""500""","""5""","""20""","""100""","""[a-zA-Z0-9]+:[0-9]:([0-9]+):([0-9]+):([0-9]+).*.""","""LENIENT""",,30983209,error,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_EstimateLibraryComplexity/1.136.0,1.136.0,,2016-07-12 08:54:55.712284,50398,4354.255194
2016-07-12 07:42:17.298366,slurm_normal_16gb,,main_w1_handler0,2717113,13382917,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",3424634207,bam,7594839.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/rn6.len""","""rn6""","[{'src': 'hda', 'id': 'bbd44e69cb8906b5e3821f964ac853a2'}]",,"""0.03""","""500""","""5""","""20""","""100""","""[a-zA-Z0-9]+:[0-9]:([0-9]+):([0-9]+):([0-9]+).*.""","""LENIENT""",,30983209,error,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_EstimateLibraryComplexity/1.136.0,1.136.0,,2016-07-12 09:08:46.088982,50398,5188.790616
