chromInfo,chromInfo_filetype,create_time,destination_id,exit_code,handler,history_id,id,imported,info,input_concordance,input_concordance_filetype,input_discordance,input_discordance_filetype,input_interval_repeat_0|input_intervals,input_interval_repeat_0|input_intervals_filetype,input_variant,input_variant_filetype,job_runner_external_id,job_runner_name,library_folder_id,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.analysis_param_type.__current_case__,parameters.analysis_param_type.analysis_param_type_selector,parameters.chromInfo,parameters.dbkey,parameters.exclude_filtered,parameters.exclude_sample_name_repeat,parameters.gatk_param_type.__current_case__,parameters.gatk_param_type.baq,parameters.gatk_param_type.baq_gap_open_penalty,parameters.gatk_param_type.default_base_qualities,parameters.gatk_param_type.disable_experimental_low_memory_sharding,parameters.gatk_param_type.downsampling_type.__current_case__,parameters.gatk_param_type.downsampling_type.downsampling_type_selector,parameters.gatk_param_type.gatk_param_type_selector,parameters.gatk_param_type.input_exclude_interval_repeat,parameters.gatk_param_type.input_interval_repeat,parameters.gatk_param_type.interval_merging,parameters.gatk_param_type.interval_set_rule,parameters.gatk_param_type.non_deterministic_random_seed,parameters.gatk_param_type.pedigree,parameters.gatk_param_type.pedigree_string_repeat,parameters.gatk_param_type.pedigree_validation_type,parameters.gatk_param_type.read_filter,parameters.gatk_param_type.read_group_black_list_repeat,parameters.gatk_param_type.use_original_qualities,parameters.gatk_param_type.validation_strictness,parameters.input_concordance,parameters.input_concordance.values,parameters.input_discordance,parameters.input_discordance.values,parameters.reference_source.__current_case__,parameters.reference_source.input_variant,parameters.reference_source.input_variant.values,parameters.reference_source.ref_file,parameters.reference_source.ref_file.values,parameters.reference_source.reference_source_selector,parameters.sample_name_repeat,parameters.select_expressions_repeat,ref_file,ref_file_filetype,runner_name,session_id,state,tool_id,tool_version,traceback,update_time,user_id,runtime
,,2014-11-20 06:41:09.695436,rodeo_normal,,main_w1_handler0,2123961,8208451,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",,,,,,,598529499,vcf,2063166.roundup,slurm,,corral-repl,,"""35014814708011e4b74d005056a52a46""",0.0,basic,"""/galaxy-repl/main/files/009/304/dataset_9304384.dat""","""IRGSP-1.0""","""False""",[],0,,,,,,,basic,,,,,,,,,,,,,,,,,1,17615467.0,,17614816,,history,"[{""__index__"": 0, ""sample_name"": ""NJ16""}]",[],379466370.0,fasta,,18124944,error,toolshed.g2.bx.psu.edu/repos/devteam/variant_select/gatk_variant_select/0.0.2,0.0.2,,2014-11-20 06:43:53.654706,49852,163.95927
,,2015-05-11 06:24:24.266525,slurm_normal,,main_w1_handler1,2268241,9441244,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",,,,,,,406648406,vcf,3767231.roundup,slurm,,corral-repl,,,0.0,basic,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""True""",[],0,,,,,,,basic,,,,,,,,,,,,,,,,,1,19585385.0,,19261145,,history,[],"[{""__index__"": 0, ""select_expressions"": ""DP >=3""}]",379157083.0,fasta,,22549614,error,toolshed.g2.bx.psu.edu/repos/devteam/variant_select/gatk_variant_select/0.0.2,0.0.2,,2015-05-11 06:27:21.351206,60651,177.08468100000002
,,2015-08-31 06:37:55.441440,slurm_normal,,main_w2_handler0,2106308,10228664,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",,,,,,,884065884,vcf,4503606.roundup,slurm,,corral-repl,,,0.0,basic,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""False""",[],0,,,,,,,basic,,,,,,,,,,,,,,,,,1,20934131.0,,17418375,,history,[],"[{""__index__"": 0, ""select_expressions"": ""vc.getGenotype(\""DJ15\"").isHomRef()""}]",379466370.0,fasta,,24368632,error,toolshed.g2.bx.psu.edu/repos/devteam/variant_select/gatk_variant_select/0.0.2,0.0.2,,2015-08-31 06:41:54.418397,49852,238.97695700000003
,,2016-05-27 14:53:02.437536,slurm_normal,,main_w1_handler1,2710132,13005115,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",,,,,,,326770402,vcf,7191574.roundup,slurm,,corral-repl,,,,,"""/galaxy-repl/localdata/chrom/hg_g1k_v37.len""","""hg_g1k_v37""","""false""",[],0,,,,,,,basic,,,,,,,,,,,,,,,,,0,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b526d141d601c95a1f'}]",hg_g1k_v37,,cached,[],[],,,,30327132,error,toolshed.g2.bx.psu.edu/repos/devteam/variant_select/gatk_variant_select/0.0.2,0.0.2,,2016-05-27 15:07:49.271413,84651,886.833877
,,2015-07-10 12:35:10.031411,slurm_normal,,main_w1_handler0,2254940,9828489,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",,,,,,,322664801,vcf,4127892.roundup,slurm,,corral-repl,,,0.0,basic,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""False""",[],0,,,,,,,basic,,,,,,,,,,,,,,,,,1,20275389.0,,19079408,,history,[],[],379157083.0,fasta,,24057746,error,toolshed.g2.bx.psu.edu/repos/devteam/variant_select/gatk_variant_select/0.0.2,0.0.2,,2015-07-10 12:37:44.768155,60651,154.73674400000002
,,2015-05-07 08:08:43.812947,slurm_normal,,main_w1_handler0,2254940,9418212,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",,,,,,,310198221,vcf,3747703.roundup,slurm,,corral-repl,,,0.0,basic,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""True""",[],0,,,,,,,basic,,,,,,,,,,,,,,,,,1,19598987.0,,19079408,,history,[],"[{""__index__"": 0, ""select_expressions"": ""DP >=3""}]",379157083.0,fasta,,22549614,error,toolshed.g2.bx.psu.edu/repos/devteam/variant_select/gatk_variant_select/0.0.2,0.0.2,,2015-05-07 08:11:31.199227,60651,167.38628
,,2015-06-04 07:52:53.951712,slurm_normal,,main_w2_handler0,2268241,9596152,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",,,,,,,242464087,vcf,3909326.roundup,slurm,,corral-repl,,"""97b3141c0a8e11e583c5005056a52a46""",0.0,basic,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""False""",[],0,,,,,,,basic,,,,,,,,,,,,,,,,,1,19911533.0,,19261145,,history,[],[],379157083.0,fasta,,22549614,error,toolshed.g2.bx.psu.edu/repos/devteam/variant_select/gatk_variant_select/0.0.2,0.0.2,,2015-06-04 14:44:23.701809,60651,24689.750097
,,2016-02-29 15:11:52.811865,slurm_normal,,main_w1_handler1,2616324,11967716,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",,,1184895332.0,vcf,,,64592,vcf,6200790.roundup,slurm,,corral-repl,,"""ab9f0228def611e59c14005056a51846""",0.0,basic,"""/galaxy-repl/localdata/chrom/ce10.len""","""ce10""","""False""",[],0,,,,,,,basic,,,,,,,,,,,,,,,23535082,,1,23554598.0,,10194673,,history,[],[],21342638.0,fasta,,28669668,error,toolshed.g2.bx.psu.edu/repos/devteam/variant_select/gatk_variant_select/0.0.2,0.0.2,,2016-02-29 15:55:31.813134,24657,2619.0012690000003
,,2015-10-27 06:04:09.362491,slurm_normal,,main_w2_handler1,2483215,10741441,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",,,,,,,1450644423,vcf,5001234.roundup,slurm,,corral-repl,,,0.0,basic,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""False""",[],0,,,,,,,basic,,,,,,,,,,,,,,,,,1,21761393.0,,21711738,,history,[],[],105546497.0,fasta,,25848528,error,toolshed.g2.bx.psu.edu/repos/devteam/variant_select/gatk_variant_select/0.0.2,0.0.2,,2015-10-27 06:06:13.494958,71653,124.132467
,,2014-11-20 07:27:02.450950,rodeo_normal,,main_w2_handler1,2123961,8208619,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",,,,,,,486706475,vcf,2063340.roundup,slurm,,corral-repl,,,0.0,basic,"""/galaxy-repl/main/files/009/304/dataset_9304384.dat""","""IRGSP-1.0""","""True""",[],0,,,,,,,basic,,,,,,,,,,,,,,,,,1,17615551.0,,17614816,,history,[],"[{""__index__"": 0, ""select_expressions"": ""AC==1 || AC==2""}]",379466370.0,fasta,,18124944,error,toolshed.g2.bx.psu.edu/repos/devteam/variant_select/gatk_variant_select/0.0.2,0.0.2,,2014-11-20 07:28:45.638847,49852,103.187897
,,2015-07-03 05:46:17.707884,slurm_normal,,main_w1_handler2,2254940,9785691,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",,,,,,,301693268,vcf,4087757.roundup,slurm,,corral-repl,,,0.0,basic,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""True""",[],0,,,,,,,basic,,,,,,,,,,,,,,,,,1,20216411.0,,19079408,,history,[],"[{""__index__"": 0, ""select_expressions"": ""DP >=3""}]",379157083.0,fasta,,23583717,error,toolshed.g2.bx.psu.edu/repos/devteam/variant_select/gatk_variant_select/0.0.2,0.0.2,,2015-07-03 05:50:17.803353,60651,240.095469
,,2015-05-28 03:13:57.703933,slurm_normal,,main_w2_handler0,2268241,9550084,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",,,,,,,316244380,vcf,3863919.roundup,slurm,,corral-repl,,,0.0,basic,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""True""",[],0,,,,,,,basic,,,,,,,,,,,,,,,,,1,19798754.0,,19261145,,history,[],"[{""__index__"": 0, ""select_expressions"": ""DP >=3""}]",379157083.0,fasta,,22549614,error,toolshed.g2.bx.psu.edu/repos/devteam/variant_select/gatk_variant_select/0.0.2,0.0.2,,2015-05-28 03:16:27.417685,60651,149.713752
,,2015-06-02 11:44:32.893172,slurm_normal,,main_w1_handler1,2268241,9581231,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",,,,,,,350117074,vcf,3893945.roundup,slurm,,corral-repl,,,0.0,basic,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""False""",[],0,,,,,,,basic,,,,,,,,,,,,,,,,,1,19872844.0,,19261145,,history,[],[],379157083.0,fasta,,22549614,error,toolshed.g2.bx.psu.edu/repos/devteam/variant_select/gatk_variant_select/0.0.2,0.0.2,,2015-06-02 11:47:59.747396,60651,206.85422400000002
