create_time,destination_id,exit_code,forward_input,forward_input_filetype,handler,history_id,id,imported,info,input_sequences,input_sequences_filetype,job_runner_external_id,job_runner_name,library_folder_id,object_store_id,param_filename,parameters.__job_resource.__current_case__,parameters.__job_resource.__job_resource__select,parameters.__job_resource.tacc_compute_resource,parameters.__workflow_invocation_uuid__,parameters.chromInfo,parameters.dbkey,parameters.input_sequences|__identifier__,parameters.kraken_database,parameters.only_classified_output,parameters.quick_operation.__current_case__,parameters.quick_operation.quick,parameters.single_paired.__current_case__,parameters.single_paired.check_names,parameters.single_paired.forward_input.values,parameters.single_paired.input_sequences.values,parameters.single_paired.reverse_input.values,parameters.single_paired.single_paired_selector,parameters.split_reads,reverse_input,reverse_input_filetype,runner_name,session_id,state,tool_id,tool_version,traceback,update_time,user_id,runtime
2018-02-06 11:18:02.483081,slurm_multi,,,,main_w4_handler2,3415632,18269069,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",1330394759.0,fasta,12362557,slurm,,corral-repl,,0,no,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",,"""bacteria""","""false""",1,no,2,,,"[{'src': 'hda', 'id': 33653162}]",,no,"""false""",,,,41984401.0,error,toolshed.g2.bx.psu.edu/repos/devteam/kraken/kraken/1.2.3,1.2.3,,2018-02-07 00:21:43.783675,116237,47021.300594
2017-11-30 21:28:16.506204,slurm_multi,,3653315872.0,fastqsanger,main_w3_handler2,3346731,17654014,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",,,11714034,slurm,,corral-repl,,0,no,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",,"""bacteria""","""false""",1,no,1,false,"[{'src': 'hda', 'id': 32656551}]",,"[{'src': 'hda', 'id': 32656550}]",yes,"""true""",4337922605.0,fastqsanger,,42363418.0,error,toolshed.g2.bx.psu.edu/repos/devteam/kraken/kraken/1.2.3,1.2.3,,2017-12-01 06:06:52.167186,113740,31115.660982
2017-09-01 13:29:32.421249,slurm_multi,,,,main_w4_handler2,3231694,16711177,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",286497013.0,fasta,10783740,slurm,,corral-repl,,0,no,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,"""bacteria""","""false""",1,no,2,,,"[{'src': 'hda', 'id': 31072231}]",,no,"""false""",,,,40047820.0,error,toolshed.g2.bx.psu.edu/repos/devteam/kraken/kraken/1.2.3,1.2.3,,2017-09-01 18:14:15.065276,110498,17082.644027000002
2017-12-03 01:53:57.456020,slurm_multi,,246066957.0,fastqsanger,main_w3_handler2,3349511,17678689,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",,,11741526,slurm,,corral-repl,,0,no,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",,"""bacteria""","""true""",1,no,1,true,"[{'src': 'hda', 'id': 32686226}]",,"[{'src': 'hda', 'id': 32686230}]",yes,"""true""",246636763.0,fastqsanger,,42400251.0,error,toolshed.g2.bx.psu.edu/repos/devteam/kraken/kraken/1.2.3,1.2.3,,2017-12-03 05:08:08.913575,117813,11651.457555
2018-02-12 02:35:07.177921,slurm_multi,,9269095630.0,fastqsanger,main_w3_handler2,3412542,18345551,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",,,12431807,slurm,,corral-repl,,0,no,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",,"""bacteria""","""false""",1,no,1,false,"[{'src': 'hda', 'id': 33786952}]",,"[{'src': 'hda', 'id': 33786953}]",yes,"""false""",9325817948.0,fastqsanger,,43849678.0,error,toolshed.g2.bx.psu.edu/repos/devteam/kraken/kraken/1.2.3,1.2.3,,2018-02-12 15:51:29.870432,121057,47782.692511
2018-03-07 02:35:31.190370,slurm_multi,,,,main_w3_handler2,2646908,18633473,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",584924380.0,fasta,12748183,slurm,,corral-repl,,0,no,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",,"""bacteria""","""false""",1,no,2,,,"[{'src': 'hda', 'id': 34252031}]",,no,"""false""",,,,42855583.0,error,toolshed.g2.bx.psu.edu/repos/devteam/kraken/kraken/1.2.3,1.2.3,,2018-03-08 20:22:03.923612,81421,150392.73324200002
2017-09-19 22:59:53.802475,slurm_multi,,,,main_w4_handler2,1988849,16870365,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",171381763.0,fasta,10935617,slurm,,corral-repl,,0,no,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",,"""bacteria""","""false""",1,no,2,,,"[{'src': 'hda', 'id': 31313591}]",,no,"""false""",,,,40650170.0,error,toolshed.g2.bx.psu.edu/repos/devteam/kraken/kraken/1.2.3,1.2.3,,2017-09-20 02:18:31.663217,38662,11917.860742
2017-12-23 12:40:45.704205,slurm_multi,,,,main_w4_handler2,3373716,17885000,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",752428893.0,fasta,11960761,slurm,,corral-repl,,0,no,,"""45cd34eae7de11e78bc5005056ba55fb""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","""HG03722.unmapped.ILLUMINA.bwa.ITU.low_coverage.20130415.bam""","""bacteria""","""true""",1,no,2,,,"[{'src': 'hda', 'id': 33061644}]",,no,"""false""",,,,,error,toolshed.g2.bx.psu.edu/repos/devteam/kraken/kraken/1.2.3,1.2.3,,2017-12-23 22:38:47.531559,111518,35881.827354
2018-02-11 23:10:50.985831,slurm_multi,,30957081395.0,fastqsanger,main_w3_handler2,3412542,18344811,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",,,12429593,slurm,,corral-repl,,0,no,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",,"""bacteria""","""false""",1,no,1,false,"[{'src': 'hda', 'id': 33798459}]",,"[{'src': 'hda', 'id': 33798460}]",yes,"""false""",31149435123.0,fastqsanger,,43848623.0,error,toolshed.g2.bx.psu.edu/repos/devteam/kraken/kraken/1.2.3,1.2.3,,2018-02-12 02:32:26.675174,121057,12095.689343
2017-12-23 12:40:44.672357,slurm_multi,,,,main_w3_handler2,3373716,17884998,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",1157404406.0,fasta,11967453,slurm,,corral-repl,,0,no,,"""45cd34eae7de11e78bc5005056ba55fb""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","""HG03731.unmapped.ILLUMINA.bwa.ITU.low_coverage.20130415.bam""","""bacteria""","""true""",1,no,2,,,"[{'src': 'hda', 'id': 33061642}]",,no,"""false""",,,,,error,toolshed.g2.bx.psu.edu/repos/devteam/kraken/kraken/1.2.3,1.2.3,,2017-12-25 12:50:47.455728,111518,173402.783371
2017-12-23 23:54:58.094741,slurm_multi,,,,main_w3_handler2,3373716,17887832,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",752428893.0,fasta,11973741,slurm,,corral-repl,,0,no,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",,"""bacteria""","""true""",1,no,2,,,"[{'src': 'hda', 'id': 33061644}]",,no,"""false""",,,,42833120.0,error,toolshed.g2.bx.psu.edu/repos/devteam/kraken/kraken/1.2.3,1.2.3,,2017-12-26 18:25:30.218480,111518,239432.123739
2017-12-23 12:40:43.778717,slurm_multi,,,,main_w3_handler2,3373716,17884996,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",757977665.0,fasta,11961526,slurm,,corral-repl,,0,no,,"""45cd34eae7de11e78bc5005056ba55fb""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","""HG03754.unmapped.ILLUMINA.bwa.STU.low_coverage.20130415.bam""","""bacteria""","""true""",1,no,2,,,"[{'src': 'hda', 'id': 33061640}]",,no,"""false""",,,,,error,toolshed.g2.bx.psu.edu/repos/devteam/kraken/kraken/1.2.3,1.2.3,,2017-12-24 02:48:45.587549,111518,50881.808832
2018-03-07 02:35:31.885455,slurm_multi,,,,main_w3_handler2,2646908,18633474,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",406754791.0,fasta,12759001,slurm,,corral-repl,,0,no,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",,"""bacteria""","""false""",1,no,2,,,"[{'src': 'hda', 'id': 34252063}]",,no,"""false""",,,,42855583.0,error,toolshed.g2.bx.psu.edu/repos/devteam/kraken/kraken/1.2.3,1.2.3,,2018-03-10 02:53:47.736815,81421,260295.85136000003
2017-08-29 20:59:43.404426,slurm_multi,,,,main_w3_handler2,3234355,16687812,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",358965136.0,fastq,10773818,slurm,,corral-repl,,0,no,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""234aaae965c263d20ea1569669f99093_unmapped.bam""","""bacteria""","""true""",1,no,2,,,"[{'src': 'hda', 'id': 31010133}]",,no,"""false""",,,,39849050.0,error,toolshed.g2.bx.psu.edu/repos/devteam/kraken/kraken/1.2.3,1.2.3,,2017-08-31 11:32:58.940893,79386,138795.536467
2018-01-26 17:45:57.138531,slurm_multi,,35764703897.0,fastqsanger,main_w4_handler2,3405514,18168513,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",,,12250068,slurm,,corral-repl,,0,no,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",,"""bacteria""","""false""",1,no,1,false,"[{'src': 'hda', 'id': 33503850}]",,"[{'src': 'hda', 'id': 33520385}]",yes,"""false""",35764703897.0,fastqsanger,,43442071.0,error,toolshed.g2.bx.psu.edu/repos/devteam/kraken/kraken/1.2.3,1.2.3,,2018-01-27 02:24:01.212894,66482,31084.074363000003
2017-12-01 19:00:03.186854,slurm_multi,,4337922605.0,fastqsanger,main_w4_handler2,3346731,17666941,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",,,11727499,slurm,,corral-repl,,0,no,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",,"""bacteria""","""false""",1,no,1,false,"[{'src': 'hda', 'id': 32656550}]",,"[{'src': 'hda', 'id': 32656551}]",yes,"""true""",3653315872.0,fastqsanger,,42363418.0,error,toolshed.g2.bx.psu.edu/repos/devteam/kraken/kraken/1.2.3,1.2.3,,2017-12-02 02:16:45.498110,113740,26202.311256
2017-12-08 03:07:04.022020,slurm_multi,,1589567508.0,fastqsanger,main_w3_handler2,3284781,17743266,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",,,11809659,slurm,,corral-repl,,0,no,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",,"""bacteria""","""false""",1,no,1,true,"[{'src': 'hda', 'id': 32809603}]",,"[{'src': 'hda', 'id': 32809698}]",yes,"""false""",1589548252.0,fastqsanger,,41243504.0,error,toolshed.g2.bx.psu.edu/repos/devteam/kraken/kraken/1.2.3,1.2.3,,2017-12-09 07:52:26.585502,113508,103522.56348200001
2018-02-12 03:27:33.004020,slurm_multi,,27722882864.0,fastqsanger,main_w3_handler2,3412506,18345837,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",,,12430271,slurm,,corral-repl,,0,no,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",,"""bacteria""","""false""",1,no,1,false,"[{'src': 'hda', 'id': 33791491}]",,"[{'src': 'hda', 'id': 33791490}]",yes,"""false""",29865553022.0,fasta,,43850182.0,error,toolshed.g2.bx.psu.edu/repos/devteam/kraken/kraken/1.2.3,1.2.3,,2018-02-12 14:14:14.676794,121053,38801.672774000006
2017-12-01 17:31:59.351157,slurm_multi,,3807568708.0,fastqsanger,main_w3_handler2,3346731,17665726,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",,,11725969,slurm,,corral-repl,,0,no,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",,"""bacteria""","""false""",1,no,1,false,"[{'src': 'hda', 'id': 32678960}]",,"[{'src': 'hda', 'id': 32678863}]",yes,"""true""",3769947676.0,fastqsanger,,42363418.0,error,toolshed.g2.bx.psu.edu/repos/devteam/kraken/kraken/1.2.3,1.2.3,,2017-12-02 02:29:01.671691,113740,32222.320534000002
