create_time,destination_id,exit_code,handler,history_id,id,imported,info,job_runner_external_id,job_runner_name,library_folder_id,matrixFile,matrixFile_filetype,object_store_id,param_filename,parameters.advancedOpt.__current_case__,parameters.advancedOpt.averageType,parameters.advancedOpt.colors,parameters.advancedOpt.outFileNameData,parameters.advancedOpt.perGroup,parameters.advancedOpt.plotHeight,parameters.advancedOpt.plotTitle,parameters.advancedOpt.plotType,parameters.advancedOpt.plotWidth,parameters.advancedOpt.regionsLabel,parameters.advancedOpt.samplesLabel,parameters.advancedOpt.showAdvancedOpt,parameters.advancedOpt.used_multiple_regions.__current_case__,parameters.advancedOpt.used_multiple_regions.clustering.__current_case__,parameters.advancedOpt.used_multiple_regions.clustering.clustering_options,parameters.advancedOpt.used_multiple_regions.clustering.n_hclust,parameters.advancedOpt.used_multiple_regions.used_multiple_regions_options,parameters.advancedOpt.yMax,parameters.advancedOpt.yMin,parameters.chromInfo,parameters.dbkey,parameters.matrixFile.values,parameters.output.__current_case__,parameters.output.dpi,parameters.output.outFileFormat,parameters.output.saveSortedRegions,parameters.output.showOutputSettings,parameters.scaleRegions.__current_case__,parameters.scaleRegions.endLabel,parameters.scaleRegions.showScaleRegionsOpt,parameters.scaleRegions.startLabel,runner_name,session_id,state,tool_id,tool_version,traceback,update_time,user_id,runtime
2017-06-07 16:26:27.054411,slurm_normal,,main_w3_handler0,1991423,16042342,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",10132347.roundup,slurm,,885773128,deeptools_compute_matrix_archive,corral-repl,,1,mean,,false,false,10,,lines,11,,,yes,1.0,,,,yes,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","[{'src': 'hda', 'id': 29931942}]",0,,,,no,0,,no,,,37835250,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_profile/deeptools_plot_profile/2.5.0.0,2.5.0.0,,2017-06-07 16:30:43.748261,32351,256.69385
2017-11-20 14:36:32.932913,slurm_normal,,main_w4_handler1,2641038,17519103,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",11582020,slurm,,303134033,deeptools_compute_matrix_archive,corral-repl,,1,mean,,true,false,5,,lines,11,,,yes,1.0,,,,yes,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg38.len""","""hg38""","[{'src': 'hda', 'id': 32419042}]",0,,,,no,1,TES,yes,TSS,,41801116,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_profile/deeptools_plot_profile/2.5.0.0,2.5.0.0,,2017-11-20 16:59:21.449575,81070,8568.516662
2017-10-16 19:42:20.214621,slurm_normal,,main_w4_handler1,3229685,17116681,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",11175076,slurm,,429187934,deeptools_compute_matrix_archive,corral-repl,,1,mean,,true,false,5,,lines,11,,,yes,1.0,,,,yes,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg19.len""","""hg19""","[{'src': 'hda', 'id': 31715960}]",0,,,,no,1,mRNA,yes,lncRNA,,40314219,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_profile/deeptools_plot_profile/2.5.0.0,2.5.0.0,,2017-10-16 22:54:11.933781,84399,11511.71916
2018-01-31 06:47:07.376165,slurm_normal,,main_w4_handler1,3404788,18208565,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",12289552,slurm,,729140847,deeptools_compute_matrix_archive,corral-repl,,0,,,,,,,,,,,no,,,,,,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg38.len""","""hg38""","[{'src': 'hda', 'id': 33582132}]",0,,,,no,0,,no,,,42674210,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_profile/deeptools_plot_profile/2.5.0.0,2.5.0.0,,2018-01-31 06:51:18.711208,32840,251.335043
2017-05-10 20:26:00.053058,slurm_normal,,main_w3_handler0,3102668,15805618,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",9910171.roundup,slurm,,270931519,deeptools_compute_matrix_archive,corral-repl,,0,,,,,,,,,,,no,,,,,,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","[{'src': 'hda', 'id': 29539432}]",0,,,,no,0,,no,,,37885721,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_profile/deeptools_plot_profile/2.5.0.0,2.5.0.0,,2017-05-10 20:46:57.664971,105462,1257.6119130000002
2017-11-06 17:21:33.159195,slurm_normal,,main_w4_handler1,3229685,17348342,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",11411512,slurm,,429187934,deeptools_compute_matrix_archive,corral-repl,,1,mean,,true,false,10,,lines,20,,,yes,1.0,,,,yes,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg19.len""","""hg19""","[{'src': 'hda', 'id': 31715960}]",1,200,png,false,yes,1,mRNA,yes,lncRNA,,40314219,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_profile/deeptools_plot_profile/2.5.0.0,2.5.0.0,,2017-11-06 17:24:32.502474,84399,179.34327900000002
2017-08-21 09:50:45.467713,slurm_normal,,main_w3_handler0,3225676,16621032,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",10692713.roundup,slurm,,851376720,deeptools_compute_matrix_archive,corral-repl,,1,mean,,false,true,6,,lines,8,LTR-mm10,control SETDB1 H3K9me3 H3K14ac,yes,0.0,2.0,none,,no,,,"""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""","[{'src': 'hda', 'id': 30932250}]",1,200,png,false,yes,1,End,yes,Start,,39946348,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_profile/deeptools_plot_profile/2.5.0.0,2.5.0.0,,2017-08-21 09:54:57.166490,76755,251.698777
2017-08-21 09:21:38.110826,slurm_normal,,main_w3_handler0,3225676,16620926,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",10692643.roundup,slurm,,851376720,deeptools_compute_matrix_archive,corral-repl,,1,mean,,false,false,6,,lines,8,LTR-mm10,,yes,0.0,2.0,none,,no,,,"""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""","[{'src': 'hda', 'id': 30932250}]",1,200,png,false,yes,1,End,yes,Start,,39946348,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_profile/deeptools_plot_profile/2.5.0.0,2.5.0.0,,2017-08-21 09:26:04.281470,76755,266.17064400000004
2017-05-17 21:44:48.109783,slurm_normal,,main_w3_handler1,3038520,15872773,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",9973003.roundup,slurm,,83583422,deeptools_compute_matrix_archive,corral-repl,,1,mean,,true,false,6,,lines,6,,"""DMSO K4me1"" ""Corin2 K4me1"" ""DMSO K27ac"" ""Corin2 K27ac"" ""DMSO K27me3"" ""Corin2 K27me3""",yes,0.0,1.0,hclust,6,no,,,"""/galaxy-repl/localdata/chrom/hg19Patch2.len""","""hg19Patch2""","[{'src': 'hda', 'id': 29654001}]",1,200,png,true,yes,0,,no,,,38025607,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_profile/deeptools_plot_profile/2.5.0.0,2.5.0.0,,2017-05-17 22:26:34.665477,93636,2506.555694
2017-11-06 17:42:26.897847,slurm_normal,,main_w4_handler1,3229685,17348591,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",11411732,slurm,,429187934,deeptools_compute_matrix_archive,corral-repl,,1,mean,,true,false,7,,lines,15,,,yes,1.0,,,,yes,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg19.len""","""hg19""","[{'src': 'hda', 'id': 31715960}]",1,200,png,false,yes,1,mRNA,yes,lncRNA,,40314219,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_profile/deeptools_plot_profile/2.5.0.0,2.5.0.0,,2017-11-06 17:45:50.831498,84399,203.93365100000003
2017-10-18 14:30:24.163025,slurm_normal,,main_w3_handler1,3290043,17132981,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",11193150,slurm,,621270432,deeptools_compute_matrix_archive,corral-repl,,1,mean,,true,false,5,,lines,11,,,yes,1.0,,,,yes,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg19.len""","""hg19""","[{'src': 'hda', 'id': 31738528}]",0,,,,no,1,mRNA,yes,lncRNA,,40314219,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_profile/deeptools_plot_profile/2.5.0.0,2.5.0.0,,2017-10-18 19:39:51.896057,84399,18567.733032
2017-10-17 18:23:12.117060,slurm_normal,,main_w4_handler1,3229685,17119834,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",11178111,slurm,,429187934,deeptools_compute_matrix_archive,corral-repl,,1,mean,,true,false,5,,lines,11,,,yes,1.0,,,,yes,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg19.len""","""hg19""","[{'src': 'hda', 'id': 31715960}]",0,,,,no,1,mRNA,yes,lncRNA,,40314219,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_profile/deeptools_plot_profile/2.5.0.0,2.5.0.0,,2017-10-17 18:25:52.471230,84399,160.35417
2017-11-15 02:17:51.258154,slurm_normal,,main_w3_handler0,3306625,17462542,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",11522064,slurm,,756632760,deeptools_compute_matrix_archive,corral-repl,,1,mean,,true,false,5,,lines,11,,,yes,1.0,,,,yes,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg19.len""","""hg19""","[{'src': 'hda', 'id': 32323406}]",0,,,,no,0,,no,,,41657932,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_profile/deeptools_plot_profile/2.5.0.0,2.5.0.0,,2017-11-15 05:50:18.255097,114851,12746.996943
2017-12-26 19:40:07.912692,slurm_normal,,main_w4_handler0,3359375,17899779,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",11974150,slurm,,112989137,deeptools_compute_matrix_archive,corral-repl,,1,mean,,false,true,11,,lines,11,,,yes,1.0,,,,yes,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg19.len""","""hg19""","[{'src': 'hda', 'id': 33089488}]",1,300,png,false,yes,0,,no,,,42568494,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_profile/deeptools_plot_profile/2.5.0.0,2.5.0.0,,2017-12-26 19:43:15.305587,55887,187.392895
2017-08-20 19:40:47.092125,slurm_normal,,main_w3_handler0,3218930,16617840,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",10689566.roundup,slurm,,722316725,deeptools_compute_matrix_archive,corral-repl,,1,mean,,true,true,15,,lines,15,,,yes,1.0,,,,yes,100.0,10.0,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","[{'src': 'hda', 'id': 30923640}]",1,200,png,false,yes,1,E,yes,S,,39648648,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_profile/deeptools_plot_profile/2.5.0.0,2.5.0.0,,2017-08-20 19:44:31.343987,69475,224.25186200000002
