create_time,destination_id,exit_code,handler,history_id,id,imported,info,job_runner_external_id,job_runner_name,library_folder_id,object_store_id,param_filename,parameters.async_datasets,parameters.dbkey,parameters.file_count,parameters.file_type,parameters.files_metadata.__current_case__,parameters.files_metadata.base_name,parameters.files_metadata.file_type,parameters.paramfile,runner_name,session_id,state,tool_id,tool_version,traceback,update_time,user_id,runtime
2017-07-12 21:38:02.466127,slurm_normal,,main_w3_handler1,3187797,16325526,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",10391980.roundup,slurm,,corral-repl,,"""None""","""hg19""",,"""maf""",101,,maf,"""/galaxy-repl/main/scratch2/tmposkSd_""",,39212939,error,upload1,1.1.4,,2017-07-12 22:20:22.221783,108771.0,2539.7556560000003
2016-10-23 18:48:25.594874,slurm_normal,,main_w4_handler0,590408,14152148,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",8363883.roundup,slurm,,corral-repl,,"""None""","""?""",,"""auto""",108,,auto,"""/galaxy/main/scratch/tmp65MJyn""",,33863793,error,upload1,1.1.4,,2016-10-23 18:59:52.866010,3706.0,687.2711360000001
2015-04-14 01:29:40.209676,slurm_normal,,main_w2_handler1,1834223,9222313,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",3504050.roundup,slurm,,corral-repl,,"""None""","""mm10""",,"""maf""",220,,maf,"""/galaxy/main/scratch/tmpGAXzO2""",,21611910,error,upload1,1.1.4,,2015-04-14 04:20:27.831214,46269.0,10247.621538000001
2015-11-04 06:33:28.617516,slurm_normal,,main_w1_handler0,2473230,10813473,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",5068992.roundup,slurm,,corral-repl,,"""None""","""?""",,"""maf""",221,,maf,"""/galaxy/main/scratch/tmpzlT6V7""",,25712932,error,upload1,1.1.4,,2015-11-04 07:12:11.537099,71404.0,2322.9195830000003
2016-06-04 03:23:38.938334,slurm_normal,,main_w2_handler1,2727231,13065794,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",7251866.roundup,slurm,,corral-repl,,"""None""","""?""",,"""auto""",42,,auto,"""/galaxy/main/scratch/tmpTQymhq""",,30619583,error,upload1,1.1.4,,2016-06-04 03:56:36.017269,,1977.0789350000002
2015-05-21 05:51:33.040704,slurm_normal,,main_w2_handler1,2314515,9510606,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",3831865.roundup,slurm,,corral-repl,,"""None""","""?""",,"""auto""",33,,auto,"""/galaxy/main/scratch/tmpK3dWxS""",,23219398,error,upload1,1.1.4,,2015-05-21 05:52:32.656694,52311.0,59.615990000000004
2017-10-31 18:46:29.709314,slurm_normal,,main_w4_handler1,3304974,17279783,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",11340428,slurm,,corral-repl,,"""None""","""?""",,"""auto""",130,,auto,"""/galaxy-repl/main/scratch2/tmpfFoMSe""",,41637293,error,upload1,1.1.4,,2017-10-31 18:48:25.573678,114772.0,115.86436400000001
2015-04-14 04:39:27.788251,slurm_normal,,main_w1_handler1,1834223,9223060,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",3504788.roundup,slurm,,corral-repl,,"""None""","""mm10""",,"""maf""",220,,maf,"""/galaxy/main/scratch/tmpPlBrNN""",,21611910,error,upload1,1.1.4,,2015-04-14 07:07:06.687742,46269.0,8858.899491
2017-11-17 18:52:03.036488,slurm_normal,,main_w3_handler1,2856389,17496374,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",11556813,slurm,,corral-repl,,"""None""","""?""",,"""auto""",130,,auto,"""/galaxy-repl/main/scratch2/tmp3sGcXA""",,42070372,error,upload1,1.1.4,,2017-11-17 21:23:29.170122,66645.0,9086.133634
2018-02-27 22:10:51.751144,slurm_normal,,main_w4_handler1,3445335,18541226,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",12637520,slurm,,corral-repl,,"""None""","""?""","""2""","""auto""",134,,auto,"""/galaxy-repl/main/scratch2/tmpJA_ALk""",,43358459,error,upload1,1.1.4,,2018-02-27 23:49:30.870160,28.0,5919.119016000001
