create_time,destination_id,exit_code,handler,history_id,id,imported,info,input_file,input_file_filetype,job_runner_external_id,job_runner_name,library_folder_id,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.chromInfo,parameters.dbkey,parameters.graph_size,parameters.input_file,parameters.input_file.values,parameters.lwcol,parameters.lwcol.__class__,parameters.lwcol.value,parameters.medcol,parameters.medcol.__class__,parameters.medcol.value,parameters.q1col,parameters.q1col.__class__,parameters.q1col.value,parameters.q3col,parameters.q3col.__class__,parameters.q3col.value,parameters.rwcol,parameters.rwcol.__class__,parameters.rwcol.value,parameters.title,parameters.use_outliers.__current_case__,parameters.use_outliers.outliercol,parameters.use_outliers.outliercol.__class__,parameters.use_outliers.outliercol.value,parameters.use_outliers.use_outliers_type,parameters.xcol,parameters.xcol.__class__,parameters.xcol.value,parameters.xlabel,parameters.ylabel,runner_name,session_id,state,tool_id,tool_version,traceback,update_time,user_id,runtime
2015-03-16 19:44:34.606416,rodeo_normal,,main_w2_handler0,2238877,8960189,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",8932923374,fastq,3187672.roundup,slurm,,corral-repl,,"""df0e69b4cc1411e4950b005056a51846""","""/galaxy-repl/localdata/chrom/?.len""","""?""","""2048,768""",18873792,,,UnvalidatedValue,11,,UnvalidatedValue,8,,UnvalidatedValue,7,,UnvalidatedValue,9,,UnvalidatedValue,12,"""Cell14_SummaryStatistics""",0,,UnvalidatedValue,13,use_outliers,,UnvalidatedValue,1,"""Position""","""Score Value""",,21009145,error,qual_stats_boxplot,1.0.0,,2015-03-16 19:50:35.110231,59197.0,360.50381500000003
2016-04-21 11:40:33.853545,slurm_normal,,main_w1_handler0,2427090,12548154,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",18987465173,sam,6736347.roundup,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""","""2048,768""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b591ef93e6bd3fdbe2'}]","""11""",,,"""8""",,,"""7""",,,"""9""",,,"""12""",,,"""Box plot in Galaxy""",0,1,,,use_outliers,"""1""",,,"""X Axis Label""","""Score Value""",,28029926,error,qual_stats_boxplot,1.0.0,,2016-04-21 11:45:33.301881,64160.0,299.44833600000004
2016-03-08 14:26:32.212844,slurm_normal,,main_w2_handler1,2622873,12069919,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",20561082237,sam,6293666.roundup,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""2048,768""",23717592,,"""11""",,,"""8""",,,"""7""",,,"""9""",,,"""12""",,,"""Box plot in Galaxy""",0,1,,,use_outliers,"""1""",,,"""X Axis Label""","""Score Value""",,28876836,error,qual_stats_boxplot,1.0.0,,2016-03-08 14:34:37.144394,79500.0,484.93155
2016-02-09 06:56:24.944013,slurm_normal,,main_w1_handler1,2276715,11755289,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",3904947390,vcf,6011473.roundup,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""2048,768""",23240006,,"""1""",,,"""8""",,,"""7""",,,"""9""",,,"""1""",,,"""Box plot in Galaxy""",0,1,,,use_outliers,"""1""",,,"""X Axis Label""","""Score Value""",,28123383,error,qual_stats_boxplot,1.0.0,,2016-02-09 06:58:14.931157,62597.0,109.987144
2016-04-05 07:55:38.323109,slurm_normal,,main_w1_handler2,2622873,12340974,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",19790425325,sam,6546616.roundup,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""2048,768""",23773041,,"""1""",,,"""8""",,,"""7""",,,"""9""",,,"""1""",,,"""Box plot in Galaxy""",0,1,,,use_outliers,"""1""",,,"""X Axis Label""","""Score Value""",,29417643,error,qual_stats_boxplot,1.0.0,,2016-04-05 08:01:26.960272,79500.0,348.63716300000004
2015-01-07 05:13:03.778274,rodeo_normal,,main_w1_handler0,2164222,8507775,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",1055983988,bed,2426550.roundup,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""2048,768""",18137576,,"""1""",,,"""8""",,,"""7""",,,"""9""",,,"""1""",,,"""Box plot in Galaxy""",0,1,,,use_outliers,"""1""",,,"""X Axis Label""","""Score Value""",,20336203,error,qual_stats_boxplot,1.0.0,,2015-01-07 05:14:14.300841,,70.52256700000001
2016-03-18 15:49:32.273357,slurm_normal,,main_w1_handler0,2634896,12182031,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",984173977,tabular,6397120.roundup,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""","""2048,768""",23907389,,"""1""",,,"""1""",,,"""1""",,,"""1""",,,"""1""",,,"""Box plot in Galaxy""",0,1,,,use_outliers,"""1""",,,"""X Axis Label""","""Score Value""",,28509455,error,qual_stats_boxplot,1.0.0,,2016-03-18 16:22:08.323853,78891.0,1956.050496
2016-05-09 20:22:33.058885,slurm_normal,,main_w2_handler1,2697306,12835851,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",3523309930,bed,7037111.roundup,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""","""2048,768""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5329d22d5972d8f48'}]","""1""",,,"""1""",,,"""1""",,,"""1""",,,"""1""",,,"""Box plot in Galaxy""",0,1,,,use_outliers,"""1""",,,"""X Axis Label""","""Score Value""",,29483001,error,qual_stats_boxplot,1.0.0,,2016-05-09 20:29:53.108477,82005.0,440.049592
2017-11-09 02:40:23.533930,slurm_normal,,main_w3_handler1,3305009,17390275,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",9170057085,sam,11451873,slurm,,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","""2048,768""",,"[{'src': 'hda', 'id': 32178015}]","""11""",,,"""8""",,,"""7""",,,"""9""",,,"""12""",,,"""Box plot in Galaxy""",0,1,,,use_outliers,"""1""",,,"""X Axis Label""","""Score Value""",,41871667,error,qual_stats_boxplot,1.0.0,,2017-11-09 02:43:05.510587,114773.0,161.97665700000002
2017-06-22 11:00:51.557054,slurm_normal,,main_w3_handler0,3166425,16163066,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",5093505589,sam,10240743.roundup,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""2048,768""",,"[{'src': 'hda', 'id': 30123500}]","""11""",,,"""8""",,,"""7""",,,"""9""",,,"""12""",,,"""Box plot in Galaxy""",0,1,,,use_outliers,"""1""",,,"""X Axis Label""","""Score Value""",,38718813,error,qual_stats_boxplot,1.0.0,,2017-06-22 11:02:53.866741,107526.0,122.30968700000001
2016-03-18 15:49:44.535321,slurm_normal,,main_w1_handler2,2634896,12182050,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",761563191,tabular,6396764.roundup,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""","""2048,768""",23907410,,"""1""",,,"""1""",,,"""1""",,,"""1""",,,"""1""",,,"""Box plot in Galaxy""",0,1,,,use_outliers,"""1""",,,"""X Axis Label""","""Score Value""",,28509455,error,qual_stats_boxplot,1.0.0,,2016-03-18 16:00:15.324017,78891.0,630.7886960000001
2016-03-18 15:49:35.835825,slurm_normal,,main_w2_handler1,2634896,12182036,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",780660542,tabular,6396966.roundup,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""","""2048,768""",23907394,,"""1""",,,"""1""",,,"""1""",,,"""1""",,,"""1""",,,"""Box plot in Galaxy""",0,1,,,use_outliers,"""1""",,,"""X Axis Label""","""Score Value""",,28509455,error,qual_stats_boxplot,1.0.0,,2016-03-18 16:11:32.169670,78891.0,1316.333845
2015-03-18 13:09:12.139397,rodeo_normal,,main_w2_handler1,2192378,8976808,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",8210432317,sam,3219874.roundup,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/Araly1.len""","""Araly1""","""2048,768""",18896309,,"""11""",,,"""8""",,,"""7""",,,"""9""",,,"""12""",,,"""Box plot in Galaxy""",0,1,,,use_outliers,"""1""",,,"""X Axis Label""","""Score Value""",,21877079,error,qual_stats_boxplot,1.0.0,,2015-03-18 13:12:02.433896,59057.0,170.294499
2016-03-18 15:49:42.617620,slurm_normal,,main_w1_handler2,2634896,12182046,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",1224837681,tabular,6397208.roundup,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""","""2048,768""",23907405,,"""1""",,,"""1""",,,"""1""",,,"""1""",,,"""1""",,,"""Box plot in Galaxy""",0,1,,,use_outliers,"""1""",,,"""X Axis Label""","""Score Value""",,28509455,error,qual_stats_boxplot,1.0.0,,2016-03-18 16:26:59.495949,78891.0,2236.878329
2016-03-17 02:02:10.584025,slurm_normal,,main_w1_handler1,2629782,12161559,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",4827259800,sam,6378679.roundup,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""2048,768""",23816967,,"""1""",,,"""1""",,,"""1""",,,"""1""",,,"""1""",,,"""Box plot in Galaxy""",0,1,,,use_outliers,"""1""",,,"""X Axis Label""","""Score Value""",,28931194,error,qual_stats_boxplot,1.0.0,,2016-03-17 02:16:50.639283,80412.0,880.0552580000001
2016-03-07 13:14:07.337310,slurm_normal,,main_w1_handler0,2622873,12051714,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",9155860017,sam,6277707.roundup,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""2048,768""",23706664,,"""1""",,,"""8""",,,"""7""",,,"""9""",,,"""1""",,,"""Box plot in Galaxy""",0,1,,,use_outliers,"""1""",,,"""X Axis Label""","""Score Value""",,28841668,error,qual_stats_boxplot,1.0.0,,2016-03-07 13:16:28.978327,79500.0,141.641017
2016-03-18 15:49:41.621946,slurm_normal,,main_w2_handler0,2634896,12182044,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",1214838801,tabular,6396827.roundup,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""","""2048,768""",23907403,,"""1""",,,"""1""",,,"""1""",,,"""1""",,,"""1""",,,"""Box plot in Galaxy""",0,1,,,use_outliers,"""1""",,,"""X Axis Label""","""Score Value""",,28509455,error,qual_stats_boxplot,1.0.0,,2016-03-18 16:04:33.390005,78891.0,891.7680590000001
2017-02-26 02:21:46.220843,slurm_normal,,main_w3_handler1,3010500,15144982,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",289235376,tabular,9297812.roundup,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""2048,768""",,"[{'src': 'hda', 'id': 28519576}]","""1""",,,"""1""",,,"""1""",,,"""1""",,,"""1""",,,"""Box plot in Galaxy""",0,1,,,use_outliers,"""1""",,,"""X Axis Label""","""Score Value""",,36286549,error,qual_stats_boxplot,1.0.0,,2017-02-26 07:04:17.007727,,16950.786884
