chromInfo,chromInfo_filetype,create_time,destination_id,exit_code,handler,history_id,id,imported,info,inputSequences,inputSequences_filetype,job_runner_external_id,job_runner_name,library_folder_id,object_store_id,param_filename,parameters.adjustdirection,parameters.chromInfo,parameters.cond_flavour.__current_case__,parameters.cond_flavour.flavourType,parameters.dbkey,parameters.inputSequences,parameters.inputSequences.values,parameters.outputFormat,runner_name,session_id,state,tool_id,tool_version,traceback,update_time,user_id,runtime
,,2016-01-18 20:25:29.527802,slurm_normal,,main_w1_handler2,2553382,11538721,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",5183765,fasta,5850722.roundup,slurm,,corral-repl,,""" ""","""/galaxy-repl/localdata/chrom/?.len""",0,mafft-fftns,"""?""",22719080,,"""fasta""",,27143507,error,toolshed.g2.bx.psu.edu/repos/rnateam/mafft/rbc_mafft/7.221.1,7.221.1,,2016-01-24 20:27:52.417335,,518542.889533
,,2016-01-18 20:25:30.176607,slurm_normal,,main_w2_handler1,2553382,11538723,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",5271978,fasta,5850724.roundup,slurm,,corral-repl,,""" ""","""/galaxy-repl/localdata/chrom/?.len""",0,mafft-fftns,"""?""",22719083,,"""fasta""",,27143507,error,toolshed.g2.bx.psu.edu/repos/rnateam/mafft/rbc_mafft/7.221.1,7.221.1,,2016-01-24 20:27:52.464439,,518542.28783200006
,,2016-01-18 20:25:30.467741,slurm_normal,,main_w1_handler0,2553382,11538724,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",5185088,fasta,5850723.roundup,slurm,,corral-repl,,""" ""","""/galaxy-repl/localdata/chrom/?.len""",0,mafft-fftns,"""?""",22719084,,"""fasta""",,27143507,error,toolshed.g2.bx.psu.edu/repos/rnateam/mafft/rbc_mafft/7.221.1,7.221.1,,2016-01-24 20:27:51.276652,,518540.80891100003
,,2016-01-18 20:25:31.193040,slurm_normal,,main_w1_handler0,2553382,11538726,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",5224092,fasta,5857298.roundup,slurm,,corral-repl,,""" ""","""/galaxy-repl/localdata/chrom/?.len""",0,mafft-fftns,"""?""",22719087,,"""fasta""",,27143507,error,toolshed.g2.bx.psu.edu/repos/rnateam/mafft/rbc_mafft/7.221.1,7.221.1,,2016-01-26 08:28:26.098125,,648174.9050850001
,,2016-02-12 09:23:36.416964,slurm_normal,,main_w1_handler2,2596299,11798710,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",12682591,fasta,6053454.roundup,slurm,,corral-repl,,""" ""","""/galaxy-repl/localdata/chrom/?.len""",0,mafft-fftns,"""?""",23298853,,"""clustalw""",,28289340,error,toolshed.g2.bx.psu.edu/repos/rnateam/mafft/rbc_mafft/7.221.1,7.221.1,,2016-02-13 21:24:09.055550,78443.0,129632.638586
,,2016-02-16 16:12:07.289064,slurm_normal,,main_w1_handler1,2596299,11845898,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",12682420,fasta,6092627.roundup,slurm,,corral-repl,,""" ""","""/galaxy-repl/localdata/chrom/?.len""",0,mafft-fftns,"""?""",23372167,,"""fasta""",,28289340,error,toolshed.g2.bx.psu.edu/repos/rnateam/mafft/rbc_mafft/7.221.1,7.221.1,,2016-02-18 04:13:14.343774,78443.0,129667.05471000001
,,2016-03-07 16:34:54.094602,slurm_normal,,main_w1_handler2,730774,12057874,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",391269650,fasta,6280748.roundup,slurm,,corral-repl,,"""--adjustdirection""","""/galaxy-repl/localdata/chrom/?.len""",0,mafft-fftns,"""?""",23673351,,"""clustalw""",,28811337,error,toolshed.g2.bx.psu.edu/repos/rnateam/mafft/rbc_mafft/7.221.1,7.221.1,,2016-03-09 04:36:09.649307,16876.0,129675.554705
,,2016-05-19 13:07:12.659043,slurm_normal,,main_w2_handler1,2709007,12939805,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",10812393,fasta,7134312.roundup,slurm,,corral-repl,,""" ""","""/galaxy-repl/localdata/chrom/hg38.len""",0,mafft-fftns,"""hg38""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5c3b7a586d59b3509'}]","""fasta""",,30256342,error,toolshed.g2.bx.psu.edu/repos/rnateam/mafft/rbc_mafft/7.221.1,7.221.1,,2016-05-21 01:07:52.822665,57799.0,129640.16362200001
,,2016-04-07 06:28:38.324337,slurm_normal,,main_w1_handler1,2660637,12359138,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",116062102,fasta,6564435.roundup,slurm,,corral-repl,,""" ""","""/galaxy-repl/localdata/chrom/?.len""",1,mafft --auto,"""?""",24176237,,"""fasta""",,28846994,error,toolshed.g2.bx.psu.edu/repos/rnateam/mafft/rbc_mafft/7.221.1,7.221.1,,2016-04-08 18:29:09.437590,43537.0,129631.113253
,,2016-03-25 17:22:50.067442,slurm_normal,,main_w1_handler1,2646060,12253393,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",43178141,fasta,6464727.roundup,slurm,,corral-repl,,""" ""","""/galaxy-repl/localdata/chrom/?.len""",0,mafft-fftns,"""?""",24018801,,"""fasta""",,28881863,error,toolshed.g2.bx.psu.edu/repos/rnateam/mafft/rbc_mafft/7.221.1,7.221.1,,2016-03-27 05:23:22.363172,78782.0,129632.29573000001
,,2016-04-07 05:03:55.648707,slurm_normal,,main_w2_handler0,2660637,12358903,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",126375494,fasta,6563736.roundup,slurm,,corral-repl,,""" ""","""/galaxy-repl/localdata/chrom/?.len""",1,mafft --auto,"""?""",24175996,,"""fasta""",,28846994,error,toolshed.g2.bx.psu.edu/repos/rnateam/mafft/rbc_mafft/7.221.1,7.221.1,,2016-04-08 17:08:11.981392,43537.0,129856.332685
,,2016-04-07 05:43:20.008152,slurm_normal,,main_w1_handler2,2660637,12358980,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",125851575,fasta,6564176.roundup,slurm,,corral-repl,,""" ""","""/galaxy-repl/localdata/chrom/?.len""",1,mafft --auto,"""?""",24176121,,"""fasta""",,28846994,error,toolshed.g2.bx.psu.edu/repos/rnateam/mafft/rbc_mafft/7.221.1,7.221.1,,2016-04-08 17:43:40.346290,43537.0,129620.338138
,,2016-04-07 06:29:21.545309,slurm_normal,,main_w1_handler1,2660637,12359142,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",105587225,fasta,6589768.roundup,slurm,,corral-repl,,""" ""","""/galaxy-repl/localdata/chrom/?.len""",1,mafft --auto,"""?""",24176367,,"""fasta""",,28846994,error,toolshed.g2.bx.psu.edu/repos/rnateam/mafft/rbc_mafft/7.221.1,7.221.1,,2016-04-10 05:44:13.079049,43537.0,256491.53374
,,2016-04-07 06:29:01.822913,slurm_normal,,main_w1_handler1,2660637,12359139,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",108904388,fasta,6589197.roundup,slurm,,corral-repl,,""" ""","""/galaxy-repl/localdata/chrom/?.len""",1,mafft --auto,"""?""",24176362,,"""fasta""",,28846994,error,toolshed.g2.bx.psu.edu/repos/rnateam/mafft/rbc_mafft/7.221.1,7.221.1,,2016-04-10 05:08:42.658416,43537.0,254380.835503
,,2016-04-07 06:29:41.025354,slurm_normal,,main_w1_handler1,2660637,12359143,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",102420358,fasta,6590559.roundup,slurm,,corral-repl,,""" ""","""/galaxy-repl/localdata/chrom/?.len""",1,mafft --auto,"""?""",24176370,,"""fasta""",,28846994,error,toolshed.g2.bx.psu.edu/repos/rnateam/mafft/rbc_mafft/7.221.1,7.221.1,,2016-04-10 06:29:43.783108,43537.0,259202.75775400002
,,2016-06-01 06:49:53.068340,slurm_normal,,main_w2_handler0,2723754,13037431,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",106179302,fasta,7217634.roundup,slurm,,corral-repl,,"""--adjustdirection""","""/galaxy-repl/localdata/chrom/?.len""",0,mafft-fftns,"""?""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5d2f99ed4b815b9da'}]","""fasta""",,30099655,error,toolshed.g2.bx.psu.edu/repos/rnateam/mafft/rbc_mafft/7.221.1,7.221.1,,2016-06-02 18:50:52.126481,82541.0,129659.058141
27.0,len,2016-06-08 19:20:22.785313,slurm_normal,,main_w2_handler0,2687035,13111691,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",8973434,fasta,7297093.roundup,slurm,,corral-repl,,""" ""","""/galaxy-repl/main/files/015/887/dataset_15887964.dat""",0,mafft-fftns,"""?""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5ff2114927dd3db8c'}]","""fasta""",,29879285,error,toolshed.g2.bx.psu.edu/repos/rnateam/mafft/rbc_mafft/7.221.1,7.221.1,,2016-06-10 07:21:30.665356,83512.0,129667.88004300001
,,2016-06-15 15:29:18.666661,slurm_normal,,main_w2_handler0,1783089,13170451,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",68493387,fasta,7354452.roundup,slurm,,corral-repl,,""" ""","""/galaxy-repl/localdata/chrom/?.len""",0,mafft-fftns,"""?""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5dab4ae8a38ec006f'}]","""fasta""",,30883238,error,toolshed.g2.bx.psu.edu/repos/rnateam/mafft/rbc_mafft/7.221.1,7.221.1,,2016-06-17 03:29:54.264126,34999.0,129635.59746500001
