bias_correction|ref_file,bias_correction|ref_file_filetype,create_time,destination_id,exit_code,global_model,global_model_filetype,handler,history_id,id,imported,info,input,input_filetype,job_runner_external_id,job_runner_name,library_folder_id,mask_file,mask_file_filetype,object_store_id,param_filename,parameters.__job_resource.__current_case__,parameters.__job_resource.__job_resource__select,parameters.__job_resource.tacc_compute_resource,parameters.__workflow_invocation_uuid__,parameters.advanced_settings.__current_case__,parameters.advanced_settings.inner_dist_std_dev,parameters.advanced_settings.inner_mean_dist,parameters.advanced_settings.junc_alpha,parameters.advanced_settings.library_type,parameters.advanced_settings.mask_file,parameters.advanced_settings.max_bundle_frags,parameters.advanced_settings.max_bundle_length,parameters.advanced_settings.max_mle_iterations,parameters.advanced_settings.min_intron_length,parameters.advanced_settings.overhang_tolerance,parameters.advanced_settings.small_anchor_fraction,parameters.advanced_settings.trim_three_avgcov_thresh,parameters.advanced_settings.trim_three_dropoff_frac,parameters.advanced_settings.use_advanced_settings,parameters.bias_correction.__current_case__,parameters.bias_correction.do_bias_correction,parameters.bias_correction.seq_source.__current_case__,parameters.bias_correction.seq_source.index,parameters.bias_correction.seq_source.index_source,parameters.bias_correction.seq_source.ref_file,parameters.bias_correction.seq_source.ref_file.values,parameters.chromInfo,parameters.dbkey,parameters.global_model,parameters.global_model.values,parameters.input,parameters.input.values,parameters.input|__identifier__,parameters.length_correction,parameters.max_intron_len,parameters.min_isoform_fraction,parameters.multiread_correct,parameters.pre_mrna_fraction,parameters.reference_annotation.__current_case__,parameters.reference_annotation.compatible_hits_norm,parameters.reference_annotation.intron_overhang_tolerance,parameters.reference_annotation.no_faux_reads,parameters.reference_annotation.reference_annotation_file,parameters.reference_annotation.reference_annotation_file.values,parameters.reference_annotation.reference_annotation_guide_file,parameters.reference_annotation.reference_annotation_guide_file.values,parameters.reference_annotation.three_overhang_tolerance,parameters.reference_annotation.use_ref,ref_file,ref_file_filetype,reference_annotation_file,reference_annotation_file_filetype,reference_annotation_guide_file,reference_annotation_guide_file_filetype,runner_name,session_id,state,tool_id,tool_version,traceback,update_time,user_id,runtime
,,2015-09-11 13:22:39.779189,slurm_multi_dynamic_walltime,,,,main_w2_handler2,2431840,10301869,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",2820175958,bam,4586713,slurm,,,,corral-repl,,0,no,,,0.0,,,,,,,,,,,,,,No,1,No,,,,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",,,21055736,,,"""""","""300000""","""0.1""","""No""","""0.15""",2,,50,,,,21064394.0,,600,Use reference annotation guide,,,,,1106405874.0,gtf,,24731419.0,error,toolshed.g2.bx.psu.edu/repos/devteam/cufflinks/cufflinks/2.2.1.0,2.2.1.0,,2015-09-13 01:23:11.844784,30532,129632.06559500001
,,2015-09-09 22:05:29.882430,slurm_multi_dynamic_walltime,,,,main_w2_handler2,2431840,10290329,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",2820175958,bam,4575647,slurm,,,,corral-repl,,0,no,,,0.0,,,,,,,,,,,,,,No,1,No,,,,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",,,21055736,,,"""""","""300000""","""0.1""","""No""","""0.15""",2,,50,,,,21064394.0,,600,Use reference annotation guide,,,,,1106405874.0,gtf,,24731419.0,error,toolshed.g2.bx.psu.edu/repos/devteam/cufflinks/cufflinks/2.2.1.0,2.2.1.0,,2015-09-11 10:06:08.727174,30532,129638.844744
,,2015-09-09 22:05:34.564507,slurm_multi_dynamic_walltime,,,,main_w2_handler2,2431840,10290330,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",3340220855,bam,4577165,slurm,,,,corral-repl,,0,no,,,0.0,,,,,,,,,,,,,,No,1,No,,,,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",,,21064423,,,"""""","""300000""","""0.1""","""No""","""0.15""",2,,50,,,,21064394.0,,600,Use reference annotation guide,,,,,1106405874.0,gtf,,24731419.0,error,toolshed.g2.bx.psu.edu/repos/devteam/cufflinks/cufflinks/2.2.1.0,2.2.1.0,,2015-09-11 17:34:39.952114,30532,156545.387607
,,2015-09-05 00:35:15.038458,slurm_multi_dynamic_walltime,,,,main_w2_handler2,2428867,10263230,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",24077785176,bam,4550298,slurm,,,,corral-repl,,0,no,,,0.0,,,,,,,,,,,,,,No,0,Yes,0.0,mm10,cached,,,"""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""",,,21014280,,,"""""","""300000""","""0.1""","""Yes""","""0.15""",0,,,,,,,,,No,,,,,,,,25022741.0,error,toolshed.g2.bx.psu.edu/repos/devteam/cufflinks/cufflinks/2.2.1.0,2.2.1.0,,2015-09-06 12:35:50.294967,68582,129635.25650900001
,,2015-09-02 13:21:04.682271,slurm_multi_dynamic_walltime,,,,main_w2_handler2,1163285,10243909,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",7630107201,bam,4538421,slurm,,,,corral-repl,,0,no,,"""69d64d60517511e59b76005056a51846""",,,,,,,,,,,,,,,,1,No,,,,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",,,20985224,,,"""""","""300000""","""0.0""","""No""","""0.0""",0,,,,,,,,,No,,,,,,,,24809802.0,error,toolshed.g2.bx.psu.edu/repos/devteam/cufflinks/cufflinks/2.2.1.0,2.2.1.0,,2015-09-05 00:36:50.955224,27209,213346.272953
,,2015-09-09 22:05:42.335329,slurm_multi_dynamic_walltime,,,,main_w2_handler2,2431840,10290332,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",1422629865,bam,4579410,slurm,,,,corral-repl,,0,no,,,0.0,,,,,,,,,,,,,,No,1,No,,,,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",,,21064428,,,"""""","""300000""","""0.1""","""No""","""0.15""",2,,50,,,,21064394.0,,600,Use reference annotation guide,,,,,1106405874.0,gtf,,24731419.0,error,toolshed.g2.bx.psu.edu/repos/devteam/cufflinks/cufflinks/2.2.1.0,2.2.1.0,,2015-09-12 01:47:43.198479,30532,186120.86315000002
,,2015-09-11 13:22:01.225510,slurm_multi_dynamic_walltime,,,,main_w2_handler2,2431840,10301863,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",1422629865,bam,4586707,slurm,,,,corral-repl,,0,no,,,0.0,,,,,,,,,,,,,,No,1,No,,,,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",,,21064428,,,"""""","""300000""","""0.1""","""No""","""0.15""",2,,50,,,,21064394.0,,600,Use reference annotation guide,,,,,1106405874.0,gtf,,24731419.0,error,toolshed.g2.bx.psu.edu/repos/devteam/cufflinks/cufflinks/2.2.1.0,2.2.1.0,,2015-09-13 01:22:42.101067,30532,129640.875557
,,2015-09-11 13:22:42.486236,slurm_multi_dynamic_walltime,,,,main_w2_handler2,2431840,10301870,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",3340220855,bam,4588817,slurm,,,,corral-repl,,0,no,,,0.0,,,,,,,,,,,,,,No,1,No,,,,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",,,21064423,,,"""""","""300000""","""0.1""","""No""","""0.15""",2,,50,,,,21064394.0,,600,Use reference annotation guide,,,,,1106405874.0,gtf,,24731419.0,error,toolshed.g2.bx.psu.edu/repos/devteam/cufflinks/cufflinks/2.2.1.0,2.2.1.0,,2015-09-13 05:35:12.477842,30532,144749.991606
,,2015-10-25 13:09:18.322727,slurm_multi_dynamic_walltime,,,,main_w2_handler2,2478459,10723794,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",831658659,bam,4985608,slurm,,,,corral-repl,,0,no,,,0.0,,,,,,,,,,,,,,No,1,No,,,,,,"""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""",,,21638429,,,"""""","""300000""","""0.1""","""No""","""0.15""",2,,50,,,,21638347.0,,600,Use reference annotation guide,,,,,4718373.0,gtf,,25595312.0,error,toolshed.g2.bx.psu.edu/repos/devteam/cufflinks/cufflinks/2.2.1.0,2.2.1.0,,2015-10-27 01:09:44.966057,70875,129626.64333
,,2015-10-25 14:53:26.280172,slurm_multi_dynamic_walltime,,,,main_w2_handler2,2478459,10724239,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",831658659,bam,4986042,slurm,,,,corral-repl,,0,no,,,0.0,,,,,,,,,,,,,,No,0,Yes,0.0,hg38,cached,,,"""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""",,,21638429,,,"""""","""300000""","""0.1""","""No""","""0.15""",1,,,,21638347.0,,,,,Use reference annotation,,,4718373.0,gtf,,,,25595312.0,error,toolshed.g2.bx.psu.edu/repos/devteam/cufflinks/cufflinks/2.2.1.0,2.2.1.0,,2015-10-27 02:54:18.005182,70875,129651.72501000001
