create_time,destination_id,exit_code,handler,history_id,id,imported,info,input1,input1_filetype,job_runner_external_id,job_runner_name,library_folder_id,object_store_id,param_filename,parameters.chromInfo,parameters.dbkey,parameters.input1,parameters.input1.values,parameters.maf_source_type.__current_case__,parameters.maf_source_type.mafType,parameters.maf_source_type.maf_source,parameters.summary,runner_name,session_id,state,tool_id,tool_version,traceback,update_time,user_id,runtime
2016-02-28 07:57:06.198925,slurm_normal,,main_w1_handler1,2554174,11960097,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",1787040627,bed,6193408.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",23525891,,1,100_WAY_MULTIZ_v2_hg19,cached,"""false""",,27161123,error,maf_stats1,1.0.1,,2016-02-29 19:57:57.429370,55954,129651.23044500001
2016-09-07 14:04:40.806010,slurm_normal,,main_w4_handler0,2468554,13798405,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",24961616,bed,8018897.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b57a1fbdf62cfc666b'}]",1,100_WAY_MULTIZ_v2_hg19,cached,"""true""",,32813698,error,maf_stats1,1.0.1,,2016-09-09 02:05:45.968901,65439,129665.16289100001
2016-09-07 14:04:36.419210,slurm_normal,,main_w4_handler0,2468554,13798397,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",24932793,bed,8018905.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b551eb0c3b2c4addfe'}]",1,100_WAY_MULTIZ_v2_hg19,cached,"""true""",,32813698,error,maf_stats1,1.0.1,,2016-09-09 02:06:15.934949,65439,129699.51573900001
2016-09-07 14:04:38.746454,slurm_normal,,main_w3_handler1,2468554,13798401,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",24900557,bed,8018907.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b54b67c4d8bcc4dce8'}]",1,100_WAY_MULTIZ_v2_hg19,cached,"""true""",,32813698,error,maf_stats1,1.0.1,,2016-09-09 02:06:44.930176,65439,129726.183722
2016-09-07 14:04:39.452280,slurm_normal,,main_w3_handler0,2468554,13798403,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",23694026,bed,8018901.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5940301d49ba0f0a7'}]",1,100_WAY_MULTIZ_v2_hg19,cached,"""true""",,32813698,error,maf_stats1,1.0.1,,2016-09-09 02:06:15.890223,65439,129696.43794300001
2016-09-07 14:04:41.885697,slurm_normal,,main_w3_handler0,2468554,13798407,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",24757485,bed,8018904.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5446788b0e065d06f'}]",1,100_WAY_MULTIZ_v2_hg19,cached,"""true""",,32813698,error,maf_stats1,1.0.1,,2016-09-09 02:06:16.119974,65439,129694.23427700001
2016-09-07 14:04:37.802756,slurm_normal,,main_w4_handler0,2468554,13798399,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",24642563,bed,8018902.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b591bae91cd90a8b65'}]",1,100_WAY_MULTIZ_v2_hg19,cached,"""true""",,32813698,error,maf_stats1,1.0.1,,2016-09-09 02:06:15.506975,65439,129697.704219
2014-09-25 23:26:07.125993,roundup_single,,main_w1_handler1,2062163,7863147,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",1978357785,bed,1843296,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",17022562,,1,100_WAY_MULTIZ_v2_hg19,cached,"""false""",,17139597,error,maf_stats1,1.0.1,,2014-09-27 23:26:28.927946,53356,172821.80195300002
2015-02-16 17:19:35.300101,rodeo_normal,,main_w1_handler1,2074780,8736624,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",253563674,bedgraph,2778578.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""",18515154,,1,46_WAY_MULTIZ_hg19,cached,"""false""",,21277698,error,maf_stats1,1.0.1,,2015-02-18 05:20:09.107767,53803,129633.80766600001
2017-03-11 03:39:59.231995,slurm_normal,,main_w3_handler0,3024665,15268426,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",244953750,bed,9414266.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",,"[{'src': 'hda', 'id': 28714789}]",1,46_WAY_MULTIZ_hg19,cached,"""false""",,36567236,error,maf_stats1,1.0.1,,2017-03-12 15:40:24.286344,101721,129625.05434900001
2017-04-28 21:45:43.076695,slurm_normal,,main_w4_handler0,3089235,15704535,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",248233109,bedgraph,9817196.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",,"[{'src': 'hda', 'id': 29401899}]",1,100_WAY_MULTIZ_v2_hg19,cached,"""false""",,37635728,error,maf_stats1,1.0.1,,2017-04-30 09:46:10.745438,104814,129627.668743
2017-05-01 18:53:28.594476,slurm_normal,,main_w4_handler1,3091261,15717770,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",325574806,bedgraph,9828879.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",,"[{'src': 'hda', 'id': 29420831}]",1,100_WAY_MULTIZ_v2_hg19,cached,"""true""",,37635728,error,maf_stats1,1.0.1,,2017-05-03 06:54:04.275136,104814,129635.68066000001
