create_time,destination_id,exit_code,file_list,file_list_filetype,handler,history_id,id,imported,info,job_runner_external_id,job_runner_name,library_folder_id,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.adv.alignments,parameters.adv.clip,parameters.adv.matepairDist,parameters.adv.maxID,parameters.adv.minID,parameters.adv.minlen,parameters.adv.readfilter,parameters.adv.region,parameters.adv.skip_technical,parameters.adv.split,parameters.adv.spotgroups,parameters.chromInfo,parameters.dbkey,parameters.file_list|__identifier__,parameters.input.__current_case__,parameters.input.file_list.values,parameters.input.input_select,parameters.outputformat,runner_name,session_id,state,tool_id,tool_version,traceback,update_time,user_id,runtime
2018-01-04 01:28:45.149018,slurm_normal,,4339782429,fastq,main_w3_handler1,3324283,17940545,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",12016662,slurm,,corral-repl,,,both,false,,,,,,,false,true,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/mm9.len""","""mm9""",,2,"[{'src': 'hda', 'id': 32982520}]",file_list,"""fastqsanger""",,41978169.0,error,toolshed.g2.bx.psu.edu/repos/iuc/sra_tools/fastq_dump/2.8.1.3,2.8.1.3,,2018-01-05 13:29:11.304846,116213.0,129626.155828
2018-01-07 13:12:20.507019,slurm_normal,,71,txt,main_w4_handler0,3384036,17965687,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",12042299,slurm,,corral-repl,,,both,false,,,,,,,false,true,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",,2,"[{'src': 'hda', 'id': 33204136}]",file_list,"""fastqsanger.gz""",,42982877.0,error,toolshed.g2.bx.psu.edu/repos/iuc/sra_tools/fastq_dump/2.8.1.3,2.8.1.3,,2018-01-09 01:12:26.510777,119365.0,129606.003758
2018-01-07 16:36:20.082903,slurm_normal,,71,txt,main_w3_handler0,3384240,17966498,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",12043125,slurm,,corral-repl,,,both,false,,,,,,,false,true,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",,2,"[{'src': 'hda', 'id': 33205336}]",file_list,"""fastqsanger.gz""",,42982877.0,error,toolshed.g2.bx.psu.edu/repos/iuc/sra_tools/fastq_dump/2.8.1.3,2.8.1.3,,2018-01-09 04:36:27.361339,119365.0,129607.27843600001
2017-10-30 02:49:38.549795,slurm_normal,,202602307,gtf,main_w4_handler1,3304056,17260774,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",11319363,slurm,,corral-repl,,,both,false,,,,,,,false,true,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg38.len""","""hg38""",,2,"[{'src': 'hda', 'id': 31958585}]",file_list,"""fastqsanger.gz""",,41612282.0,error,toolshed.g2.bx.psu.edu/repos/iuc/sra_tools/fastq_dump/2.8.1.3,2.8.1.3,,2017-10-31 14:51:13.060594,110529.0,129694.51079900001
2017-10-31 00:40:31.523989,slurm_normal,,9650401336,fastqsanger.gz,main_w4_handler1,3305109,17271168,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",11331246,slurm,,corral-repl,,,both,false,,,,,,,false,true,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",,2,"[{'src': 'hda', 'id': 31974349}]",file_list,"""fastqsanger.gz""",,41594465.0,error,toolshed.g2.bx.psu.edu/repos/iuc/sra_tools/fastq_dump/2.8.1.3,2.8.1.3,,2017-11-01 12:41:20.749852,114026.0,129649.22586300001
2017-11-05 18:55:38.882957,slurm_normal,,1772,txt,main_w3_handler1,3312279,17337603,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",11400001,slurm,,corral-repl,,,both,false,,,,,,,false,true,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",,2,"[{'src': 'hda', 'id': 32080781}]",file_list,"""fastqsanger.gz""",,41750287.0,error,toolshed.g2.bx.psu.edu/repos/iuc/sra_tools/fastq_dump/2.8.1.3,2.8.1.3,,2017-11-07 06:56:03.482805,96255.0,129624.59984800001
2018-01-08 13:59:28.527675,slurm_normal,,1287,txt,main_w4_handler0,3358637,17972757,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",12049350,slurm,,corral-repl,,,both,false,,,,,,,false,true,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",,2,"[{'src': 'hda', 'id': 33216249}]",file_list,"""fastqsanger.gz""",,42066704.0,error,toolshed.g2.bx.psu.edu/repos/iuc/sra_tools/fastq_dump/2.8.1.3,2.8.1.3,,2018-01-10 01:59:36.423450,73645.0,129607.89577500001
2017-11-09 07:47:48.350252,slurm_normal,,813327922,fastq.gz,main_w4_handler1,2835732,17392800,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",11454559,slurm,,corral-repl,,,both,false,,,,,,,false,true,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",,2,"[{'src': 'hda', 'id': 32154409}]",file_list,"""fastqsanger""",,41853664.0,error,toolshed.g2.bx.psu.edu/repos/iuc/sra_tools/fastq_dump/2.8.1.3,2.8.1.3,,2017-11-10 19:48:27.979770,91103.0,129639.629518
2017-11-09 07:46:54.478044,slurm_normal,,617763809,fastq.gz,main_w4_handler0,2835732,17392799,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",11454550,slurm,,corral-repl,,,both,false,,,,,,,false,true,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",,2,"[{'src': 'hda', 'id': 32154415}]",file_list,"""fastqsanger""",,41853664.0,error,toolshed.g2.bx.psu.edu/repos/iuc/sra_tools/fastq_dump/2.8.1.3,2.8.1.3,,2017-11-10 19:47:28.165841,91103.0,129633.687797
2017-11-08 15:48:43.484162,slurm_normal,,649166248,fastqsanger.gz,main_w4_handler0,3315223,17381918,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",11468040,slurm,,corral-repl,,,both,false,,,,,,,false,true,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","""forward""",2,"[{'src': 'hda', 'id': 32140313}]",file_list,"""fastqsanger.gz""",,41855682.0,error,toolshed.g2.bx.psu.edu/repos/iuc/sra_tools/fastq_dump/2.8.1.3,2.8.1.3,,2017-11-11 15:42:33.216349,112494.0,258829.73218700002
2017-11-08 15:41:24.821758,slurm_normal,,622417955,fastqsanger.gz,main_w4_handler0,3315223,17381794,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",11443559,slurm,,corral-repl,,,both,false,,,,,,,false,true,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","""reverse""",2,"[{'src': 'hda', 'id': 32140899}]",file_list,"""fastqsanger.gz""",,41826119.0,error,toolshed.g2.bx.psu.edu/repos/iuc/sra_tools/fastq_dump/2.8.1.3,2.8.1.3,,2017-11-10 03:42:28.202714,112494.0,129663.38095600001
2017-11-08 15:42:55.808443,slurm_normal,,622417955,fastqsanger.gz,main_w3_handler0,3315223,17381811,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",11443589,slurm,,corral-repl,,,both,false,,,,,,,false,true,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","""reverse""",2,"[{'src': 'hda', 'id': 32140899}]",file_list,"""fastqsanger.gz""",,41826119.0,error,toolshed.g2.bx.psu.edu/repos/iuc/sra_tools/fastq_dump/2.8.1.3,2.8.1.3,,2017-11-10 03:44:56.662018,112494.0,129720.853575
2017-11-08 15:41:24.329684,slurm_normal,,606652096,fastqsanger.gz,main_w4_handler0,3315223,17381793,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",11443558,slurm,,corral-repl,,,both,false,,,,,,,false,true,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","""forward""",2,"[{'src': 'hda', 'id': 32140897}]",file_list,"""fastqsanger.gz""",,41826119.0,error,toolshed.g2.bx.psu.edu/repos/iuc/sra_tools/fastq_dump/2.8.1.3,2.8.1.3,,2017-11-10 03:41:58.744205,112494.0,129634.41452100001
2017-11-08 15:42:55.625200,slurm_normal,,606652096,fastqsanger.gz,main_w4_handler0,3315223,17381810,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",11443575,slurm,,corral-repl,,,both,false,,,,,,,false,true,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","""forward""",2,"[{'src': 'hda', 'id': 32140897}]",file_list,"""fastqsanger.gz""",,41826119.0,error,toolshed.g2.bx.psu.edu/repos/iuc/sra_tools/fastq_dump/2.8.1.3,2.8.1.3,,2017-11-10 03:43:28.927466,112494.0,129633.30226600001
