chromInfo,chromInfo_filetype,create_time,destination_id,exit_code,handler,history_id,id,imported,info,input1_file,input1_file_filetype,input2_file,input2_file_filetype,job_runner_external_id,job_runner_name,library_folder_id,object_store_id,param_filename,parameters.chromInfo,parameters.dbkey,parameters.input1_file.values,parameters.input1_file|__identifier__,parameters.input2_file.values,parameters.input2_file|__identifier__,parameters.paste_sequence,parameters.style,runner_name,session_id,state,tool_id,tool_version,traceback,update_time,user_id,runtime
18.0,len,2017-03-07 15:22:38.400667,slurm_normal_16gb,,main_w4_handler1,2938231,15231383,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",582905612,fastqsanger,582905612,fastqsanger,9535178.roundup,slurm,,corral-repl,,"""/galaxy-repl/main/files/018/281/dataset_18281548.dat""","""?""","[{'src': 'hda', 'id': 27729687}]","""forward""","[{'src': 'hda', 'id': 27729687}]","""forward""","""""","""old""",,35053481,error,toolshed.g2.bx.psu.edu/repos/devteam/fastq_paired_end_joiner/fastq_paired_end_joiner/2.0.1,2.0.1,,2017-03-27 20:22:31.557996,64744,1745993.157329
,,2017-02-04 00:40:40.286447,slurm_normal_16gb,,main_w3_handler1,584362,14947918,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",3404859790,fastqsanger,3404858846,fastqsanger,9105557.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","[{'src': 'hda', 'id': 28175007}]",,"[{'src': 'hda', 'id': 28175008}]",,"""""","""old""",,35728503,error,toolshed.g2.bx.psu.edu/repos/devteam/fastq_paired_end_joiner/fastq_paired_end_joiner/2.0.1,2.0.1,,2017-02-05 00:41:00.539860,12316,86420.253413
18.0,len,2017-03-07 15:22:40.433544,slurm_normal_16gb,,main_w4_handler1,2938231,15231387,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",502639650,fastqsanger,502639650,fastqsanger,9554823.roundup,slurm,,corral-repl,,"""/galaxy-repl/main/files/018/281/dataset_18281548.dat""","""?""","[{'src': 'hda', 'id': 27729691}]","""forward""","[{'src': 'hda', 'id': 27729691}]","""forward""","""""","""old""",,35053481,error,toolshed.g2.bx.psu.edu/repos/devteam/fastq_paired_end_joiner/fastq_paired_end_joiner/2.0.1,2.0.1,,2017-03-30 13:29:58.318144,64744,1980437.8846000002
18.0,len,2017-03-07 15:22:32.683585,slurm_normal_16gb,,main_w4_handler1,2938231,15231370,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",555079201,fastqsanger,555079201,fastqsanger,9456649.roundup,slurm,,corral-repl,,"""/galaxy-repl/main/files/018/281/dataset_18281548.dat""","""?""","[{'src': 'hda', 'id': 27729674}]","""reverse""","[{'src': 'hda', 'id': 27729674}]","""reverse""","""""","""old""",,35053481,error,toolshed.g2.bx.psu.edu/repos/devteam/fastq_paired_end_joiner/fastq_paired_end_joiner/2.0.1,2.0.1,,2017-03-17 17:02:44.380845,64744,870011.69726
18.0,len,2017-03-07 15:22:41.544732,slurm_normal_16gb,,main_w4_handler1,2938231,15231389,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",651775930,fastqsanger,651775930,fastqsanger,9566553.roundup,slurm,,corral-repl,,"""/galaxy-repl/main/files/018/281/dataset_18281548.dat""","""?""","[{'src': 'hda', 'id': 27729694}]","""forward""","[{'src': 'hda', 'id': 27729694}]","""forward""","""""","""old""",,35053481,error,toolshed.g2.bx.psu.edu/repos/devteam/fastq_paired_end_joiner/fastq_paired_end_joiner/2.0.1,2.0.1,,2017-03-31 13:42:41.161179,64744,2067599.616447
18.0,len,2017-03-07 15:22:42.053852,slurm_normal_16gb,,main_w4_handler1,2938231,15231390,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",648046503,fastqsanger,648046503,fastqsanger,9577538.roundup,slurm,,corral-repl,,"""/galaxy-repl/main/files/018/281/dataset_18281548.dat""","""?""","[{'src': 'hda', 'id': 27729695}]","""reverse""","[{'src': 'hda', 'id': 27729695}]","""reverse""","""""","""old""",,35053481,error,toolshed.g2.bx.psu.edu/repos/devteam/fastq_paired_end_joiner/fastq_paired_end_joiner/2.0.1,2.0.1,,2017-04-01 15:26:26.863010,64744,2160224.809158
18.0,len,2017-03-07 15:22:39.945782,slurm_normal_16gb,,main_w4_handler0,2938231,15231386,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",550261620,fastqsanger,550261620,fastqsanger,9585587.roundup,slurm,,corral-repl,,"""/galaxy-repl/main/files/018/281/dataset_18281548.dat""","""?""","[{'src': 'hda', 'id': 27729690}]","""reverse""","[{'src': 'hda', 'id': 27729690}]","""reverse""","""""","""old""",,35053481,error,toolshed.g2.bx.psu.edu/repos/devteam/fastq_paired_end_joiner/fastq_paired_end_joiner/2.0.1,2.0.1,,2017-04-02 15:26:58.050277,64744,2246658.104495
18.0,len,2017-03-07 15:22:40.984846,slurm_normal_16gb,,main_w4_handler0,2938231,15231388,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",498183536,fastqsanger,498183536,fastqsanger,9592586.roundup,slurm,,corral-repl,,"""/galaxy-repl/main/files/018/281/dataset_18281548.dat""","""?""","[{'src': 'hda', 'id': 27729693}]","""reverse""","[{'src': 'hda', 'id': 27729693}]","""reverse""","""""","""old""",,35053481,error,toolshed.g2.bx.psu.edu/repos/devteam/fastq_paired_end_joiner/fastq_paired_end_joiner/2.0.1,2.0.1,,2017-04-03 15:27:10.222760,64744,2333069.237914
18.0,len,2017-03-07 15:22:42.566747,slurm_normal_16gb,,main_w4_handler0,2938231,15231392,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",434268110,fastqsanger,434268110,fastqsanger,9602120.roundup,slurm,,corral-repl,,"""/galaxy-repl/main/files/018/281/dataset_18281548.dat""","""?""","[{'src': 'hda', 'id': 27729696}]","""forward""","[{'src': 'hda', 'id': 27729696}]","""forward""","""""","""old""",,35053481,error,toolshed.g2.bx.psu.edu/repos/devteam/fastq_paired_end_joiner/fastq_paired_end_joiner/2.0.1,2.0.1,,2017-04-04 15:29:24.294247,64744,2419601.7275
18.0,len,2017-03-07 15:22:24.564549,slurm_normal_16gb,,main_w3_handler0,2938231,15231353,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",620971603,fastqsanger,620971603,fastqsanger,9379196.roundup,slurm,,corral-repl,,"""/galaxy-repl/main/files/018/281/dataset_18281548.dat""","""?""","[{'src': 'hda', 'id': 27729656}]","""reverse""","[{'src': 'hda', 'id': 27729656}]","""reverse""","""""","""old""",,35053481,error,toolshed.g2.bx.psu.edu/repos/devteam/fastq_paired_end_joiner/fastq_paired_end_joiner/2.0.1,2.0.1,,2017-03-08 15:24:51.919848,64744,86547.355299
18.0,len,2017-03-07 15:22:23.230875,slurm_normal_16gb,,main_w3_handler1,2938231,15231350,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",749550978,fastqsanger,749550978,fastqsanger,9390777.roundup,slurm,,corral-repl,,"""/galaxy-repl/main/files/018/281/dataset_18281548.dat""","""?""","[{'src': 'hda', 'id': 27729653}]","""forward""","[{'src': 'hda', 'id': 27729653}]","""forward""","""""","""old""",,35053481,error,toolshed.g2.bx.psu.edu/repos/devteam/fastq_paired_end_joiner/fastq_paired_end_joiner/2.0.1,2.0.1,,2017-03-09 15:24:59.579476,64744,172956.348601
18.0,len,2017-03-07 15:22:25.340779,slurm_normal_16gb,,main_w3_handler1,2938231,15231354,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",636461500,fastqsanger,636461500,fastqsanger,9400558.roundup,slurm,,corral-repl,,"""/galaxy-repl/main/files/018/281/dataset_18281548.dat""","""?""","[{'src': 'hda', 'id': 27729657}]","""forward""","[{'src': 'hda', 'id': 27729657}]","""forward""","""""","""old""",,35053481,error,toolshed.g2.bx.psu.edu/repos/devteam/fastq_paired_end_joiner/fastq_paired_end_joiner/2.0.1,2.0.1,,2017-03-10 15:25:07.097701,64744,259361.75692200003
18.0,len,2017-03-07 15:22:28.301775,slurm_normal_16gb,,main_w3_handler0,2938231,15231360,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",567181034,fastqsanger,567181034,fastqsanger,9400557.roundup,slurm,,corral-repl,,"""/galaxy-repl/main/files/018/281/dataset_18281548.dat""","""?""","[{'src': 'hda', 'id': 27729663}]","""forward""","[{'src': 'hda', 'id': 27729663}]","""forward""","""""","""old""",,35053481,error,toolshed.g2.bx.psu.edu/repos/devteam/fastq_paired_end_joiner/fastq_paired_end_joiner/2.0.1,2.0.1,,2017-03-10 15:25:07.020855,64744,259358.71908
