create_time,destination_id,exit_code,handler,history_id,id,imported,info,input_query,input_query_filetype,job_runner_external_id,job_runner_name,library_folder_id,object_store_id,param_filename,parameters.chromInfo,parameters.dbkey,parameters.evalue_cutoff,parameters.filter_query,parameters.iden_cutoff,parameters.input_query,parameters.source_select,parameters.word_size,runner_name,session_id,state,tool_id,tool_version,traceback,update_time,user_id,runtime
2014-02-17 12:57:09.857007,slurm_multi,,main_w2_handler2,1808623,6530665,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",2062209948,fasta,561448,slurm,,corral-repl,,"""/galaxy/data/chrom/?.len""","""?""","""0.001""","""yes""","""90.0""",14659036,"""28jan2013-htgs""","""28""",,13384703,error,megablast_wrapper,1.2.0,,2014-02-19 13:16:26.965827,40581.0,173957.10882000002
2014-02-19 17:42:08.893753,slurm_multi,,main_w2_handler2,1806964,6548070,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",3946938,fasta,587384,slurm,,corral-repl,,"""/galaxy/data/chrom/?.len""","""?""","""0.001""","""yes""","""90.0""",14702595,"""28jan2013-nt""","""28""",,13372360,error,megablast_wrapper,1.2.0,,2014-02-22 20:13:07.248845,45195.0,268258.35509200004
2014-02-20 14:23:16.769240,slurm_multi,,main_w2_handler2,1806964,6557354,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",3946938,fasta,587735,slurm,,corral-repl,,"""/galaxy/data/chrom/?.len""","""?""","""0.001""","""yes""","""90.0""",14702595,"""28jan2013-nt""","""28""",,13437533,error,megablast_wrapper,1.2.0,,2014-02-22 21:34:05.261369,45195.0,198648.49212900002
2014-02-20 11:15:41.646759,slurm_multi,,main_w2_handler2,1808623,6556774,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",2062209948,fasta,588928,slurm,,corral-repl,,"""/galaxy/data/chrom/?.len""","""?""","""0.001""","""yes""","""90.0""",14659036,"""28jan2013-htgs""","""28""",,13384703,error,megablast_wrapper,1.2.0,,2014-02-23 00:57:36.873649,40581.0,222115.22689000002
2014-02-20 11:15:59.435157,slurm_multi,,main_w2_handler2,1808623,6556776,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",2591265004,fasta,592846,slurm,,corral-repl,,"""/galaxy/data/chrom/?.len""","""?""","""0.001""","""yes""","""90.0""",14659007,"""28jan2013-htgs""","""28""",,13384703,error,megablast_wrapper,1.2.0,,2014-02-23 07:15:37.663659,40581.0,244778.228502
2014-02-24 08:55:47.706841,slurm_multi,,main_w2_handler2,1817139,6578684,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",2591265004,fasta,609165,slurm,,corral-repl,,"""/galaxy/data/chrom/?.len""","""?""","""0.001""","""yes""","""90.0""",14759762,"""28jan2013-htgs""","""28""",,13507492,error,megablast_wrapper,1.2.0,,2014-02-26 09:11:02.061745,40581.0,173714.354904
2014-02-24 12:12:29.459334,slurm_multi,,main_w2_handler2,1817226,6579890,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",131241611,fasta,610333,slurm,,corral-repl,,"""/galaxy/data/chrom/?.len""","""?""","""0.001""","""yes""","""90.0""",14763576,"""28jan2013-nt""","""28""",,13508479,error,megablast_wrapper,1.2.0,,2014-02-26 12:23:01.910848,,173432.45151400001
2014-02-25 06:19:48.356255,slurm_multi,,main_w2_handler2,1811030,6585529,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",7985154486,fasta,616006,slurm,,corral-repl,,"""/galaxy/data/chrom/?.len""","""?""","""0.001""","""yes""","""90.0""",14783723,"""28jan2013-htgs""","""28""",,13527945,error,megablast_wrapper,1.2.0,,2014-02-27 07:17:30.911969,45321.0,176262.55571400002
2014-02-25 07:52:04.320765,slurm_multi,,main_w2_handler2,1817139,6585825,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",2062209948,fasta,617174,slurm,,corral-repl,,"""/galaxy/data/chrom/?.len""","""?""","""0.001""","""yes""","""90.0""",14784078,"""28jan2013-htgs""","""28""",,13507492,error,megablast_wrapper,1.2.0,,2014-02-27 11:37:45.353763,40581.0,186341.032998
2014-02-27 10:45:42.291425,slurm_multi,,main_w2_handler2,1821737,6599310,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",3385541296,fasta,633351,slurm,,corral-repl,,"""/galaxy/data/chrom/?.len""","""?""","""0.001""","""yes""","""90.0""",14808176,"""28jan2013-htgs""","""28""",,13583951,error,megablast_wrapper,1.2.0,,2014-03-02 10:37:40.639468,45321.0,258718.348043
2014-03-02 20:28:26.504990,slurm_multi,,main_w2_handler2,1818579,6615377,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",763285568,fasta,643218,slurm,,corral-repl,,"""/galaxy/data/chrom/hg19.len""","""hg19""","""0.001""","""yes""","""95.0""",14802876,"""28jan2013-nt""","""28""",,13576242,error,megablast_wrapper,1.2.0,,2014-03-04 22:30:31.742447,45138.0,180125.237457
2014-03-03 06:36:30.960318,slurm_multi,,main_w2_handler2,1821737,6617125,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",3385541296,fasta,645356,slurm,,corral-repl,,"""/galaxy/data/chrom/?.len""","""?""","""0.001""","""yes""","""90.0""",14840780,"""28jan2013-htgs""","""28""",,13641451,error,megablast_wrapper,1.2.0,,2014-03-05 08:34:20.074768,45321.0,179869.11445000002
2014-03-03 06:45:59.664833,slurm_multi,,main_w2_handler2,1821705,6617145,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",2140928164,fasta,645374,slurm,,corral-repl,,"""/galaxy/data/chrom/?.len""","""?""","""0.001""","""yes""","""90.0""",14840805,"""28jan2013-htgs""","""28""",,13641589,error,megablast_wrapper,1.2.0,,2014-03-05 09:09:25.982668,43582.0,181406.31783500002
2014-04-30 09:18:36.004754,slurm_multi,,main_w2_handler2,1886407,6900690,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",1832507,fasta,923930,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""0.001""","""yes""","""90.0""",15371701,"""17apr2014-nt""","""16""",,14573153,error,megablast_wrapper,1.2.0,,2014-05-03 09:16:32.883674,43955.0,259076.87892000002
2014-04-30 09:21:01.483244,slurm_multi,,main_w2_handler2,1886411,6900761,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",2481822,fasta,933695,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""0.001""","""yes""","""90.0""",15371774,"""17apr2014-nt""","""16""",,14573153,error,megablast_wrapper,1.2.0,,2014-05-05 20:35:15.921312,43955.0,472454.438068
2014-05-09 16:39:47.085282,slurm_multi,,main_w2_handler2,1862815,6946683,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",13548117,fasta,964785,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""0.0001""","""yes""","""95.0""",15462790,"""20apr2014-wgs""","""28""",,14665066,error,megablast_wrapper,1.2.0,,2014-05-12 09:56:07.611086,31294.0,234980.525804
2014-05-14 15:26:03.101032,slurm_multi,,main_w2_handler2,1862815,6966407,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",6811466,fasta,984678,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""0.0001""","""yes""","""95.0""",15506804,"""20apr2014-wgs""","""28""",,14767837,error,megablast_wrapper,1.2.0,,2014-05-16 15:36:45.707436,31294.0,173442.60640400002
