create_time,destination_id,exit_code,handler,history_id,id,imported,info,input_bams_0|input_bam,input_bams_0|input_bam_filetype,input_bams_1|input_bam,input_bams_1|input_bam_filetype,input_bams_2|input_bam,input_bams_2|input_bam_filetype,input_bams_3|input_bam,input_bams_3|input_bam_filetype,job_runner_external_id,job_runner_name,library_folder_id,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.advanced_options.__current_case__,parameters.advanced_options.advanced_options_selector,parameters.advanced_options.coverage_dtype,parameters.advanced_options.safe,parameters.chromInfo,parameters.coverage_dtype,parameters.dbkey,parameters.min_base_quality,parameters.min_mapping_quality,parameters.min_support_depth,parameters.ploidy,parameters.reference_source.__current_case__,parameters.reference_source.input_bams,parameters.reference_source.ref_file,parameters.reference_source.reference_source_selector,parameters.regions,parameters.use_strand,parameters.variants_only,ref_file,ref_file_filetype,reference_source|input_bams_0|input_bam,reference_source|input_bams_0|input_bam_filetype,runner_name,session_id,state,tool_id,tool_version,traceback,update_time,user_id,runtime
2014-08-13 18:27:51.027898,slurm_single,,main_w2_handler1,2015065,7433469,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",13407924.0,bam,,,,,,,1435866,slurm,,corral-repl,,,0.0,basic,,,"""/galaxy-repl/localdata/chrom/hg19.len""",,"""hg19""","""""","""""","""0""","""2""",0.0,"[{'__index__': 0, 'input_bam': 16331501}]",hg19,cached,[],"""False""","""False""",,,,,,15583618.0,error,toolshed.g2.bx.psu.edu/repos/blankenberg/naive_variant_caller/naive_variant_caller/0.0.1,0.0.1,,2014-08-15 18:38:14.428680,50718,173423.400782
2014-08-29 09:56:15.604111,slurm_single,,main_w2_handler1,1967760,7517174,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",1637724788.0,bam,,,,,,,1517175,slurm,,corral-repl,,,0.0,basic,,,"""/galaxy-repl/localdata/chrom/hg_g1k_v37.len""",,"""hg_g1k_v37""","""""","""""","""0""","""2""",0.0,"[{'__index__': 0, 'input_bam': 16448294}]",hg_g1k_v37,cached,[],"""True""","""False""",,,,,,16494271.0,error,toolshed.g2.bx.psu.edu/repos/blankenberg/naive_variant_caller/naive_variant_caller/0.0.1,0.0.1,,2014-08-31 10:06:52.746529,50891,173437.142418
2014-09-01 16:30:14.684640,slurm_single,,main_w1_handler1,2015869,7540860,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",2585341901.0,bam,,,,,,,1539324,slurm,,corral-repl,,,0.0,basic,,,"""/galaxy-repl/localdata/chrom/hg19.len""",,"""hg19""","""""","""""","""0""","""2""",0.0,"[{'__index__': 0, 'input_bam': 16471733}]",hg19,cached,[],"""False""","""False""",,,,,,16584566.0,error,toolshed.g2.bx.psu.edu/repos/blankenberg/naive_variant_caller/naive_variant_caller/0.0.1,0.0.1,,2014-09-03 16:40:45.476299,49844,173430.791659
2014-10-02 14:30:23.336778,roundup_single,,main_w2_handler1,2073218,7918740,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",70527415964.0,bam,,,,,,,1897919,slurm,,corral-repl,,,0.0,basic,,,"""/galaxy-repl/localdata/chrom/?.len""",,"""?""","""20""","""""","""0""","""2""",1.0,"[{'__index__': 0, 'input_bam': 17120955}]",17120957,history,[],"""True""","""True""",323180038.0,fasta,,,,17146067.0,error,toolshed.g2.bx.psu.edu/repos/blankenberg/naive_variant_caller/naive_variant_caller/0.0.1,0.0.1,,2014-10-04 14:30:52.630785,49301,172829.29400700002
2014-10-03 06:00:24.522845,roundup_single,,main_w2_handler1,2074224,7922922,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",4297766512.0,bam,,,,,,,1903004,slurm,,corral-repl,,"""8e91cd104ac211e4a491005056a51846""",0.0,basic,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""uint16""","""hg19""","""20""","""""","""10""","""1""",0.0,"[{'__index__': 0, 'input_bam': 17130699}]",12931,cached,[],"""True""","""True""",,,,,,17373442.0,error,toolshed.g2.bx.psu.edu/repos/blankenberg/naive_variant_caller/naive_variant_caller/0.0.1,0.0.1,,2014-10-05 09:31:26.132486,42393,185461.60964100002
2014-10-05 13:13:07.531616,roundup_single,,main_w1_handler1,2075823,7931526,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",70527415964.0,bam,11824523524.0,bam,1232932303.0,bam,,,1910365,slurm,,corral-repl,,,0.0,basic,,,"""/galaxy-repl/localdata/chrom/?.len""",,"""?""","""20""","""10""","""0""","""2""",1.0,"[{'__index__': 0, 'input_bam': 17147054}, {'__index__': 1, 'input_bam': 17147053}, {'__index__': 2, 'input_bam': 17147052}]",17147047,history,[],"""True""","""True""",101796180.0,fasta,,,,17146067.0,error,toolshed.g2.bx.psu.edu/repos/blankenberg/naive_variant_caller/naive_variant_caller/0.0.1,0.0.1,,2014-10-07 13:13:29.447700,49301,172821.916084
2014-10-03 17:09:34.323527,roundup_single,,main_w2_handler0,2074618,7925792,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",70527415964.0,bam,11824523524.0,bam,1232932303.0,bam,,,1904863,slurm,,corral-repl,,,0.0,basic,,,"""/galaxy-repl/localdata/chrom/?.len""",,"""?""","""20""","""5""","""0""","""2""",1.0,"[{'__index__': 0, 'input_bam': 17134650}, {'__index__': 1, 'input_bam': 17134605}, {'__index__': 2, 'input_bam': 17133843}]",17133835,history,[],"""True""","""True""",323180038.0,fasta,,,,17146067.0,error,toolshed.g2.bx.psu.edu/repos/blankenberg/naive_variant_caller/naive_variant_caller/0.0.1,0.0.1,,2014-10-05 17:09:55.753074,49301,172821.429547
2015-01-30 19:42:43.951885,rodeo_normal,,main_w2_handler0,2189007,8640454,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",2467090556.0,bam,,,,,,,2599629.roundup,slurm,,corral-repl,,,0.0,basic,,,"""/galaxy-repl/localdata/chrom/Homo_sapiens_nuHg19_mtrCRS.len""",,"""Homo_sapiens_nuHg19_mtrCRS""","""20""","""""","""10""","""1""",0.0,"[{'__index__': 0, 'input_bam': 18346471}]",Homo_sapiens_nuHg19_mtrCRS,cached,[],"""False""","""True""",,,,,,20606300.0,error,toolshed.g2.bx.psu.edu/repos/blankenberg/naive_variant_caller/naive_variant_caller/0.0.1,0.0.1,,2015-02-01 07:43:06.996089,1224,129623.044204
2015-01-30 20:03:01.580646,slurm_normal_single_16gb,,main_w2_handler1,2189007,8640638,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",2467090556.0,bam,,,,,,,2599801.roundup,slurm,,corral-repl,,,0.0,basic,,,"""/galaxy-repl/localdata/chrom/Homo_sapiens_nuHg19_mtrCRS.len""",,"""Homo_sapiens_nuHg19_mtrCRS""","""20""","""""","""10""","""1""",0.0,"[{'__index__': 0, 'input_bam': 18346471}]",Homo_sapiens_nuHg19_mtrCRS,cached,[],"""True""","""True""",,,,,,20606300.0,error,toolshed.g2.bx.psu.edu/repos/blankenberg/naive_variant_caller/naive_variant_caller/0.0.1,0.0.1,,2015-01-31 20:03:36.750754,1224,86435.170108
2015-02-03 04:31:00.935459,slurm_normal_single_16gb,,main_w2_handler0,2187983,8654493,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",74221832.0,bam,,,,,,,2626494.roundup,slurm,,corral-repl,,,0.0,basic,,,"""/galaxy-repl/localdata/chrom/hg19.len""",,"""hg19""","""""","""""","""0""","""2""",0.0,"[{'__index__': 0, 'input_bam': 18392950}]",hg19,cached,[],"""False""","""False""",,,,,,20928799.0,error,toolshed.g2.bx.psu.edu/repos/blankenberg/naive_variant_caller/naive_variant_caller/0.0.1,0.0.1,,2015-02-04 04:31:49.057356,50962,86448.121897
