create_time,destination_id,exit_code,handler,history_id,id,imported,info,input1,input1_filetype,input2,input2_filetype,job_runner_external_id,job_runner_name,library_folder_id,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.chromInfo,parameters.dbkey,parameters.field1,parameters.field1.__class__,parameters.field1.value,parameters.field2,parameters.field2.__class__,parameters.field2.value,parameters.fill_empty_columns.__current_case__,parameters.fill_empty_columns.do_fill_empty_columns.__current_case__,parameters.fill_empty_columns.do_fill_empty_columns.column_fill_type,parameters.fill_empty_columns.do_fill_empty_columns.fill_value,parameters.fill_empty_columns.fill_columns_by,parameters.fill_empty_columns.fill_empty_columns_switch,parameters.input1,parameters.input1.values,parameters.input2,parameters.input2.values,parameters.partial,parameters.unmatched,runner_name,session_id,state,tool_id,tool_version,traceback,update_time,user_id,runtime
2015-09-14 10:12:30.671037,slurm_normal_16gb,,main_w1_handler0,2406508,10314269,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",792978,vcf,6385303701,tabular,4598816.roundup,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""3""",,,"""8""",,,0,,,,,no_fill,21102860,,21102855,,"""""","""""",,24652816.0,error,join1,2.0.2,,2015-09-15 10:13:18.895861,60726.0,86448.224824
2015-10-01 11:29:06.290331,slurm_normal_16gb,,main_w1_handler0,2443641,10479309,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",27,bed,2583883906,bed,4756324.roundup,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""3""",,,"""3""",,,0,,,,,no_fill,21357588,,21357484,,"""""","""""",,25251662.0,error,join1,2.0.2,,2015-10-02 11:29:49.398896,,86443.108565
2015-11-03 08:02:17.043249,slurm_normal_16gb,,main_w1_handler0,2487580,10803517,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",35306,bed,10856341146,tabular,5058979.roundup,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""","""5""",,,"""4""",,,0,,,,,no_fill,21853798,,21853694,,"""""","""-u""",,25354919.0,error,join1,2.0.2,,2015-11-04 08:02:40.307866,1284.0,86423.26461700001
2016-01-15 13:09:24.825837,slurm_normal_16gb,,main_w1_handler0,2269381,11512166,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",1015,tabular,4412051893,tabular,5780432.roundup,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""1""",,,"""4""",,,1,0.0,single_fill_value,X,fill_unjoined_only,fill_empty,22911613,,22911793,,"""-p""","""-u""",,27459078.0,error,join1,2.0.2,,2016-01-16 13:10:19.278858,61382.0,86454.45302100001
2016-01-20 23:44:34.027534,slurm_normal_16gb,,main_w1_handler1,2569063,11566540,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",10671566124,tabular,2493805882,tabular,5832383.roundup,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19Patch10.len""","""hg19Patch10""","""4""",,,"""1""",,,0,,,,,no_fill,22984822,,22947263,,"""""","""""",,27519316.0,error,join1,2.0.2,,2016-01-21 23:45:18.038542,9209.0,86444.011008
2016-01-21 00:28:50.246425,slurm_normal_16gb,,main_w1_handler1,2569063,11566735,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",10671566124,tabular,1186682794,tabular,5841432.roundup,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19Patch10.len""","""hg19Patch10""","""4""",,,"""1""",,,0,,,,,no_fill,22984822,,22985690,,"""""","""""",,27519316.0,error,join1,2.0.2,,2016-01-22 23:45:50.972375,9209.0,170220.72595000002
2016-01-18 22:24:15.570983,slurm_normal_16gb,,main_w2_handler0,2569063,11539394,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",25280026934,tabular,2493805882,tabular,5814387.roundup,slurm,,corral-repl,,"""330ea672be3211e5bb3b005056a52a46""","""/galaxy-repl/localdata/chrom/hg19Patch10.len""","""hg19Patch10""",,UnvalidatedValue,12,,UnvalidatedValue,1,0,,,,,no_fill,22947262,,22947263,,"""""","""""",,27393077.0,error,join1,2.0.2,,2016-01-20 15:57:11.645987,9209.0,149576.075004
2016-01-23 02:28:20.972222,slurm_normal_16gb,,main_w2_handler1,2569063,11584664,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",136296215,tabular,1186682794,tabular,5850278.roundup,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19Patch10.len""","""hg19Patch10""","""1""",,,"""1""",,,0,,,,,no_fill,23013699,,22985690,,"""""","""""",,27519316.0,error,join1,2.0.2,,2016-01-24 02:28:51.308076,9209.0,86430.335854
2016-01-27 01:23:41.965760,slurm_normal_16gb,,main_w1_handler0,2571797,11611636,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",36677637314,tabular,7356906750,tabular,5880627.roundup,slurm,,corral-repl,,"""917c38f6c49411e5a92a005056a51846""","""/galaxy-repl/localdata/chrom/hg19Patch10.len""","""hg19Patch10""",,UnvalidatedValue,12,,UnvalidatedValue,1,0,,,,,no_fill,23052874,,23052876,,"""""","""""",,27519316.0,error,join1,2.0.2,,2016-01-28 17:15:45.556424,9209.0,143523.59066400002
2016-03-01 02:51:24.389553,slurm_normal_16gb,,main_w1_handler1,2604905,11977224,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",20745464,tabular,5049564753,tabular,6207077.roundup,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/Homo_sapiens_nuHg19_mtrCRS.len""","""Homo_sapiens_nuHg19_mtrCRS""","""5""",,,"""4""",,,0,,,,,no_fill,23564844,,23564692,,"""-p""","""-u""",,28712576.0,error,join1,2.0.2,,2016-03-02 02:52:00.744500,78863.0,86436.354947
2016-05-06 22:43:06.346725,slurm_normal_16gb,,main_w2_handler0,2696336,12811371,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",195454,tabular,6024210061,bed,7013300.roundup,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""1""",,,"""4""",,,0,,,,,no_fill,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b543358f00b0d0d7c6'}]",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b569d5271e50c37dc1'}]","""""","""-u""",,30062856.0,error,join1,2.0.2,,2016-05-07 22:44:08.521407,15251.0,86462.17468200001
2016-03-04 09:38:53.619956,slurm_normal_16gb,,main_w2_handler1,2604905,12017926,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",42298820,vcf,5049564753,tabular,6247421.roundup,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/Homo_sapiens_nuHg19_mtrCRS.len""","""Homo_sapiens_nuHg19_mtrCRS""","""5""",,,"""4""",,,0,,,,,no_fill,23665831,,23564692,,"""-p""","""-u""",,28804341.0,error,join1,2.0.2,,2016-03-05 09:39:22.810867,78863.0,86429.19091100001
2016-05-08 18:16:37.041052,slurm_normal_16gb,,main_w1_handler0,2604905,12824098,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",15072702,vcf,26270226601,tabular,7024254.roundup,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/Homo_sapiens_nuHg19_mtrCRS.len""","""Homo_sapiens_nuHg19_mtrCRS""","""1""",,,"""3""",,,1,0.0,single_fill_value,.*,fill_unjoined_only,fill_empty,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5587b8420b33c0599'}]",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5bf92b8069732f08b'}]","""-p""","""-u""",,29954600.0,error,join1,2.0.2,,2016-05-09 18:17:53.050767,78863.0,86476.00971500001
2016-05-09 04:32:54.583015,slurm_normal_16gb,,main_w1_handler2,2696336,12827527,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",195454,tabular,6024210061,bed,7028509.roundup,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""1""",,,"""4""",,,0,,,,,no_fill,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b543358f00b0d0d7c6'}]",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b569d5271e50c37dc1'}]","""-p""","""-u""",,30064196.0,error,join1,2.0.2,,2016-05-10 04:33:26.628330,15251.0,86432.04531500001
2016-07-01 07:09:22.717804,slurm_normal_16gb,,main_w1_handler0,2665018,13303088,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",2624,tabular,27005720273,vcf,7504848.roundup,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""2""",,,"""2""",,,0,,,,,no_fill,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b54037596b2e3753a4'}]",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5fb9b14ee7b815d7a'}]","""""","""-u""",,31166421.0,error,join1,2.0.2,,2016-07-02 07:10:16.869365,1166.0,86454.151561
2016-07-02 09:19:48.668404,slurm_normal_16gb,,main_w1_handler0,2665018,13312133,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",2624,tabular,27005720273,vcf,7514455.roundup,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""2""",,,"""2""",,,0,,,,,no_fill,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b54037596b2e3753a4'}]",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5fb9b14ee7b815d7a'}]","""""","""-u""",,31166421.0,error,join1,2.0.2,,2016-07-03 09:20:24.965845,1166.0,86436.297441
2016-10-18 06:12:50.549450,slurm_normal_16gb,,main_w3_handler0,2764972,14104930,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",6744784485,pileup,12340043878,pileup,8319838.roundup,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""","""2""",,,"""2""",,,0,,,,,no_fill,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b55f0692261f4d0c8f'}]",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5454fb5ad3494052c'}]","""""","""-u""",,33566324.0,error,join1,2.0.2,,2016-10-19 06:13:51.495117,87308.0,86460.945667
2016-10-23 23:06:17.474510,slurm_normal_16gb,,main_w4_handler1,2864397,14153338,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",7627,tabular,940731057,tabular,8364830.roundup,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""2""",,,"""1""",,,0,,,,,no_fill,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5bca4acedede04d3f'}]",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b59db65f92397d43da'}]","""""","""""",,33851142.0,error,join1,2.0.2,,2016-10-24 23:07:18.238493,,86460.76398300001
2014-09-24 08:39:23.673745,roundup_single,,main_w2_handler0,1913223,7847782,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",560,tabular,3477446986,interval,1830904,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""1""",,,"""4""",,,0,,,,,no_fill,16985143,,15692830,,"""-p""","""-u""",,16130946.0,error,join1,2.0.2,,2014-09-26 08:39:47.572765,23526.0,172823.89902
