chromInfo,chromInfo_filetype,create_time,destination_id,exit_code,handler,history_id,id,imported,info,input1,input1_filetype,input2,input2_filetype,job_runner_external_id,job_runner_name,library_folder_id,object_store_id,param_filename,parameters.__job_resource.__current_case__,parameters.__job_resource.__job_resource__select,parameters.__job_resource.tacc_compute_resource,parameters.__workflow_invocation_uuid__,parameters.chromInfo,parameters.dbkey,parameters.input2,parameters.max_ident,parameters.min_cvrg,parameters.min_ident,parameters.out_format,parameters.params.E,parameters.params.K,parameters.params.L,parameters.params.O,parameters.params.X,parameters.params.Y,parameters.params.__current_case__,parameters.params.chain,parameters.params.entropy,parameters.params.gfextend,parameters.params.pre_set_options,parameters.params.seed,parameters.params.source_select,parameters.params.strand,parameters.params.transition,parameters.seq_name.__current_case__,parameters.seq_name.how_to_name,parameters.seq_name.ref_name,parameters.source.__current_case__,parameters.source.input1,parameters.source.input1_2bit,parameters.source.ref_source,parameters.unmask,runner_name,session_id,state,tool_id,tool_version,traceback,update_time,user_id,runtime
,,2014-09-01 19:24:26.060381,slurm_multi,,main_w2_handler2,2033615,7541356,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",73012.0,fasta,81945,fasta,1547371,slurm,,corral-repl,,,,,,"""/galaxy-repl/localdata/chrom/Araly1.len""","""Araly1""",16493501,"""100""","""94""","""94""","""tabular""",30,1000,1000,400,910,9370,1,nochain,noentropy,nogfextend,,12of19,full,both,notransition,1,no,,1,16493451.0,,history,"""yes""",,15909117,error,toolshed.g2.bx.psu.edu/repos/devteam/lastz/lastz_wrapper_2/1.2.2,1.2.2,,2014-09-04 19:07:52.028616,33225.0,258205.968235
,,2014-09-01 19:24:26.682984,slurm_multi,,main_w2_handler2,2033615,7541357,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",100050.0,fasta,81945,fasta,1548659,slurm,,corral-repl,,,,,,"""/galaxy-repl/localdata/chrom/Araly1.len""","""Araly1""",16493501,"""100""","""94""","""94""","""tabular""",30,1000,1000,400,910,9370,1,nochain,noentropy,nogfextend,,12of19,full,both,notransition,1,no,,1,16493462.0,,history,"""yes""",,15909117,error,toolshed.g2.bx.psu.edu/repos/devteam/lastz/lastz_wrapper_2/1.2.2,1.2.2,,2014-09-04 22:18:22.125587,33225.0,269635.44260300003
,,2014-09-05 07:01:23.302218,slurm_multi,,main_w2_handler2,1822420,7603180,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",408777264.0,fasta,185674000,fasta,1589605,slurm,,corral-repl,,,,,,"""/galaxy-repl/main/files/006/866/dataset_6866552.dat""","""fire_ants""",16507933,"""100""","""35""","""50""","""sam""",,,,,,,0,,,,yasra98,,pre_set,,,1,no,,1,14900985.0,,history,"""yes""",,16770917,error,toolshed.g2.bx.psu.edu/repos/devteam/lastz/lastz_wrapper_2/1.2.2,1.2.2,,2014-09-07 18:18:29.266090,39755.0,213425.96387200002
,,2014-09-16 19:13:51.336004,roundup_single_development,,main_w2_handler2,2009533,7803569,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",,,21625,fasta,1788650,slurm,,corral-repl,,1.0,yes,roundup_single_development,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",16903432,"""100""","""0""","""0""","""sam""",,,,,,,0,,,,yasra98,,pre_set,,,1,no,,0,,Araly1,cached,"""yes""",,15935855,error,toolshed.g2.bx.psu.edu/repos/devteam/lastz/lastz_wrapper_2/1.2.2,1.2.2,,2014-09-16 19:44:24.250520,28.0,1832.914516
,,2014-09-22 14:58:28.800459,roundup_multi,,main_w2_handler2,1948430,7827020,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",,,5140012144,fasta,1810997,slurm,,corral-repl,,1.0,yes,roundup_multi,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",16880762,"""100""","""0""","""0""","""sam""",30,3000,3000,400,910,9370,1,chain,entropy,gfextend,,12of19,full,both,transition,1,no,,0,,Araly1,cached,"""yes""",,16853185,error,toolshed.g2.bx.psu.edu/repos/devteam/lastz/lastz_wrapper_2/1.2.2,1.2.2,,2014-09-24 16:40:13.625806,43651.0,178904.825347
,,2014-09-22 23:35:42.550759,roundup_single_development,,main_w2_handler2,2060026,7833050,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",268.0,fasta,2802708359,fasta,1817136,slurm,,corral-repl,,1.0,yes,pulsar_stampede_development,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",16962807,"""100""","""0""","""60""","""sam""",30,3000,3000,400,910,9370,1,nochain,noentropy,nogfextend,,12of19,full,both,transition=2,1,no,,1,16982051.0,,history,"""yes""",,16453499,error,toolshed.g2.bx.psu.edu/repos/devteam/lastz/lastz_wrapper_2/1.2.2,1.2.2,,2014-09-23 00:09:23.884271,51853.0,2021.3335120000002
,,2014-09-23 01:56:40.161539,roundup_single_development,,main_w2_handler2,2060026,7833741,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",268.0,fasta,2802708359,fasta,1818116,slurm,,corral-repl,,1.0,yes,pulsar_stampede_development,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",16962807,"""100""","""0""","""60""","""sam""",30,3000,3000,400,910,9370,1,nochain,noentropy,nogfextend,,12of19,full,both,transition=2,1,no,,1,16982051.0,,history,"""yes""",,16453499,error,toolshed.g2.bx.psu.edu/repos/devteam/lastz/lastz_wrapper_2/1.2.2,1.2.2,,2014-09-23 02:27:22.804682,51853.0,1842.643143
,,2014-09-23 16:28:09.223312,roundup_multi,,main_w2_handler2,2063200,7842045,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",213963965.0,fasta,136209771,fasta,1825381,slurm,,corral-repl,,0.0,no,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",16993999,"""100""","""0""","""0""","""sam""",,,,,,,0,,,,yasra75,,pre_set,,,1,no,,1,16994141.0,,history,"""yes""",,17153276,error,toolshed.g2.bx.psu.edu/repos/devteam/lastz/lastz_wrapper_2/1.2.2,1.2.2,,2014-09-25 21:00:23.258022,40505.0,189134.03471
,,2014-10-29 14:58:44.248356,roundup_multi,,main_w2_handler2,2100435,8063245,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",,,10612118,fasta,1940893,slurm,,corral-repl,,0.0,no,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",17367529,"""100""","""30""","""0""","""sam""",,,,,,,0,,,,yasra98,,pre_set,,,1,no,,0,,Araly1,cached,"""yes""",,18012300,error,toolshed.g2.bx.psu.edu/repos/devteam/lastz/lastz_wrapper_2/1.2.2,1.2.2,,2014-10-31 02:59:12.012473,55110.0,129627.76411700001
,,2014-10-30 10:49:17.277439,roundup_multi,,main_w2_handler2,1948430,8070954,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",,,13204140673,fasta,1941324,slurm,,corral-repl,,0.0,no,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",17377783,"""100""","""0""","""10""","""sam""",30,3000,3000,400,910,9370,1,chain,noentropy,gfextend,,12of19,full,both,transition,1,no,,0,,Araly1,cached,"""yes""",,16853185,error,toolshed.g2.bx.psu.edu/repos/devteam/lastz/lastz_wrapper_2/1.2.2,1.2.2,,2014-10-31 23:12:43.130832,43651.0,131005.85339300001
,,2014-10-31 11:54:52.918268,roundup_multi,,main_w2_handler2,2103129,8077605,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",,,3920010197,fasta,1941807,slurm,,corral-repl,,0.0,no,,,"""/galaxy-repl/localdata/chrom/Homo_sapiens_nuHg19_mtrCRS.len""","""Homo_sapiens_nuHg19_mtrCRS""",17388345,"""100""","""0""","""0""","""sam""",,,,,,,0,,,,yasra95short,,pre_set,,,1,no,,0,,Homo_sapiens_nuHg19_mtrCRS,cached,"""yes""",,18049205,error,toolshed.g2.bx.psu.edu/repos/devteam/lastz/lastz_wrapper_2/1.2.2,1.2.2,,2014-11-01 23:56:41.172937,55223.0,129708.254669
,,2015-01-12 17:34:22.956262,roundup_multi,,main_w2_handler2,2169664,8533745,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",160489340.0,fasta,175578,fasta,2458158,slurm,,corral-repl,,,,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",18187854,"""100""","""90""","""0""","""tabular""",,,,,,,0,,,,yasra98,,pre_set,,,1,no,,1,18174093.0,,history,"""yes""",,20400111,error,toolshed.g2.bx.psu.edu/repos/devteam/lastz/lastz_wrapper_2/1.2.2,1.2.2,,2015-01-14 05:35:04.511258,20643.0,129641.554996
,,2014-10-03 15:56:26.130577,roundup_multi,,main_w2_handler2,2067270,7925032,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",,,2398211534,fasta,1905460,slurm,,corral-repl,,0.0,no,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",17129834,"""100""","""0""","""0""","""sam""",,,,,,,0,,,,yasra95short,,pre_set,,,1,no,,0,,galGal2,cached,"""yes""",,17085621,error,toolshed.g2.bx.psu.edu/repos/devteam/lastz/lastz_wrapper_2/1.2.2,1.2.2,,2014-10-05 21:12:56.450698,36706.0,191790.32012100003
,,2014-10-05 17:29:51.318525,roundup_multi,,main_w2_handler2,2066330,7931978,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",,,2876302197,fasta,1918685,slurm,,corral-repl,,0.0,no,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",17135331,"""100""","""0""","""0""","""sam""",,,,,,,0,,,,yasra95short,,pre_set,,,1,no,,0,,mm10,cached,"""yes""",,17410506,error,toolshed.g2.bx.psu.edu/repos/devteam/lastz/lastz_wrapper_2/1.2.2,1.2.2,,2014-10-09 11:09:02.227236,53548.0,322750.908711
,,2014-10-05 17:30:20.012579,roundup_multi,,main_w2_handler2,2066330,7931979,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",,,2913468091,fasta,1922915,slurm,,corral-repl,,0.0,no,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",17134985,"""100""","""0""","""0""","""sam""",,,,,,,0,,,,yasra95short,,pre_set,,,1,no,,0,,mm10,cached,"""yes""",,17410506,error,toolshed.g2.bx.psu.edu/repos/devteam/lastz/lastz_wrapper_2/1.2.2,1.2.2,,2014-10-10 03:21:54.158605,53548.0,381094.14602600003
,,2015-01-14 18:50:14.224682,roundup_multi,,main_w2_handler2,2169664,8546959,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",43278528.0,fasta,175578,fasta,2473694,slurm,,corral-repl,,,,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",18187854,"""100""","""90""","""0""","""sam""",,,,,,,0,,,,yasra98,,pre_set,,,1,no,,1,18210181.0,,history,"""yes""",,20400111,error,toolshed.g2.bx.psu.edu/repos/devteam/lastz/lastz_wrapper_2/1.2.2,1.2.2,,2015-01-16 06:52:34.548358,20643.0,129740.32367600001
,,2014-11-12 10:26:35.427116,roundup_multi,,main_w2_handler2,2108577,8149124,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",606660514.0,fasta,385765214,fasta,1990394,slurm,,corral-repl,,0.0,no,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",17509669,"""100""","""0""","""0""","""sam""",,,,,,,0,,,,yasra98,,pre_set,,,1,no,,1,17509664.0,,history,"""yes""",,18488020,error,toolshed.g2.bx.psu.edu/repos/devteam/lastz/lastz_wrapper_2/1.2.2,1.2.2,,2014-11-13 22:27:10.669529,55222.0,129635.24241300001
,,2015-01-24 05:04:25.977078,roundup_multi,,main_w2_handler2,2183319,8597647,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",,,60242177,fasta,2556019,slurm,,corral-repl,,,,,,"""/galaxy-repl/localdata/chrom/Homo_sapiens_nuHg19_mtrCRS.len""","""Homo_sapiens_nuHg19_mtrCRS""",18284541,"""100""","""0""","""0""","""sam""",,,,,,,0,,,,yasra98,,pre_set,,,1,no,,0,,/galaxy/data/hg19/seq/hg19.2bit,cached,"""yes""",,18474991,error,toolshed.g2.bx.psu.edu/repos/devteam/lastz/lastz_wrapper_2/1.2.2,1.2.2,,2015-01-26 09:24:04.646363,51544.0,188378.669285
,,2014-10-27 17:58:48.033833,roundup_multi,,main_w2_handler2,2099179,8050294,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",79624462.0,fasta,91039438,fasta,1939809,slurm,,corral-repl,,0.0,no,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",17349077,"""100""","""0""","""0""","""sam""",,,,,,,0,,,,yasra75,,pre_set,,,1,no,,1,17348839.0,,history,"""yes""",,17954719,error,toolshed.g2.bx.psu.edu/repos/devteam/lastz/lastz_wrapper_2/1.2.2,1.2.2,,2014-10-29 06:00:40.463881,47224.0,129712.43004800001
,,2014-12-01 22:27:31.827602,roundup_multi,,main_w2_handler2,2134565,8286708,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",,,26711684,fasta,2157426,slurm,,corral-repl,,0.0,no,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",17737219,"""100""","""0""","""0""","""sam""",,,,,,,0,,,,yasra98,,pre_set,,,1,no,,0,,Araly1,cached,"""yes""",,19846390,error,toolshed.g2.bx.psu.edu/repos/devteam/lastz/lastz_wrapper_2/1.2.2,1.2.2,,2014-12-03 10:28:07.568145,24201.0,129635.740543
,,2015-01-31 04:32:41.271809,roundup_multi,,main_w2_handler2,2097166,8642453,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",19893013119.0,fasta,109311,fasta,2603575,slurm,,corral-repl,,,,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",17340220,"""100""","""0""","""0""","""sam""",,,,,,,0,,,,yasra98,,pre_set,,,1,no,,1,17347220.0,,history,"""yes""",,20762755,error,toolshed.g2.bx.psu.edu/repos/devteam/lastz/lastz_wrapper_2/1.2.2,1.2.2,,2015-02-01 16:33:37.073214,53265.0,129655.801405
,,2015-02-02 22:10:45.604448,roundup_multi,,main_w2_handler2,1556028,8653239,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",2715187784.0,fasta,2815544465,fasta,2624198,slurm,,corral-repl,,,,,,"""/galaxy-repl/localdata/chrom/bosTauMd3.len""","""bosTauMd3""",17910319,"""100""","""0""","""0""","""sam""",,,,,,,0,,,,yasra95short,,pre_set,,,1,no,,1,16612576.0,,history,"""yes""",,20013938,error,toolshed.g2.bx.psu.edu/repos/devteam/lastz/lastz_wrapper_2/1.2.2,1.2.2,,2015-02-04 10:11:16.110285,16987.0,129630.505837
,,2014-12-12 04:02:02.414781,roundup_multi,,main_w2_handler2,2146551,8403410,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",,,18658308,fasta,2301402,slurm,,corral-repl,,0.0,no,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",17918108,"""100""","""0""","""0""","""sam""",,,,,,,0,,,,yasra98,,pre_set,,,1,no,,0,,/galaxy/data/hg19/seq/hg19.2bit,cached,"""yes""",,20021132,error,toolshed.g2.bx.psu.edu/repos/devteam/lastz/lastz_wrapper_2/1.2.2,1.2.2,,2014-12-13 16:02:34.193799,57378.0,129631.779018
,,2014-12-11 23:21:03.441260,roundup_multi,,main_w2_handler2,2111124,8402148,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",,,683358696,fasta,2300166,slurm,,corral-repl,,0.0,no,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",17915218,"""100""","""0""","""0""","""sam""",,,,,,,0,,,,yasra98,,pre_set,,,1,no,,0,,/galaxy/data/hg19/seq/hg19.2bit,cached,"""yes""",,20018001,error,toolshed.g2.bx.psu.edu/repos/devteam/lastz/lastz_wrapper_2/1.2.2,1.2.2,,2014-12-13 11:21:33.948791,55253.0,129630.50753100001
,,2014-12-12 02:56:21.719305,roundup_multi,,main_w2_handler2,2141982,8403118,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",,,2223257,fasta,2304072,slurm,,corral-repl,,0.0,no,,,"""/galaxy-repl/localdata/chrom/mayZeb1.len""","""mayZeb1""",17917327,"""100""","""0""","""0""","""sam""",,,,,,,0,,,,yasra85,,pre_set,,,1,no,,0,,/galaxy/data/hg19/seq/hg19.2bit,cached,"""yes""",,19959542,error,toolshed.g2.bx.psu.edu/repos/devteam/lastz/lastz_wrapper_2/1.2.2,1.2.2,,2014-12-14 02:08:06.148399,57131.0,169904.42909400002
,,2014-12-15 11:37:58.586233,roundup_multi,,main_w2_handler2,2131800,8416628,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",,,103087147,fasta,2316203,slurm,,corral-repl,,0.0,no,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",17936835,"""100""","""0""","""0""","""sam""",,,,,,,0,,,,yasra95short,,pre_set,,,1,no,,0,,Tcas_3.0,cached,"""yes""",,19807333,error,toolshed.g2.bx.psu.edu/repos/devteam/lastz/lastz_wrapper_2/1.2.2,1.2.2,,2014-12-16 23:39:10.246342,56599.0,129671.660109
1364925.0,len,2015-02-07 22:00:02.617460,roundup_multi,,main_w2_handler2,2175665,8681621,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",1729710385.0,fasta,1074,fasta,2677098,slurm,,corral-repl,,,,,,"""/galaxy-repl/main/files/010/297/dataset_10297162.dat""","""?""",18442642,"""100""","""0""","""0""","""tabular""",,,,,,,0,,,,yasra98,,pre_set,,,1,no,,1,18347984.0,,history,"""yes""",,20414432,error,toolshed.g2.bx.psu.edu/repos/devteam/lastz/lastz_wrapper_2/1.2.2,1.2.2,,2015-02-09 10:00:31.605872,55656.0,129628.988412
,,2015-02-07 08:01:29.808705,roundup_multi,,main_w2_handler2,2196246,8680216,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",,,508,fasta,2674163,slurm,,corral-repl,,,,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",18433373,"""100""","""100""","""100""","""sam""",,,,,,,0,,,,yasra98,,pre_set,,,1,no,,0,,/galaxy/data/hg19/seq/hg19.2bit,cached,"""yes""",,21032185,error,toolshed.g2.bx.psu.edu/repos/devteam/lastz/lastz_wrapper_2/1.2.2,1.2.2,,2015-02-08 20:02:00.827387,,129631.01868200001
,,2015-02-13 10:55:57.502650,roundup_multi,,main_w2_handler2,2204624,8719264,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",293189424.0,fasta,293189424,fasta,2747476,slurm,,corral-repl,,,,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",18494145,"""100""","""0""","""0""","""sam""",30,3000,3000,400,910,9370,1,nochain,noentropy,nogfextend,,12of19,full,both,transition=2,1,no,,1,18494145.0,,history,"""yes""",,21131074,error,toolshed.g2.bx.psu.edu/repos/devteam/lastz/lastz_wrapper_2/1.2.2,1.2.2,,2015-02-14 22:56:29.772644,59389.0,129632.269994
,,2015-02-10 08:14:06.633813,roundup_multi,,main_w2_handler2,2189546,8691719,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",3882802.0,fasta,10407294759,fasta,2696906,slurm,,corral-repl,,,,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",18457909,"""100""","""0""","""80""","""sam""",,,,,,,0,,,,yasra95short,,pre_set,,,1,no,,1,18457890.0,,history,"""yes""",,20770418,error,toolshed.g2.bx.psu.edu/repos/devteam/lastz/lastz_wrapper_2/1.2.2,1.2.2,,2015-02-12 00:08:39.509979,55460.0,143672.876166
,,2015-02-20 08:37:53.818699,roundup_multi,,main_w2_handler2,2200167,8774009,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",3080264.0,fasta,33174208,fasta,2845631,slurm,,corral-repl,,,,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",18537034,"""100""","""0""","""0""","""sam""",,,,,,,0,,,,yasra98,,pre_set,,,1,no,,1,18536156.0,,history,"""yes""",,21293508,error,toolshed.g2.bx.psu.edu/repos/devteam/lastz/lastz_wrapper_2/1.2.2,1.2.2,,2015-02-21 20:38:29.802194,59755.0,129635.98349500001
,,2015-02-24 15:29:21.732567,roundup_multi,,main_w2_handler2,2216373,8803526,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",676.0,fasta,1220336,fasta,2898381,slurm,,corral-repl,,0.0,no,,"""e466593ebc3911e4965f005056a51846""","""/galaxy-repl/localdata/chrom/?.len""","""?""",18628463,"""100""","""0""","""0""","""sam""",,,,,,,0,,,,yasra85,,pre_set,,,1,no,,1,18628448.0,,history,"""yes""",,20210245,error,toolshed.g2.bx.psu.edu/repos/devteam/lastz/lastz_wrapper_2/1.2.2,1.2.2,,2015-02-26 04:23:16.408637,41292.0,132834.67607000002
,,2015-02-24 15:29:20.474374,roundup_multi,,main_w2_handler2,2216373,8803525,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",676.0,fasta,5171627,fasta,2898376,slurm,,corral-repl,,0.0,no,,"""e466593ebc3911e4965f005056a51846""","""/galaxy-repl/localdata/chrom/?.len""","""?""",18628461,"""100""","""0""","""0""","""sam""",,,,,,,0,,,,yasra85,,pre_set,,,1,no,,1,18628448.0,,history,"""yes""",,20210245,error,toolshed.g2.bx.psu.edu/repos/devteam/lastz/lastz_wrapper_2/1.2.2,1.2.2,,2015-02-26 04:18:45.760476,41292.0,132565.286102
,,2015-02-28 04:29:41.810889,roundup_multi,,main_w2_handler2,2222079,8832399,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",37411.0,fasta,143180,fasta,2952386,slurm,,corral-repl,,,,,"""5949740abf0211e48094005056a51846""","""/galaxy-repl/localdata/chrom/ce10.len""","""ce10""",18676497,"""100""","""94""","""94""","""tabular""",30,1000,1000,400,910,9370,1,nochain,noentropy,nogfextend,,12of19,full,both,notransition,1,no,,1,18676460.0,,history,"""yes""",,21511546,error,toolshed.g2.bx.psu.edu/repos/devteam/lastz/lastz_wrapper_2/1.2.2,1.2.2,,2015-03-01 16:48:18.824156,33225.0,130717.013267
,,2015-02-28 04:29:37.989780,roundup_multi,,main_w2_handler2,2222079,8832397,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",37411.0,fasta,143180,fasta,2952348,slurm,,corral-repl,,,,,"""5949740abf0211e48094005056a51846""","""/galaxy-repl/localdata/chrom/ce10.len""","""ce10""",18676497,"""100""","""94""","""94""","""tabular""",30,1000,1000,400,910,9370,1,nochain,noentropy,nogfextend,,12of19,full,both,notransition,1,no,,1,18676460.0,,history,"""yes""",,21511546,error,toolshed.g2.bx.psu.edu/repos/devteam/lastz/lastz_wrapper_2/1.2.2,1.2.2,,2015-03-01 16:33:50.199450,33225.0,129852.20967000001
,,2015-02-28 05:40:20.216924,roundup_multi,,main_w2_handler2,2222039,8832504,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",37411.0,fasta,256302,fasta,2972293,slurm,,corral-repl,,,,,"""3d803f74bf0c11e49a90005056a51846""","""/galaxy-repl/localdata/chrom/ce10.len""","""ce10""",18676633,"""100""","""94""","""94""","""tabular""",30,1000,1000,400,910,9370,1,nochain,noentropy,nogfextend,,12of19,full,both,notransition,1,no,,1,18676596.0,,history,"""yes""",,21511546,error,toolshed.g2.bx.psu.edu/repos/devteam/lastz/lastz_wrapper_2/1.2.2,1.2.2,,2015-03-04 06:43:33.732416,33225.0,349393.51549200004
,,2015-02-28 05:40:21.693424,roundup_multi,,main_w2_handler2,2222039,8832506,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",37411.0,fasta,256302,fasta,2972538,slurm,,corral-repl,,,,,"""3d803f74bf0c11e49a90005056a51846""","""/galaxy-repl/localdata/chrom/ce10.len""","""ce10""",18676633,"""100""","""94""","""94""","""tabular""",30,1000,1000,400,910,9370,1,nochain,noentropy,nogfextend,,12of19,full,both,notransition,1,no,,1,18676596.0,,history,"""yes""",,21511546,error,toolshed.g2.bx.psu.edu/repos/devteam/lastz/lastz_wrapper_2/1.2.2,1.2.2,,2015-03-04 07:23:29.246274,33225.0,351787.55285000004
,,2015-03-04 00:25:51.946061,roundup_multi,,main_w2_handler2,2226213,8857091,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",,,110255485,fasta,3001301,slurm,,corral-repl,,,,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",18718460,"""100""","""0""","""0""","""diffs""",,,,,,,0,,,,yasra95short,,pre_set,,,1,no,,0,,/galaxy/data/hg19/seq/hg19.2bit,cached,"""yes""",,21570275,error,toolshed.g2.bx.psu.edu/repos/devteam/lastz/lastz_wrapper_2/1.2.2,1.2.2,,2015-03-05 16:53:03.598582,,145631.652521
,,2015-02-28 05:40:22.906714,roundup_multi,,main_w2_handler2,2222039,8832508,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",37411.0,fasta,256302,fasta,3005046,slurm,,corral-repl,,,,,"""3d803f74bf0c11e49a90005056a51846""","""/galaxy-repl/localdata/chrom/ce10.len""","""ce10""",18676633,"""100""","""94""","""94""","""tabular""",30,1000,1000,400,910,9370,1,nochain,noentropy,nogfextend,,12of19,full,both,notransition,1,no,,1,18676596.0,,history,"""yes""",,21511546,error,toolshed.g2.bx.psu.edu/repos/devteam/lastz/lastz_wrapper_2/1.2.2,1.2.2,,2015-03-05 20:41:32.192994,33225.0,486069.28628000006
,,2015-02-28 05:40:22.308806,roundup_multi,,main_w2_handler2,2222039,8832507,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",37411.0,fasta,256302,fasta,3004716,slurm,,corral-repl,,,,,"""3d803f74bf0c11e49a90005056a51846""","""/galaxy-repl/localdata/chrom/ce10.len""","""ce10""",18676633,"""100""","""94""","""94""","""tabular""",30,1000,1000,400,910,9370,1,nochain,noentropy,nogfextend,,12of19,full,both,notransition,1,no,,1,18676596.0,,history,"""yes""",,21511546,error,toolshed.g2.bx.psu.edu/repos/devteam/lastz/lastz_wrapper_2/1.2.2,1.2.2,,2015-03-05 19:58:03.398412,33225.0,483461.08960600005
