create_time,destination_id,exit_code,file_list,file_list_filetype,handler,history_id,id,imported,info,job_runner_external_id,job_runner_name,library_folder_id,object_store_id,param_filename,parameters.adv.alignments,parameters.adv.clip,parameters.adv.matepairDist,parameters.adv.maxID,parameters.adv.minID,parameters.adv.minlen,parameters.adv.readfilter,parameters.adv.region,parameters.adv.skip_technical,parameters.adv.split,parameters.adv.spotgroups,parameters.chromInfo,parameters.dbkey,parameters.input.__current_case__,parameters.input.file_list.values,parameters.input.input_select,parameters.outputformat,runner_name,session_id,state,tool_id,tool_version,traceback,update_time,user_id,runtime
2017-02-16 14:50:03.626952,slurm_normal,,968494062,fastq.bz2,main_w3_handler0,2992193,15058580,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",9214139.roundup,slurm,,corral-repl,,both,false,,,,,,,false,true,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",2,"[{'src': 'hda', 'id': 28323621}]",file_list,"""fastqsanger""",,36087415,error,toolshed.g2.bx.psu.edu/repos/iuc/sra_tools/fastq_dump/2.8.0,2.8.0,,2017-02-18 02:50:28.040086,62534,129624.413134
2017-02-16 14:50:01.612331,slurm_normal,,1081513530,fastq.bz2,main_w3_handler0,2992193,15058577,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",9214138.roundup,slurm,,corral-repl,,both,false,,,,,,,false,true,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",2,"[{'src': 'hda', 'id': 28323605}]",file_list,"""fastqsanger""",,36087415,error,toolshed.g2.bx.psu.edu/repos/iuc/sra_tools/fastq_dump/2.8.0,2.8.0,,2017-02-18 02:50:28.357042,62534,129626.744711
2017-02-16 14:50:04.441545,slurm_normal,,1334446303,fastq.bz2,main_w4_handler0,2992193,15058582,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",9214143.roundup,slurm,,corral-repl,,both,false,,,,,,,false,true,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",2,"[{'src': 'hda', 'id': 28323646}]",file_list,"""fastqsanger""",,36087415,error,toolshed.g2.bx.psu.edu/repos/iuc/sra_tools/fastq_dump/2.8.0,2.8.0,,2017-02-18 02:50:27.580026,62534,129623.138481
2017-02-16 14:50:03.236175,slurm_normal,,973007628,fastq.bz2,main_w4_handler1,2992193,15058579,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",9214141.roundup,slurm,,corral-repl,,both,false,,,,,,,false,true,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",2,"[{'src': 'hda', 'id': 28323616}]",file_list,"""fastqsanger""",,36087415,error,toolshed.g2.bx.psu.edu/repos/iuc/sra_tools/fastq_dump/2.8.0,2.8.0,,2017-02-18 02:50:26.706222,62534,129623.47004700001
2017-03-28 18:36:18.530883,slurm_normal,,21555583083,fastq.gz,main_w4_handler0,3049673,15417158,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",9582995.roundup,slurm,,corral-repl,,both,false,,,,,,,false,true,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",2,"[{'src': 'hda', 'id': 28957815}]",file_list,"""fastqsanger""",,36936501,error,toolshed.g2.bx.psu.edu/repos/iuc/sra_tools/fastq_dump/2.8.0,2.8.0,,2017-04-02 14:08:57.858823,103080,415959.32794000005
2017-02-17 05:57:46.370682,slurm_normal,,18174769394,fastqsanger,main_w3_handler0,2992101,15064121,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",9219576.roundup,slurm,,corral-repl,,both,false,,,,,,,false,true,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",2,"[{'src': 'hda', 'id': 28314214}]",file_list,"""fastqsanger""",,36103621,error,toolshed.g2.bx.psu.edu/repos/iuc/sra_tools/fastq_dump/2.8.0,2.8.0,,2017-02-18 17:58:00.238416,99921,129613.86773400001
2017-04-03 12:20:19.852412,slurm_normal,,64406753631,fastqsanger,main_w4_handler0,3020170,15470680,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",9600251.roundup,slurm,,corral-repl,,both,false,,,,,,,false,true,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",2,"[{'src': 'hda', 'id': 28992017}]",file_list,"""fastqsanger""",,37069335,error,toolshed.g2.bx.psu.edu/repos/iuc/sra_tools/fastq_dump/2.8.0,2.8.0,,2017-04-05 00:20:49.016295,101440,129629.163883
2017-02-20 15:45:10.415466,slurm_normal,,118655325,fastq.gz,main_w3_handler1,2993597,15087369,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",9242484.roundup,slurm,,corral-repl,,both,false,,,,,,,false,true,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",2,"[{'src': 'hda', 'id': 28346559}]",file_list,"""fastqsanger""",,36032157,error,toolshed.g2.bx.psu.edu/repos/iuc/sra_tools/fastq_dump/2.8.0,2.8.0,,2017-02-22 03:48:25.296917,90584,129794.88145100001
2017-02-20 15:45:09.885148,slurm_normal,,119798702,fastq.gz,main_w4_handler0,2993597,15087368,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",9242483.roundup,slurm,,corral-repl,,both,false,,,,,,,false,true,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",2,"[{'src': 'hda', 'id': 28346547}]",file_list,"""fastqsanger""",,36032157,error,toolshed.g2.bx.psu.edu/repos/iuc/sra_tools/fastq_dump/2.8.0,2.8.0,,2017-02-22 03:48:25.774603,90584,129795.88945500001
2017-02-20 19:54:32.290503,slurm_normal,,639656057,fastqillumina,main_w3_handler0,3000123,15089335,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",9244367.roundup,slurm,,corral-repl,,both,false,,,,,,,false,true,,"""/galaxy-repl/localdata/chrom/apiMel4.len""","""apiMel4""",2,"[{'src': 'hda', 'id': 28403980}]",file_list,"""fastqsanger""",,36178124,error,toolshed.g2.bx.psu.edu/repos/iuc/sra_tools/fastq_dump/2.8.0,2.8.0,,2017-02-22 07:54:55.635761,100389,129623.345258
