create_time,destination_id,exit_code,handler,history_id,id,imported,info,input,input_filetype,job_runner_external_id,job_runner_name,library_folder_id,object_store_id,param_filename,parameters.chromInfo,parameters.columns,parameters.dbkey,parameters.input,parameters.input.values,parameters.module,parameters.settings,runner_name,session_id,state,tool_id,tool_version,traceback,update_time,user_id,runtime
2016-06-08 19:01:25.440410,slurm_normal,,main_w2_handler1,2731035,13111563,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",610871375,bed,7296974.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/hg38.len""","""x_1:4, y_1:5, z_1:2""","""hg38""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b585631c021b1aee4f'}]","""heatmap""","""x_axis_label:X-axis, x_axis_type:auto, x_axis_precision:1, y_axis_label:Y-axis, y_axis_type:auto, y_axis_precision:1, show_legend:true, use_panels:true, color_set:jet, url_template:""",,30706310,error,toolshed.g2.bx.psu.edu/repos/guerler/charts/charts/1.0.0,1.0.0,,2016-06-10 07:01:58.086196,85648,129632.64578600001
2016-08-31 16:04:11.040824,slurm_normal,,main_w3_handler1,2800389,13756307,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",39548959,tabular,7977091.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/ce10.len""","""x_1:1""","""ce10""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b59e0fd0782a2e71c3'}]","""histogramdiscrete""","""x_axis_label:Breaks, x_axis_type:auto, x_axis_precision:1, y_axis_label:Density, y_axis_type:auto, y_axis_precision:1, show_legend:true, use_panels:false, x_axis_grid:false, y_axis_grid:true""",,31589264,error,toolshed.g2.bx.psu.edu/repos/guerler/charts/charts/1.0.0,1.0.0,,2016-09-02 04:05:35.800631,87418,129684.75980700001
2016-09-02 16:04:20.412639,slurm_normal,,main_w4_handler1,2800389,13770912,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",39548959,tabular,7992072.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/ce10.len""","""x_1:1""","""ce10""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b59e0fd0782a2e71c3'}]","""histogramdiscrete""","""x_axis_label:Breaks, x_axis_type:auto, x_axis_precision:1, y_axis_label:Density, y_axis_type:auto, y_axis_precision:1, show_legend:true, use_panels:false, x_axis_grid:false, y_axis_grid:true""",,31589264,error,toolshed.g2.bx.psu.edu/repos/guerler/charts/charts/1.0.0,1.0.0,,2016-09-04 04:04:46.280307,87418,129625.867668
2016-09-06 20:39:45.070571,slurm_normal,,main_w3_handler0,2684436,13792342,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",955481895,tabular,8012846.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""x_1:1""","""?""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b51501675473ed0688'}]","""histogramdiscrete""","""x_axis_label:Breaks, x_axis_type:auto, x_axis_precision:1, y_axis_label:Density, y_axis_type:auto, y_axis_precision:1, show_legend:true, use_panels:false, x_axis_grid:false, y_axis_grid:true""",,32801615,error,toolshed.g2.bx.psu.edu/repos/guerler/charts/charts/1.0.0,1.0.0,,2016-09-08 08:40:11.294597,67961,129626.22402600001
2016-11-16 06:10:47.470448,slurm_normal,,main_w4_handler0,2809105,14351087,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",3022585,tabular,8557048.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/dm6.len""","""x_1:1, y_1:8, z_1:8, x_2:1, y_2:1, z_2:8""","""dm6""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5cbfce2bb797735b3'}]","""heatmap""","""x_axis_label:X-axis, x_axis_type:auto, x_axis_precision:1, y_axis_label:Y-axis, y_axis_type:auto, y_axis_precision:1, show_legend:true, use_panels:true, color_set:jet, url_template:""",,34235537,error,toolshed.g2.bx.psu.edu/repos/guerler/charts/charts/1.0.0,1.0.0,,2016-11-17 18:11:19.611774,87436,129632.14132600001
2016-12-25 09:45:33.912086,slurm_normal,,main_w3_handler0,2746478,14644903,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",676859450,vcf,8819496.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""x_1:1, y_1:2, z_1:2""","""?""",,"[{'src': 'hda', 'id': 27738957}]","""heatmap""","""x_axis_label:X-axis, x_axis_type|type:auto, y_axis_label:Y-axis, y_axis_type|type:auto, show_legend:true, __use_panels:true, color_set:jet, url_template:""",,34109086,error,toolshed.g2.bx.psu.edu/repos/guerler/charts/charts/1.0.0,1.0.0,,2016-12-26 21:45:57.471854,75552,129623.559768
2017-01-24 00:36:33.441060,slurm_normal,,main_w3_handler0,2820200,14852685,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",717544566,vcf,9012837.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/hg38.len""","""x_1:1, y_1:2, z_1:2""","""hg38""",,"[{'src': 'hda', 'id': 28055981}]","""heatmap""","""x_axis_label:X-axis, x_axis_type|type:auto, y_axis_label:Y-axis, y_axis_type|type:auto, show_legend:true, __use_panels:true, color_set:jet, url_template:""",,35547742,error,toolshed.g2.bx.psu.edu/repos/guerler/charts/charts/1.0.0,1.0.0,,2017-01-25 12:36:54.807610,45862,129621.36655
2017-02-10 11:48:44.781582,slurm_normal,,main_w4_handler0,2210340,15003832,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",113938610,tabular,9159608.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/hg_g1k_v37.len""","""x_1:1, y_1:1, z_1:1""","""hg_g1k_v37""",,"[{'src': 'hda', 'id': 28295130}]","""heatmap""","""x_axis_label:X-axis, x_axis_type|type:auto, y_axis_label:Y-axis, y_axis_type|type:auto, show_legend:true, __use_panels:true, color_set:jet, url_template:""",,35581423,error,toolshed.g2.bx.psu.edu/repos/guerler/charts/charts/1.0.0,1.0.0,,2017-02-11 23:49:04.473762,59804,129619.69218000001
2017-02-24 10:19:34.005770,slurm_normal,,main_w4_handler0,2993377,15127888,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",1059524,tabular,9281681.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""x_1:1, y_1:1, z_1:2, x_2:1, y_2:1, z_2:3, x_3:1, y_3:1, z_3:4, x_4:1, y_4:1, z_4:5, x_5:1, y_5:1, z_5:6""","""?""",,"[{'src': 'hda', 'id': 28490948}]","""heatmap""","""x_axis_label:X-axis, x_axis_type|type:auto, y_axis_label:Y-axis, y_axis_type|type:auto, show_legend:true, __use_panels:true, color_set:jet, url_template:""",,36171661,error,toolshed.g2.bx.psu.edu/repos/guerler/charts/charts/1.0.0,1.0.0,,2017-02-25 22:19:57.834975,99994,129623.829205
2017-05-11 10:41:21.074074,slurm_normal,,main_w4_handler1,3071623,15816392,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",926319912,vcf,9917882.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/eschColi_CFT073.len""","""x_1:1, y_1:2, z_1:2""","""eschColi_CFT073""",,"[{'src': 'hda', 'id': 29566493}]","""heatmap""","""x_axis_label:X-axis, x_axis_type|type:auto, y_axis_label:Y-axis, y_axis_type|type:auto, show_legend:true, __use_panels:true, color_set:jet, url_template:""",,37901845,error,toolshed.g2.bx.psu.edu/repos/guerler/charts/charts/1.0.0,1.0.0,,2017-05-14 02:45:48.145240,92458,230667.071166
2017-05-10 23:48:54.310079,slurm_normal,,main_w4_handler0,3103986,15806714,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",4749519,tabular,9911215.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""x_1:1, y_1:2, z_1:2""","""?""",,"[{'src': 'hda', 'id': 29554810}]","""heatmap""","""x_axis_label:X-axis, x_axis_type|type:auto, y_axis_label:Y-axis, y_axis_type|type:auto, show_legend:true, __use_panels:true, color_set:jet, url_template:""",,37893363,error,toolshed.g2.bx.psu.edu/repos/guerler/charts/charts/1.0.0,1.0.0,,2017-05-12 12:04:40.881017,105564,130546.570938
2017-05-19 14:59:52.372458,slurm_normal,,main_w3_handler1,3003293,15890922,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",2352331,tabular,9990718.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/mm10.len""","""x_1:1, y_1:2, z_1:2""","""mm10""",,"[{'src': 'hda', 'id': 29690822}]","""heatmap""","""x_axis_label:X-axis, x_axis_type|type:auto, y_axis_label:Y-axis, y_axis_type|type:auto, show_legend:true, __use_panels:true, x_axis_grid:true, y_axis_grid:true, color_set:jet, url_template:""",,38059385,error,toolshed.g2.bx.psu.edu/repos/guerler/charts/charts/1.0.0,1.0.0,,2017-05-21 03:00:22.823280,68175,129630.45082200001
2017-12-19 21:58:15.086172,slurm_normal,,main_w4_handler0,3327976,17853872,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",2787749,tsv,11926515,slurm,,corral-repl,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/mm10Strains1.len""","""x_1:3, y_1:3, z_1:3""","""mm10Strains1""",,"[{'src': 'hda', 'id': 33011201}]","""heatmap""","""x_axis_label:X-axis, x_axis_type|type:auto, y_axis_label:Y-axis, y_axis_type|type:auto, show_legend:true, __use_panels:true, color_set:jet, url_template:""",,42070254,error,toolshed.g2.bx.psu.edu/repos/guerler/charts/charts/1.0.0,1.0.0,,2017-12-21 09:58:31.384724,116455,129616.29855200001
2017-12-22 05:20:26.016245,slurm_normal,,main_w4_handler1,3372724,17877019,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",3456307,tabular,11950205,slurm,,corral-repl,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""x_1:1, y_1:2, z_1:2""","""?""",,"[{'src': 'hda', 'id': 33047102}]","""heatmap""","""x_axis_label:X-axis, x_axis_type|type:auto, y_axis_label:Y-axis, y_axis_type|type:auto, show_legend:true, __use_panels:true, color_set:jet, url_template:""",,42203582,error,toolshed.g2.bx.psu.edu/repos/guerler/charts/charts/1.0.0,1.0.0,,2017-12-23 17:20:45.557181,23729,129619.540936
2018-03-02 20:28:33.629020,slurm_normal,,main_w3_handler1,3292595,18586122,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",1229391,tabular,12680977,slurm,,corral-repl,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/dm6.len""","""x_1:1, y_1:2, z_1:2""","""dm6""",,"[{'src': 'hda', 'id': 31773450}]","""heatmap""","""x_axis_label:X-axis, x_axis_type|type:auto, y_axis_label:Y-axis, y_axis_type|type:auto, show_legend:true, __use_panels:true, color_set:jet, url_template:""",,44296579,error,toolshed.g2.bx.psu.edu/repos/guerler/charts/charts/1.0.0,1.0.0,,2018-03-04 08:28:49.825517,49115,129616.19649700001
2017-11-21 16:57:27.351163,slurm_normal,,main_w4_handler1,3321308,17539046,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",47844004,tabular,11598087,slurm,,corral-repl,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""x_1:2, x_2:1""","""?""",,"[{'src': 'hda', 'id': 32452359}]","""histogramdiscrete""","""x_axis_label:X-axis, x_axis_type|type:auto, y_axis_label:Y-axis, y_axis_type|type:auto, show_legend:true, __use_panels:true, x_axis_grid:true, y_axis_grid:true""",,41933703,error,toolshed.g2.bx.psu.edu/repos/guerler/charts/charts/1.0.0,1.0.0,,2017-11-23 05:07:14.895070,112494,130187.54390700001
2018-01-16 09:52:27.574524,slurm_normal,,main_w3_handler1,3379857,18046393,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",344756820,customtrack,12123760,slurm,,corral-repl,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""x_1:1, y_1:2, z_1:2""","""?""",,"[{'src': 'hda', 'id': 33328669}]","""heatmap""","""x_axis_label:X-axis, x_axis_type|type:auto, y_axis_label:Y-axis, y_axis_type|type:auto, show_legend:true, __use_panels:true, color_set:jet, url_template:""",,43011519,error,toolshed.g2.bx.psu.edu/repos/guerler/charts/charts/1.0.0,1.0.0,,2018-01-17 21:52:39.634228,119276,129612.05970400001
