chromInfo,chromInfo_filetype,create_time,destination_id,exit_code,handler,history_id,id,imported,info,input_file,input_file_filetype,job_runner_external_id,job_runner_name,library_folder_id,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.chromInfo,parameters.dbkey,parameters.input_file,parameters.input_file.values,parameters.input_file|__identifier__,parameters.input_type,parameters.options_type.__current_case__,parameters.options_type.force_quality_encoding,parameters.options_type.options_type_selector,parameters.options_type.output_type,parameters.options_type.summarize_input,runner_name,session_id,state,tool_id,tool_version,traceback,update_time,user_id,runtime
,,2016-04-28 15:18:49.042640,slurm_normal,,main_w1_handler1,2688383,12672490,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",17662113956,fastq,6873062.roundup,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5e613c4ded55448d2'}]",,"""sanger""",0,,basic,,,,29912597.0,error,toolshed.g2.bx.psu.edu/repos/devteam/fastq_groomer/fastq_groomer/1.0.4,1.0.4,,2016-04-30 03:19:28.343635,83578.0,129639.30099500001
,,2016-04-29 15:13:51.368763,slurm_normal,,main_w1_handler2,2689394,12689444,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",12684879655,fastq,6888047.roundup,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b50a696270471a6ac7'}]",,"""sanger""",0,,basic,,,,29941428.0,error,toolshed.g2.bx.psu.edu/repos/devteam/fastq_groomer/fastq_groomer/1.0.4,1.0.4,,2016-05-01 03:15:03.811018,83614.0,129672.442255
,,2016-05-02 12:19:23.850117,slurm_normal,,main_w1_handler2,2677332,12732032,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",3678576383,fastq,6929985.roundup,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b572ab6574382484f6'}]",,"""sanger""",0,,basic,,,,29757057.0,error,toolshed.g2.bx.psu.edu/repos/devteam/fastq_groomer/fastq_groomer/1.0.4,1.0.4,,2016-05-04 00:20:16.372319,82994.0,129652.52220200001
,,2016-04-30 22:52:06.419529,slurm_normal,,main_w1_handler0,2619761,12704555,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",7507265461,fastqsanger,6906822.roundup,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5e47c9416f5a708e2'}]",,"""sanger""",0,,basic,,,,28786195.0,error,toolshed.g2.bx.psu.edu/repos/devteam/fastq_groomer/fastq_groomer/1.0.4,1.0.4,,2016-05-02 10:53:04.891429,79746.0,129658.4719
,,2016-04-30 22:52:20.993635,slurm_normal,,main_w1_handler1,2619761,12704556,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",3542766969,fastqsanger,6906827.roundup,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5cd017fd05adc4c59'}]",,"""sanger""",0,,basic,,,,28786195.0,error,toolshed.g2.bx.psu.edu/repos/devteam/fastq_groomer/fastq_groomer/1.0.4,1.0.4,,2016-05-02 10:53:04.844821,79746.0,129643.85118600001
,,2016-04-30 22:53:06.289126,slurm_normal,,main_w2_handler0,2619761,12704558,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",5755665989,fastqsanger,6906848.roundup,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b53b7595b586c04d76'}]",,"""sanger""",0,,basic,,,,28786195.0,error,toolshed.g2.bx.psu.edu/repos/devteam/fastq_groomer/fastq_groomer/1.0.4,1.0.4,,2016-05-02 10:54:05.179443,79746.0,129658.89031700001
,,2016-04-30 20:50:54.307807,slurm_normal,,main_w1_handler0,2619761,12700918,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",9900913957,fastqsanger,6905774.roundup,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b58869f4c6bd5bdcc9'}]",,"""sanger""",0,,basic,,,,28786195.0,error,toolshed.g2.bx.psu.edu/repos/devteam/fastq_groomer/fastq_groomer/1.0.4,1.0.4,,2016-05-02 08:51:34.291728,79746.0,129639.983921
,,2016-05-02 07:58:22.140679,slurm_normal,,main_w2_handler1,2691424,12721195,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",4828622091,fastq,6926813.roundup,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b564c91d549375ec2b'}]",,"""sanger""",0,,basic,,,,29983250.0,error,toolshed.g2.bx.psu.edu/repos/devteam/fastq_groomer/fastq_groomer/1.0.4,1.0.4,,2016-05-03 19:59:19.244494,83684.0,129657.10381500001
,,2016-05-02 08:06:47.081954,slurm_normal,,main_w1_handler1,2691424,12722193,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",4240796199,fastq,6926883.roundup,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b53ea9de74a01f34ce'}]",,"""sanger""",0,,basic,,,,29983250.0,error,toolshed.g2.bx.psu.edu/repos/devteam/fastq_groomer/fastq_groomer/1.0.4,1.0.4,,2016-05-03 20:07:45.283107,83684.0,129658.201153
,,2016-04-30 22:52:47.973808,slurm_normal,,main_w2_handler1,2619761,12704557,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",5617004331,fastqsanger,6906844.roundup,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b573bd5be1bfaa59aa'}]",,"""sanger""",0,,basic,,,,28786195.0,error,toolshed.g2.bx.psu.edu/repos/devteam/fastq_groomer/fastq_groomer/1.0.4,1.0.4,,2016-05-02 10:53:34.967193,79746.0,129646.99338500001
