bamInput,bamInput_filetype,create_time,destination_id,exit_code,handler,history_id,id,imported,info,job_runner_external_id,job_runner_name,library_folder_id,object_store_id,param_filename,parameters.__job_resource.__current_case__,parameters.__job_resource.__job_resource__select,parameters.__workflow_invocation_uuid__,parameters.advancedOpt.__current_case__,parameters.advancedOpt.showAdvancedOpt,parameters.bamInput.values,parameters.bamInput|__identifier__,parameters.binSize,parameters.chromInfo,parameters.dbkey,parameters.outFileFormat,parameters.region,parameters.scaling.__current_case__,parameters.scaling.effectiveGenomeSize.__current_case__,parameters.scaling.effectiveGenomeSize.effectiveGenomeSize,parameters.scaling.effectiveGenomeSize.effectiveGenomeSize_opt,parameters.scaling.type,runner_name,session_id,state,tool_id,tool_version,traceback,update_time,user_id,runtime
1509335839,bam,2017-12-05 04:11:50.240182,slurm_multi,,main_w4_handler2,3270952,17698401,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",11763017,slurm,,corral-repl,,0,no,,0.0,no,"[{'src': 'hda', 'id': 32682556}]",,"""50""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/papHam.len""","""papHam""","""bigwig""","""""",0,,,,rpkm,,40965215.0,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_bam_coverage/deeptools_bam_coverage/2.5.0.0,2.5.0.0,,2017-12-06 16:12:32.712749,97544,129642.472567
162368023,bam,2017-12-06 20:35:20.622013,slurm_multi,,main_w4_handler2,3270952,17724474,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",11790403,slurm,,corral-repl,,0,no,,0.0,no,"[{'src': 'hda', 'id': 32778375}]",,"""50""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/.len""","""""","""bigwig""","""""",0,,,,rpkm,,40965215.0,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_bam_coverage/deeptools_bam_coverage/2.5.0.0,2.5.0.0,,2017-12-08 08:35:58.393160,97544,129637.771147
1252553738,bam,2017-12-05 04:11:50.457940,slurm_multi,,main_w4_handler2,3270952,17698402,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",11787230,slurm,,corral-repl,,0,no,,0.0,no,"[{'src': 'hda', 'id': 32682557}]",,"""50""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/papHam.len""","""papHam""","""bigwig""","""""",0,,,,rpkm,,40965215.0,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_bam_coverage/deeptools_bam_coverage/2.5.0.0,2.5.0.0,,2017-12-08 04:12:55.452367,97544,259264.99442700003
11301838,bam,2017-12-06 20:35:20.059552,slurm_multi,,main_w3_handler2,3270952,17724473,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",11809914,slurm,,corral-repl,,0,no,,0.0,no,"[{'src': 'hda', 'id': 32778374}]",,"""50""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/.len""","""""","""bigwig""","""""",0,,,,rpkm,,40965215.0,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_bam_coverage/deeptools_bam_coverage/2.5.0.0,2.5.0.0,,2017-12-09 17:31:07.707641,97544,248147.64808900002
55163941,bam,2017-12-06 20:35:21.077754,slurm_multi,,main_w4_handler2,3270952,17724475,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",11810896,slurm,,corral-repl,,0,no,,0.0,no,"[{'src': 'hda', 'id': 32778376}]",,"""50""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/.len""","""""","""bigwig""","""""",0,,,,rpkm,,40965215.0,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_bam_coverage/deeptools_bam_coverage/2.5.0.0,2.5.0.0,,2017-12-09 20:50:40.706662,97544,260119.628908
162368023,bam,2017-12-08 18:43:40.164656,slurm_multi,,main_w3_handler2,3270952,17749686,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",11824249,slurm,,corral-repl,,0,no,,0.0,no,"[{'src': 'hda', 'id': 32778375}]",,"""50""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/.len""","""""","""bigwig""","""""",0,,,,rpkm,,40965215.0,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_bam_coverage/deeptools_bam_coverage/2.5.0.0,2.5.0.0,,2017-12-11 05:33:21.582621,97544,211781.417965
395895436,bam,2017-12-13 05:44:39.283231,slurm_multi,,main_w3_handler2,3363628,17793738,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",11863077,slurm,,corral-repl,,0,no,,0.0,no,"[{'src': 'hda', 'id': 32892312}]",,"""25""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/vicPac1.len""","""vicPac1""","""bigwig""","""""",0,,,,rpkm,,42340923.0,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_bam_coverage/deeptools_bam_coverage/2.5.0.0,2.5.0.0,,2017-12-14 17:56:50.174382,105589,130330.891151
17725068,bam,2018-01-19 20:25:45.058037,slurm_multi,,main_w4_handler2,3377973,18087823,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",12167543,slurm,,corral-repl,,0,no,"""dc0080f6fd5611e79f7e005056ba55fb""",0.0,no,"[{'src': 'hda', 'id': 33397730}]",,"""10""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg19.len""","""hg19""","""bigwig""","""""",0,,,,rpkm,,,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_bam_coverage/deeptools_bam_coverage/2.5.0.0,2.5.0.0,,2018-01-21 08:45:09.013865,21426,130763.955828
20270425,bam,2018-01-19 20:25:40.794284,slurm_multi,,main_w4_handler2,3377973,18087818,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",12167538,slurm,,corral-repl,,0,no,"""db859594fd5611e79f7e005056ba55fb""",0.0,no,"[{'src': 'hda', 'id': 33397722}]",,"""10""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg19.len""","""hg19""","""bigwig""","""""",0,,,,rpkm,,,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_bam_coverage/deeptools_bam_coverage/2.5.0.0,2.5.0.0,,2018-01-21 08:44:08.347897,21426,130707.55361300001
529156748,bam,2018-02-04 19:13:33.951988,slurm_multi,,main_w4_handler2,3414970,18252061,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",12333951,slurm,,corral-repl,,0,no,,0.0,no,"[{'src': 'hda', 'id': 33639691}]",,"""50""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","""bigwig""","""""",2,0.0,3100000000,specific,1x,,43556871.0,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_bam_coverage/deeptools_bam_coverage/2.5.0.0,2.5.0.0,,2018-02-06 07:13:50.551986,17286,129616.599998
747537078,bam,2018-02-04 20:17:38.062706,slurm_multi,,main_w4_handler2,3414970,18252189,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",12348779,slurm,,corral-repl,,0,no,,0.0,no,"[{'src': 'hda', 'id': 33639629}]",,"""50""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","""bigwig""","""""",2,0.0,3100000000,specific,1x,,43556871.0,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_bam_coverage/deeptools_bam_coverage/2.5.0.0,2.5.0.0,,2018-02-07 19:38:13.724177,17286,256835.66147100003
435294286,bam,2018-02-04 20:17:37.885252,slurm_multi,,main_w4_handler2,3414970,18252188,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",12342638,slurm,,corral-repl,,0,no,,0.0,no,"[{'src': 'hda', 'id': 33639561}]",,"""50""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","""bigwig""","""""",2,0.0,3100000000,specific,1x,,43556871.0,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_bam_coverage/deeptools_bam_coverage/2.5.0.0,2.5.0.0,,2018-02-07 07:10:02.880932,17286,211944.99568000002
322233211,bam,2018-02-04 19:13:33.647404,slurm_multi,,main_w3_handler2,3414970,18252060,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",12365840,slurm,,corral-repl,,0,no,,0.0,no,"[{'src': 'hda', 'id': 33639558}]",,"""50""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","""bigwig""","""""",2,0.0,3100000000,specific,1x,,43556871.0,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_bam_coverage/deeptools_bam_coverage/2.5.0.0,2.5.0.0,,2018-02-08 19:10:24.134848,17286,345410.487444
2229221601,bam,2018-02-04 20:17:38.326728,slurm_multi,,main_w4_handler2,3414970,18252190,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",12365839,slurm,,corral-repl,,0,no,,0.0,no,"[{'src': 'hda', 'id': 33639649}]",,"""50""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","""bigwig""","""""",2,0.0,3100000000,specific,1x,,43556871.0,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_bam_coverage/deeptools_bam_coverage/2.5.0.0,2.5.0.0,,2018-02-08 19:10:20.636428,17286,341562.30970000004
2844499861,bam,2018-02-04 20:17:38.516385,slurm_multi,,main_w4_handler2,3414970,18252191,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",12404159,slurm,,corral-repl,,0,no,,0.0,no,"[{'src': 'hda', 'id': 33639659}]",,"""50""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","""bigwig""","""""",2,0.0,3100000000,specific,1x,,43556871.0,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_bam_coverage/deeptools_bam_coverage/2.5.0.0,2.5.0.0,,2018-02-10 07:55:29.864704,17286,473871.34831900004
1317429068,bam,2018-02-04 20:17:38.792415,slurm_multi,,main_w3_handler2,3414970,18252192,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",12420525,slurm,,corral-repl,,0,no,,0.0,no,"[{'src': 'hda', 'id': 33639932}]",,"""50""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","""bigwig""","""""",2,0.0,3100000000,specific,1x,,43556871.0,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_bam_coverage/deeptools_bam_coverage/2.5.0.0,2.5.0.0,,2018-02-11 19:55:33.682517,17286,603474.8901020001
1399839959,bam,2018-02-04 20:17:39.901230,slurm_multi,,main_w4_handler2,3414970,18252194,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",12420524,slurm,,corral-repl,,0,no,,0.0,no,"[{'src': 'hda', 'id': 33639934}]",,"""50""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","""bigwig""","""""",2,0.0,3100000000,specific,1x,,43556871.0,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_bam_coverage/deeptools_bam_coverage/2.5.0.0,2.5.0.0,,2018-02-11 19:55:33.663678,17286,603473.762448
2349093198,bam,2018-02-04 20:17:39.099909,slurm_multi,,main_w3_handler2,3414970,18252193,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",12428116,slurm,,corral-repl,,0,no,,0.0,no,"[{'src': 'hda', 'id': 33639933}]",,"""50""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","""bigwig""","""""",2,0.0,3100000000,specific,1x,,43556871.0,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_bam_coverage/deeptools_bam_coverage/2.5.0.0,2.5.0.0,,2018-02-13 07:55:46.703785,17286,733087.603876
